use_id,generation,image_id,fileId,x,y,width,height,asset_path,final_region,transcript_file,coverage_status,duplicate_of_use_id,semantic_role
S-031,original-incomplete-svg-set,OLD-0e5b2c9aff,0e5b2c9aff1b36026f880b36a533c32519359072,5590.000079321977,4023.3234769242117,705.0,482.0,assets/source-images/S-031__0e5b2c9aff.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Find is useful when the key is known and the entity may or may not already be tracked.
S-032,original-incomplete-svg-set,OLD-a9bd2293fc,a9bd2293fc248ae07c1173e461985575a8632271,20017.106737377053,4150.602526288143,897.0,482.0,assets/source-images/S-032__a9bd2293fc.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,A database query cannot see unsaved ChangeTracker mutations merely because the isolation level is ReadUncommitted.
S-033,original-incomplete-svg-set,OLD-05e414e028,05e414e028c1b1d6bcf153369b0749a86442e877,4020.017284739737,4151.877549907944,817.0,248.0,assets/source-images/S-033__05e414e028.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Definition and scope of AsNoTrackingWithIdentityResolution.
S-034,original-incomplete-svg-set,OLD-be97b0c8b5,be97b0c8b5b2d0e172a660b68ab319bf1f567d37,4031.440268305185,4421.387898757757,806.0,482.0,assets/source-images/S-034__be97b0c8b5.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,"Comparison of tracking, no-tracking, and no-tracking with temporary identity resolution."
S-035,original-incomplete-svg-set,OLD-691ce63670,691ce63670c573632306077fd985abe8a79cf054,5530.728028540792,4543.20700658729,855.0,478.0,assets/source-images/S-035__691ce63670.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,Explicitly loading several collections normally issues separate queries.
S-036,original-incomplete-svg-set,OLD-75c8a8c2fe,75c8a8c2fe0408b09f303c6a5d18507692fd706d,4009.906173628624,4926.692274300274,855.0,328.0,assets/source-images/S-036__75c8a8c2fe.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,No-tracking plus identity resolution reuses instances only within the materialized result graph.
S-037,original-incomplete-svg-set,OLD-ac404adaa8,ac404adaa82d93827686a2a6fe617389f48e3ee9,5528.069343135163,5021.05075658729,647.0,482.0,assets/source-images/S-037__ac404adaa8.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,"Include can load multiple collections in one query, but may create a very large joined row set."
S-038,original-incomplete-svg-set,OLD-2252a4c4af,2252a4c4afcbe8a8e28a05d968b23522b3d8aa09,4019.517284739737,5287.377549907915,818.0,297.0,assets/source-images/S-038__2252a4c4af.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Identity resolution matters when joins repeat the same entity row in a result graph.
S-039,original-incomplete-svg-set,OLD-9f752fd7b7,9f752fd7b7e8a9c2414c7e769e05e46fee6a55df,13678.143937973686,5293.284283894409,837.0,431.0,assets/source-images/S-039__9f752fd7b7.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Nullable value object inside an aggregate: domain representation and optional FullName semantics.
S-040,original-incomplete-svg-set,OLD-7f7dafd9fe,7f7dafd9fefedd4b605034e67f3b2ae00150d9a6,5515.40984672261,5519.70700658729,842.0,445.0,assets/source-images/S-040__7f7dafd9fe.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,Use Include when the related shape is known in advance and one readable query is appropriate.
S-041,original-incomplete-svg-set,OLD-9be28189df,9be28189df2434f3546cf4174c7bd08a89b95b9f,13680.405988057391,5763.355276500439,842.0,308.0,assets/source-images/S-041__9be28189df.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,EF configuration for an optional owned FullName value object.
S-042,original-incomplete-svg-set,OLD-eb072cdd8b,eb072cdd8b55fe760879fe34f3b04b621f5fcd97,4010.8941226641764,5767.768819211897,837.0,260.0,assets/source-images/S-042__eb072cdd8b.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,"Practical choice among tracking modes; identity-resolution mode is useful, not a universal default."
S-043,original-incomplete-svg-set,OLD-e3704b53e4,e3704b53e4028549ffea767beb54d99d4d85d70d,5517.90984672261,5993.373710244952,837.0,431.0,assets/source-images/S-043__e3704b53e4.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Find plus explicit Load for a known tracked root and conditional navigation loading.
S-044,original-incomplete-svg-set,OLD-16669395cb,16669395cb0b63e0e7f40d871b74ea04330e9fa3,4030.097989052927,6037.218648313459,590.0,482.0,assets/source-images/S-044__16669395cb.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Why plain AsNoTracking is usually the cheapest default for read-only work.
S-045,original-incomplete-svg-set,OLD-3945d0f1d7,3945d0f1d71dd0bdb3cb1faa44bbea3b98c0035b,12335.7706776224,6064.037463476972,1049.0,482.0,assets/source-images/S-045__3945d0f1d7.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,covered-as-duplicate-placement,S-026,Alternative explicit mapping for optional owned FullName columns.
S-046,original-incomplete-svg-set,OLD-dfe76f5f7c,dfe76f5f7c139b6c8d4be2a2408d2c252aac81fd,13658.369154529591,6177.796820079533,893.0,296.0,assets/source-images/S-046__dfe76f5f7c.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,DDD distinction between an optional child entity inside an aggregate and a reference to another aggregate.
S-047,original-incomplete-svg-set,OLD-2175a4a601,2175a4a601a6018b498319898b0c9d0d68e07b2f,5498.015981310678,6440.797915678188,518.0,341.0,assets/source-images/S-047__2175a4a601.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,"Include versus Find plus Load: round-trip, readability, and tracked-root trade-offs."
S-048,original-incomplete-svg-set,OLD-8d6946160e,8d6946160e8d6fae504a054f47ec06e48b97fd8f,13650.79347093584,6453.660511929676,913.0,457.0,assets/source-images/S-048__8d6946160e.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,EF relationship mapping for child entities and references to other aggregates.
S-049,original-incomplete-svg-set,OLD-f79556b4d7,f79556b4d71305bb2cc0fdfff4aea1c5141d7545,3977.763967628085,6768.1277114793065,765.0,482.0,assets/source-images/S-049__f79556b4d7.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Projection that repeats the same entity and the value of identity resolution in the materialized result.
S-050,original-incomplete-svg-set,OLD-deb7e62c3f,deb7e62c3fe6139054d5ee0347b8701300674f10,13635.913509629243,6955.059290885089,681.0,441.0,assets/source-images/S-050__deb7e62c3f.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,DDD identity rule: decide whether identity is aggregate-local or globally meaningful before modeling a relationship.
S-051,original-incomplete-svg-set,OLD-a42c0c4aad,a42c0c4aade351c6fd6c251b8056286ec1da1a0a,3962.8032135732683,7299.556633265538,875.0,474.0,assets/source-images/S-051__a42c0c4aad.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Self-referencing graph materialization and identity resolution across repeated employee rows.
S-052,original-incomplete-svg-set,OLD-810b517d3a,810b517d3a83149a422a3176c0d2b7a7dbd03a48,5491.121424937621,7617.873863988818,833.0,417.0,assets/source-images/S-052__810b517d3a.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,AutoInclude does not make Find automatically load collections; Find and explicit Load remain distinct.
S-053,original-incomplete-svg-set,OLD-2e1caff84a,2e1caff84a4b3178d0d7c8e1c8b94ec40640a55d,13634.012982631972,7822.370822241621,606.0,482.0,assets/source-images/S-053__2e1caff84a.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,EF Core complex-type mapping for a multi-column Money value with optionality/concurrency configuration.
S-054,original-incomplete-svg-set,OLD-4f85a4e72b,4f85a4e72bc4203abba590b7d6516fbdb45ba18a,5505.621424937621,8080.707163413732,804.0,398.0,assets/source-images/S-054__4f85a4e72b.png,FR07,transcripts/fr07-query-shape-row-count-v002.md,verified-semantic-transcript-final-v002,,Eager Include versus explicit Load after Find for related collections.
S-055,original-incomplete-svg-set,OLD-064840baae,064840baae85fdbca51e7262310dab5aab2349a6,13648.067268473269,8323.253238013105,634.0,482.0,assets/source-images/S-055__064840baae.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,How an optional complex/owned Money value is represented when every mapped column is null.
S-056,original-incomplete-svg-set,OLD-3edaef3497,3edaef3497bb5e79e529e96ee786e7cefca5d89b,5517.906087548525,8527.439870119459,608.0,482.0,assets/source-images/S-056__3edaef3497.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,"Hybrid loading pattern: use tracked root plus explicit Load in warm contexts, Include in cold contexts."
S-057,original-incomplete-svg-set,OLD-548433edd7,548433edd76615620625f9eef1e01a840ad33277,13628.106292361243,8828.860507300215,814.0,376.0,assets/source-images/S-057__548433edd7.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Materializing a non-null multi-column Money value object.
S-058,original-incomplete-svg-set,OLD-1607e83e8f,1607e83e8f409ebd387ca95b3c92f969325c74d6,5490.047260441093,9076.022023439778,687.0,197.0,assets/source-images/S-058__1607e83e8f.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,Why the warm-context/cold-context hybrid can avoid redundant root queries.
S-059,original-incomplete-svg-set,OLD-685f8e9fda,685f8e9fda815431c2bf94170023f5da0f8a83f0,13674.439574831946,9202.36043100627,798.0,179.0,assets/source-images/S-059__685f8e9fda.png,FR03,transcripts/fr03-model-owned-complex-relationships-v002.md,verified-semantic-transcript-final-v002,,Why a wrapper such as Maybe<Money> is not naturally mapped by EF conversion for a multi-column value object.
S-060,original-incomplete-svg-set,OLD-b074625c29,b074625c295b62694e1a57554c75389cde79a177,5497.713927107759,9304.207197322152,805.0,271.0,assets/source-images/S-060__b074625c29.png,FR01,transcripts/fr01-tracking-query-materialization-v002.md,verified-semantic-transcript-final-v002,,The optimization is situational; extra branching may cost more than the saved query.
S-061,original-incomplete-svg-set,OLD-ea9b1ba7b6,ea9b1ba7b6f2f42383727cdb84acf62e626b01bd,16923.25258740651,12451.130133756902,833.0,482.0,assets/source-images/S-061__ea9b1ba7b6.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"EF save exception taxonomy: DbUpdateException, DbUpdateConcurrencyException, and provider-specific inner exceptions."
S-062,original-incomplete-svg-set,OLD-5310695bc8,5310695bc807bc358ff8825f8491328c73b00fa7,16905.540496692083,12991.786460050846,912.0,391.0,assets/source-images/S-062__5310695bc8.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,"Transaction commit failures are usually provider/connection exceptions, not necessarily DbUpdateException."
S-063,original-incomplete-svg-set,OLD-bb49429aea,bb49429aea16ad3f59958d55982439b9cdde6838,16939.584337479217,13409.463492521549,777.0,482.0,assets/source-images/S-063__bb49429aea.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,RetryLimitExceededException after an execution strategy exhausts its configured attempts.
S-064,original-incomplete-svg-set,OLD-601cdc59fb,601cdc59fb0c11b77b018bf66636ca145c9dfcad,16931.627506496003,13921.130210050846,700.0,482.0,assets/source-images/S-064__601cdc59fb.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"Recommended catch ordering for concurrency, general update failure, retry exhaustion, and provider-level failures."
S-065,original-incomplete-svg-set,OLD-bf9f234ad6,bf9f234ad6f9b9f73af8bc6e1621f262b3d485a5,16966.040649279974,14788.119818815494,961.0,465.0,assets/source-images/S-065__bf9f234ad6.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,Execution-strategy retry exhaustion and the distinction between transient retries and non-retriable failures.
NU-001,recovered-complete-svg-set,NIMG-115,9d4a455012eff14657aed945c9fae193bdfd025f,15821.22568997913,13855.00371606701,711.0,341.0,assets/source-images-added-v002/NIMG-115__9d4a455012.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,Valid optimistic-concurrency retry pattern: retry after DbUpdateConcurrencyException rather than fail immediately.
NU-002,recovered-complete-svg-set,NIMG-028,2e2d51d95b61fb8d55c0fb8ed825b8c28e637008,15846.737092612731,14233.084389022233,712.0,341.0,assets/source-images-added-v002/NIMG-028__2e2d51d95b.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"Code begins an outer transaction and retries SaveChanges, relying on EF savepoints where supported."
NU-003,recovered-complete-svg-set,NIMG-054,4cd8371579deb26afb0534d69dcdb3e8553be900,15830.766497586837,14575.219680121105,727.0,341.0,assets/source-images-added-v002/NIMG-054__4cd8371579.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"Conflict handler reads database values, chooses merge/retry behavior, and updates original values."
NU-004,recovered-complete-svg-set,NIMG-007,0d177ffd07147af7d35f411413d5ee02822e0ea7,15824.376954888854,14927.594675312392,890.0,249.0,assets/source-images-added-v002/NIMG-007__0d177ffd07.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"Explains savepoint rollback, refreshed originals and eventual outer-transaction commit."
NU-005,recovered-complete-svg-set,NIMG-182,f367e6bcc82f14862f2cdb78ca47b669e18b51b8,15833.421615923095,15336.12845389268,842.0,130.0,assets/source-images-added-v002/NIMG-182__f367e6bcc8.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,"When automatic retry is appropriate: automated operation, defined merge/retry policy, and short transaction."
NU-006,recovered-complete-svg-set,NIMG-099,877655b6a177556a35046276fee9bbae7e74eada,15767.51759265963,15609.174012981342,936.0,86.0,assets/source-images-added-v002/NIMG-099__877655b6a1.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,Human-conflict workflows should stop and surface the conflict rather than auto-merge silently.
NU-007,recovered-complete-svg-set,NIMG-041,3ca00b42d1139d34a32caaf1a63434244730e4bd,15759.943655954876,15782.960793603363,933.0,177.0,assets/source-images-added-v002/NIMG-041__3ca00b42d1.png,FR06,transcripts/fr06-concurrency-provider-errors-v002.md,verified-semantic-transcript-final-v002,,Higher isolation can keep a stale snapshot across a same-transaction retry; retry the whole operation from fresh state.
NU-008,recovered-complete-svg-set,NIMG-051,4a2c92a25d549d3c2623a2ad97e74cc90359c2a1,22249.857164038556,6379.22865571549,996.0,481.0,assets/source-images-added-v002/NIMG-051__4a2c92a25d.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,Correct pattern: create execution strategy and begin a new explicit transaction inside the retry delegate.
NU-009,recovered-complete-svg-set,NIMG-183,f3edcfaf7e1519eb1c2b542c712bcde7bb95447c,22166.272632710134,7182.20364623536,953.0,193.0,assets/source-images-added-v002/NIMG-183__f3edcfaf7e.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,"Concrete ExecuteAsync example that reloads current state, mutates it and saves inside the retry delegate."
NU-010,recovered-complete-svg-set,NIMG-049,4623b891f0a16f93e0637db61166317eab844d0e,22173.330233255467,7370.880729568696,1010.0,482.0,assets/source-images-added-v002/NIMG-049__4623b891f0.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,"Defines the operation delegate as the whole retriable unit, not merely one SaveChanges call."
NU-011,recovered-complete-svg-set,NIMG-191,fe1486e91e35a886fbe7450149b6e9e053004cac,22140.494719298677,7885.499965137274,1049.0,179.0,assets/source-images-added-v002/NIMG-191__fe1486e91e.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,Explains that a transient failure replays the complete delegate even without an explicit BeginTransaction.
NU-012,recovered-complete-svg-set,NIMG-167,d550926c13cf8102ecd2b49bb3ce64e0cac389c9,22129.890847896102,8257.453040057142,1005.0,170.0,assets/source-images-added-v002/NIMG-167__d550926c13.png,FR04,transcripts/fr04-transactions-retries-rawsql-v002.md,verified-semantic-transcript-final-v002,,Caveat: reusing already-tracked state can accumulate mutations across retry attempts.
