source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_group,decision,reason,nearest_labels_for_search_only
S-020,IU-020,685f8e9fda,13674.44,9202.36,798,179,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-130: not all comp columns | are indexable/persistable | L-048: db exceptions | concur | L-131: collation may already solve casing | L-010: better to have isrequired false too
S-021,IU-021,548433edd7,13628.106,8828.861,814,376,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-130: not all comp columns | are indexable/persistable | L-010: better to have isrequired false too | L-048: db exceptions | concur | L-131: collation may already solve casing
S-022,IU-022,064840baae,13648.067,8323.253,634,482,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-010: better to have isrequired false too | L-130: not all comp columns | are indexable/persistable | L-048: db exceptions | concur | L-131: collation may already solve casing
S-023,IU-023,2e1caff84a,13634.013,7822.371,606,482,EF05,ef05c-optional-value-object-complex-type,candidate-for-EF05-transcript,Optional value object / child entity / complex type mapping and EF handling of null owned/complex objects.,L-011: complex types | L-010: better to have isrequired false too | L-130: not all comp columns | are indexable/persistable | L-048: db exceptions | concur | L-131: collation may already solve casing
S-047,IU-047,0dc3625229,22437.901,1887.015,847,422,EF06,ef06a-optimistic-concurrency-and-db-constraints,candidate-for-EF06-transcript,Optimistic concurrency token / check-then-add race / constraints or isolation as protection.,L-033: concurrency in db  commands | isrowversion isconcurrencytoken | L-069: reading your own uncommited changes | L-040: transactions | L-041: transaction patterns | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth
S-048,IU-048,119679e20c,22457.508,2341.303,823,482,EF06,ef06a-optimistic-concurrency-and-db-constraints,candidate-for-EF06-transcript,Optimistic concurrency token / check-then-add race / constraints or isolation as protection.,L-069: reading your own uncommited changes | L-033: concurrency in db  commands | isrowversion isconcurrencytoken | L-041: transaction patterns | L-040: transactions | L-061: EXECUTEASYNC | WITH NEW CONTEXT | PER RETRY PATTERN
S-049,IU-049,3710ca8272,20055.974,2978.029,805,447,EF06,ef06b-transactions-and-isolation-levels,candidate-for-EF06-transcript,"Explicit transactions, multiple SaveChanges, atomicity vs isolation, ReadCommitted/Snapshot/ReadUncommitted.",L-036: about transactions isolation level for atomicity | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-069: reading your own uncommited changes | L-034: dbcontext about transactions strategies | L-041: transaction patterns
S-050,IU-050,4e35b1cbc9,20027.726,3457.15,787,395,EF06,ef06b-transactions-and-isolation-levels,candidate-for-EF06-transcript,"Explicit transactions, multiple SaveChanges, atomicity vs isolation, ReadCommitted/Snapshot/ReadUncommitted.",L-036: about transactions isolation level for atomicity | L-069: reading your own uncommited changes | L-041: transaction patterns | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-034: dbcontext about transactions strategies
S-051,IU-051,b7164244ce,20005.988,3882.198,800,223,EF06,ef06b-transactions-and-isolation-levels,candidate-for-EF06-transcript,"Explicit transactions, multiple SaveChanges, atomicity vs isolation, ReadCommitted/Snapshot/ReadUncommitted.",L-036: about transactions isolation level for atomicity | L-041: transaction patterns | L-069: reading your own uncommited changes | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION
S-052,IU-052,a9bd2293fc,20017.107,4150.603,897,482,EF06,ef06b-transactions-and-isolation-levels,candidate-for-EF06-transcript,"Explicit transactions, multiple SaveChanges, atomicity vs isolation, ReadCommitted/Snapshot/ReadUncommitted.",L-041: transaction patterns | L-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L-036: about transactions isolation level for atomicity | L-069: reading your own uncommited changes | L-055: Executeasync
S-062,IU-062,ea9b1ba7b6,16923.253,12451.13,833,482,EF06,ef06c-db-exceptions-and-retry-strategy,candidate-for-EF06-transcript,"SaveChanges failures, transaction commit failures, RetryLimitExceededException, catch order.","L-119: place to catch codes | L-050: pos concurrency automatic, | not user view driven | retry logic | L-049: retry exception | L-048: db exceptions | concur | L-090: about code of sqlserver that are retryable by | default or not"
S-063,IU-063,5310695bc8,16905.54,12991.786,912,391,EF06,ef06c-db-exceptions-and-retry-strategy,candidate-for-EF06-transcript,"SaveChanges failures, transaction commit failures, RetryLimitExceededException, catch order.","L-119: place to catch codes | L-049: retry exception | L-050: pos concurrency automatic, | not user view driven | retry logic | L-048: db exceptions | concur | L-092: !!!!"
S-064,IU-064,bb49429aea,16939.584,13409.463,777,482,EF06,ef06c-db-exceptions-and-retry-strategy,candidate-for-EF06-transcript,"SaveChanges failures, transaction commit failures, RetryLimitExceededException, catch order.","L-119: place to catch codes | L-049: retry exception | L-050: pos concurrency automatic, | not user view driven | retry logic | L-051: have  entries in | dbupdateconcurex | can getdatabasevalues | with etag | and then update how you needed | L-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they "
S-065,IU-065,601cdc59fb,16931.628,13921.13,700,482,EF06,ef06c-db-exceptions-and-retry-strategy,candidate-for-EF06-transcript,"SaveChanges failures, transaction commit failures, RetryLimitExceededException, catch order.","L-049: retry exception | L-119: place to catch codes | L-050: pos concurrency automatic, | not user view driven | retry logic | L-047: can we have exhaust check? | L-122: setting orig values | ef will detect changes based | on the fact that | orig values are the values | in db | so if they "
S-061,IU-061,bf9f234ad6,16966.041,14788.12,961,465,EF06,ef06c-db-exceptions-and-retry-strategy,candidate-for-EF06-transcript,"SaveChanges failures, transaction commit failures, RetryLimitExceededException, catch order.",L-049: retry exception | L-119: place to catch codes | L-047: can we have exhaust check? | L-052: !!!! | L-053: !!!!
S-001,IU-001,7e221f7688,15933.099,1997.074,740,482,not-current-efcore-region,checked-not-current-efcore-material,checked-not-EF05-EF06,"Looks like ASP/Vite/CORS/proxy material, not EF Core mapping/transaction material. Keep unprocessed unless a separate ASP/auth/CORS conspect is started.","L-004: owned isrequired | L-003: navigation | L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-002: hascheck constraint"
