new_use_id,new_image_id,fileId,x,y,x_center,y_center,width,height,asset_path,nearest_label_ids,nearest_labels_for_search_only,repair_batch,status
NU-011,NIMG-191,fe1486e91e35a886fbe7450149b6e9e053004cac,22140.494719298677,7885.499965137274,22664.994719298677,7974.999965137274,1049.0,179.0,assets/source-images-added-v002/NIMG-191__fe1486e91e.png,L2-057 | L2-056 | L2-066 | L2-055 | L2-065,L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-066: IMPLEMENTATION | L2-055: Executeasync | L2-065: why not just retry delegate because | we accepted changes after save changes,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-012,NIMG-167,d550926c13cf8102ecd2b49bb3ce64e0cac389c9,22129.890847896102,8257.453040057142,22632.390847896102,8342.453040057142,1005.0,170.0,assets/source-images-added-v002/NIMG-167__d550926c13.png,L2-057 | L2-056 | L2-066 | L2-055 | L2-065,L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-066: IMPLEMENTATION | L2-055: Executeasync | L2-065: why not just retry delegate because | we accepted changes after save changes,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-013,NIMG-008,0fb94e67d26d805b17cb414b783b58a021cdc8ed,22134.68769301875,8486.553723842964,22616.68769301875,8699.053723842964,964.0,425.0,assets/source-images-added-v002/NIMG-008__0fb94e67d2.png,L2-057 | L2-056 | L2-065 | L2-066 | L2-058,L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-066: IMPLEMENTATION | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-014,NIMG-109,931e9dbc593f52b100ed575a4ca580761dca02e4,20840.227141631978,6729.280022900314,21266.727141631978,6830.280022900314,853.0,202.0,assets/source-images-added-v002/NIMG-109__931e9dbc59.png,L2-058 | L2-062 | L2-056 | L2-055 | L2-057,L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-055: Executeasync | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-015,NIMG-034,348a9ce611afb7ef5891271295ef2db92af3507f,20846.004800730283,6952.446638704353,21289.504800730283,7181.946638704353,887.0,459.0,assets/source-images-added-v002/NIMG-034__348a9ce611.png,L2-058 | L2-056 | L2-062 | L2-057 | L2-055,L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-055: Executeasync,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-016,NIMG-090,7eb8d340a090b9af9f503af2e1be6e230aedc12f,20867.338235788877,7415.7799974690015,21242.838235788877,7560.2799974690015,751.0,289.0,assets/source-images-added-v002/NIMG-090__7eb8d340a0.png,L2-058 | L2-057 | L2-056 | L2-062 | L2-055,L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-055: Executeasync,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-017,NIMG-192,ff7e8e9193daf574380ea265ef9628049f83c9ec,20817.504800730283,7713.279921175056,21269.504800730283,7945.279921175056,904.0,464.0,assets/source-images-added-v002/NIMG-192__ff7e8e9193.png,L2-057 | L2-058 | L2-056 | L2-062 | L2-055,L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-055: Executeasync,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-018,NIMG-155,c71d585f1cb0b6a3192e6b0f06d74ab5d2f0ee07,20758.838083200986,8190.11335623365,21242.838083200986,8288.61335623365,968.0,197.0,assets/source-images-added-v002/NIMG-155__c71d585f1c.png,L2-057 | L2-058 | L2-056 | L2-062 | L2-067,L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-056: executeasync without transaction | when just need to retry with some app | logic like get current time | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY?,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-019,NIMG-082,6ed006ed5230961f402c030fb2d40379a2ce465a,23683.83346879217,6707.933609664981,24173.33346879217,6881.433609664981,979.0,347.0,assets/source-images-added-v002/NIMG-082__6ed006ed52.png,L2-066 | L2-064 | L2-063 | L2-061 | L2-065,"L2-066: IMPLEMENTATION | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-061: EXECUTEASYNC | WITH NEW CONTEXT | PER RETRY PATTERN | L2-065: why not just retry delegate because | we accepted changes after save changes",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-020,NIMG-121,a44192fc9c50c9153cd49cf9f56712039bfe0e14,23724.167056438655,7076.100174606388,24171.667056438655,7303.100174606388,895.0,454.0,assets/source-images-added-v002/NIMG-121__a44192fc9c.png,L2-066 | L2-064 | L2-063 | L2-065 | L2-061,"L2-066: IMPLEMENTATION | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-061: EXECUTEASYNC | WITH NEW CONTEXT | PER RETRY PATTERN",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-021,NIMG-170,d9734d27aa74a06e820c034bf5f22b9aff86375c,23753.667056438655,7542.76696842963,24161.667056438655,7679.76696842963,816.0,274.0,assets/source-images-added-v002/NIMG-170__d9734d27aa.png,L2-065 | L2-066 | L2-064 | L2-063 | L2-061,"L2-065: why not just retry delegate because | we accepted changes after save changes | L2-066: IMPLEMENTATION | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-061: EXECUTEASYNC | WITH NEW CONTEXT | PER RETRY PATTERN",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-022,NIMG-062,537f6d09ce654a79764ee0fc9e0e211a9f0f51c4,23753.33346879217,7816.933685958927,24173.33346879217,8031.433685958927,840.0,429.0,assets/source-images-added-v002/NIMG-062__537f6d09ce.png,L2-065 | L2-066 | L2-064 | L2-063 | L2-057,"L2-065: why not just retry delegate because | we accepted changes after save changes | L2-066: IMPLEMENTATION | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-023,NIMG-070,61128fcc375b1750a8f5dbe4ebacc1ff40bb9ae5,23757.50049149725,8252.76696842963,24235.00049149725,8319.76696842963,955.0,134.0,assets/source-images-added-v002/NIMG-070__61128fcc37.png,L2-065 | L2-066 | L2-064 | L2-057 | L2-063,"L2-065: why not just retry delegate because | we accepted changes after save changes | L2-066: IMPLEMENTATION | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-024,NIMG-014,1c28ee08dd405e859b092cfe7b3089274ed7babd,26255.45486051243,6349.087387030503,26737.95486051243,6471.587387030503,965.0,245.0,assets/source-images-added-v002/NIMG-014__1c28ee08dd.png,L2-068 | L2-060 | L2-064 | L2-063 | L2-065,"L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-060: EXECUTEINTRANSACTIONASYNC | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-065: why not just retry delegate because | we accepted changes after save changes",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-025,NIMG-060,52983015a0c68b1f228be0fa43acc6f9e68b1040,26262.62136441868,6614.920638983628,26652.62136441868,6788.920638983628,780.0,348.0,assets/source-images-added-v002/NIMG-060__52983015a0.png,L2-068 | L2-060 | L2-064 | L2-065 | L2-063,"L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-060: EXECUTEINTRANSACTIONASYNC | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-026,NIMG-154,c615edd7e496b935a5b1764b9ac2e8d7d7d14984,26259.78786832493,6964.494742445,26679.28786832493,7154.994742445,839.0,381.0,assets/source-images-added-v002/NIMG-154__c615edd7e4.png,L2-068 | L2-060 | L2-064 | L2-065 | L2-063,"L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-060: EXECUTEINTRANSACTIONASYNC | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-027,NIMG-080,6d8a2eabcb60d4c24d13d055afd578f8c003fc6f,26259.12136441868,7376.754068955964,26732.62136441868,7513.254068955964,947.0,273.0,assets/source-images-added-v002/NIMG-080__6d8a2eabcb.png,L2-068 | L2-060 | L2-065 | L2-064 | L2-063,"L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-060: EXECUTEINTRANSACTIONASYNC | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-028,NIMG-157,c9a33930dc60eebe73f5e1f75a6bf65a6c5a99c1,19377.653257034217,7434.306828798307,19860.153257034217,7629.306828798307,965.0,390.0,assets/source-images-added-v002/NIMG-157__c9a33930dc.png,L2-058 | L2-059 | L2-062 | L2-067 | L2-057,L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-059: ABOUT ROLLBACKS | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-029,NIMG-189,fd3966a0287969575952edde5015848654c78835,19373.254973549767,7899.002238945085,19813.254973549767,8140.002238945085,880.0,482.0,assets/source-images-added-v002/NIMG-189__fd3966a028.png,L2-058 | L2-059 | L2-067 | L2-062 | L2-057,L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-059: ABOUT ROLLBACKS | L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-030,NIMG-144,bad6c7925d615c11a373c37d523aa6d4fcc06900,19381.420293105424,8367.395437940617,19832.920293105424,8450.395437940617,903.0,166.0,assets/source-images-added-v002/NIMG-144__bad6c7925d.png,L2-067 | L2-058 | L2-059 | L2-062 | L2-057,L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-059: ABOUT ROLLBACKS | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-031,NIMG-004,04a6014d7ef5b407ba1c4182d148514ec315537f,19394.1060004557,8549.546871516384,19772.6060004557,8790.546871516384,757.0,482.0,assets/source-images-added-v002/NIMG-004__04a6014d7e.png,L2-067 | L2-058 | L2-059 | L2-057 | L2-062,L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-059: ABOUT ROLLBACKS | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-032,NIMG-130,a986417d9ce80d2710290c2608e97f2b1d5d23ae,19380.381742656205,9037.612101057082,19711.381742656205,9168.112101057082,662.0,261.0,assets/source-images-added-v002/NIMG-130__a986417d9c.png,L2-067 | L2-059 | L2-058 | L2-057 | L2-062,L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-059: ABOUT ROLLBACKS | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback | L2-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION,RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-033,NIMG-019,22dbb748f8b8579bf7dea394d8d385440bc9cd45,26259.52219986704,7772.6684048908455,26521.52219986704,7871.1684048908455,524.0,197.0,assets/source-images-added-v002/NIMG-019__22dbb748f8.png,L2-068 | L2-065 | L2-060 | L2-064 | L2-063,"L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-060: EXECUTEINTRANSACTIONASYNC | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-034,NIMG-092,81e06c3726ff52dca6e8c9957be26b126fd843a4,24788.89519608794,6702.009731238827,25267.39519608794,6889.509731238827,957.0,375.0,assets/source-images-added-v002/NIMG-092__81e06c3726.png,L2-064 | L2-063 | L2-068 | L2-060 | L2-065,"L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-060: EXECUTEINTRANSACTIONASYNC | L2-065: why not just retry delegate because | we accepted changes after save changes",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-035,NIMG-023,2a8eabcdc070e60b22d5b2b0d17ef3e42fdf4560,24817.550074533698,7104.353481238827,25256.550074533698,7345.353481238827,878.0,482.0,assets/source-images-added-v002/NIMG-023__2a8eabcdc0.png,L2-064 | L2-065 | L2-068 | L2-063 | L2-060,"L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-065: why not just retry delegate because | we accepted changes after save changes | L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-060: EXECUTEINTRANSACTIONASYNC",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-036,NIMG-162,cfc56d6d5fe530c9ffd13f7e3251d9f05b59b58a,24824.395440228564,7615.509731238827,25291.395440228564,7769.509731238827,934.0,308.0,assets/source-images-added-v002/NIMG-162__cfc56d6d5f.png,L2-065 | L2-064 | L2-068 | L2-063 | L2-060,"L2-065: why not just retry delegate because | we accepted changes after save changes | L2-064: PROBLEMS WITH REUSING SAME DBCONTEXT | L2-068: normal executeasync will retry when it see ambiguous outcome | so if operation is not idempotent it may be dangerous | L2-063: CAN WE JUST WRAP THE SAVECHANGES(FALSE) AND RETRY THE PROBLEMATIC | PARTS WITHOUT CLEARING MODIFIED STATES? | SO WHEN WE CANT DO EVERYTHING OUTSIDE OF RETRY, | WE CANT JUST USE SAV | L2-060: EXECUTEINTRANSACTIONASYNC",RB02-upper-middle,pending-verified-transcript-after-source-repair
NU-037,NIMG-094,8434b9c8e69db98975660828962aaa3776e6c92d,19337.204977666934,9679.400742519963,19711.204977666934,9920.400742519963,748.0,482.0,assets/source-images-added-v002/NIMG-094__8434b9c8e6.png,L2-067 | L2-058 | L2-109 | L2-059 | L2-057,"L2-067: DO I NEED TO DISPOSE | EXECUTION STRATEGY? | L2-058: IF THERE IS NO LOGIC | AFTER WE CATCH AND ROLLBACK | SO WE DONT STRICTLY NEED | MANUAL ROLLBACK | BECAUSE WITH USING | THERE WILL BE A ROLLBACK | ON DISPOSAL | L2-109: different sql server error codes, what can do with each | L2-059: ABOUT ROLLBACKS | L2-057: !!! executeasync without transaction is possible when we dont have multiple | writes and the state that we need to rollback",RB02-upper-middle,pending-verified-transcript-after-source-repair
