combined_source_id,region_source_id,source_id,image_use_id,region,fileId_short,x,y,width,height,status,readability,confidence,topic,nearest_labels,duplicate_use_count,duplicate_source_ids,notes
R04R05R06-S001,R04-S001,S-001,IU-001,R04,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Custom/manual Polly pipeline provider, context passing, registry/provider patterns",manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S012,R04-S012,S-066,IU-066,R04,19b9f83a9f,19761.172100105032,3035.516279879112,748.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S013,R04-S013,S-078,IU-078,R04,afb5f438bc,19781.05508572293,3532.717984424582,926.0,397.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S014,R04-S014,S-087,IU-087,R04,893dc6acd1,19820.403607562417,3942.445257151876,777.0,283.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",!!! | !!! | cheat sheet | how to handle? | !!! | classic polly httppolicyextensions,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S015,R04-S015,S-090,IU-090,R04,291353b6eb,19846.37980994304,4254.991883290319,757.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",!!! | !!! | how to handle? | cheat sheet | !!! | so we need ratelimitpartition when,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S016,R04-S016,S-099,IU-099,R04,bc0bef8a0c,19866.661119802957,4773.92140049915,917.0,309.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",!!! | how to handle? | !!! | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S017,R04-S017,S-104,IU-104,R04,4fda85091a,19855.927718390787,5045.733121548457,945.0,349.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | !!! | !!! | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S018,R04-S018,S-111,IU-111,R04,f4fdb2ed48,19894.499070345515,5408.931552961321,600.0,326.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | !!! | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case) | 2 we need to create ratelimiter with callback that has httpcontext,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S019,R04-S019,S-119,IU-119,R04,b5dc89056b,19920.327993196275,5745.62699348197,847.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | !!! | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case) | 2 we need to create ratelimiter with callback that has httpcontext,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S020,R04-S020,S-129,IU-129,R04,764fb76254,19927.680170276948,6234.013003547179,967.0,320.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | !!! | classic polly transient failures | new polly | vs httprequest exception | so we need ratelimitpartition when,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S021,R04-S021,S-136,IU-136,R04,26d2f62a54,19950.01536666401,6556.170312830216,920.0,320.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | classic polly transient failures | new polly | vs httprequest exception | manually | !!!,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S022,R04-S022,S-141,IU-141,R04,b6dcef0735,19967.422694951776,6902.61474032045,920.0,456.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | classic polly transient failures | new polly | vs httprequest exception | manually | with extension,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S023,R04-S023,S-147,IU-147,R04,b81bec3438,20033.358730108022,7384.064404812028,622.0,263.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Classic Polly policy cheat sheet: retry, timeout, circuit breaker, fallback, bulkhead, wrap, AddPolicyHandler integration",how to handle? | classic polly transient failures | new polly | vs httprequest exception | manually | with extension,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S024,R04-S024,S-175,IU-175,R04,d86de76424,17345.070296660386,10034.045743887427,1128.0,202.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Manual/extension classic Polly transient-failure examples and newer-pipeline comparison,manually | with extension | classic polly transient failures | new polly | vs httprequest exception | how to handle?,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S025,R04-S025,S-177,IU-177,R04,4de8acb1fd,18003.494005086293,10374.064452509328,969.0,350.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Manual/extension classic Polly transient-failure examples and newer-pipeline comparison,manually | with extension | classic polly transient failures | new polly | vs httprequest exception | how to handle?,2,"S-054,S-177",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S026,R04-S026,S-178,IU-178,R04,fdb5e44e62,17082.34028254504,10403.164485609164,741.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Manual/extension classic Polly transient-failure examples and newer-pipeline comparison,with extension | manually | classic polly transient failures | new polly | vs httprequest exception | conditional rate limiting,2,"S-044,S-178",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S027,R04-S027,S-180,IU-180,R04,c6022c85f6,18012.64103394041,10725.284781911714,871.0,374.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Manual/extension classic Polly transient-failure examples and newer-pipeline comparison,manually | with extension | classic polly transient failures | new polly | vs httprequest exception | how to handle?,2,"S-062,S-180",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S028,R05-S001,S-012,IU-012,R05,083fb22bce,24291.15537021769,1358.6371742376705,962.0,367.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S029,R05-S002,S-015,IU-015,R05,764dcc83ea,22913.77902118424,1401.5346805602803,1020.0,479.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry | !!!,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S030,R05-S003,S-018,IU-018,R05,4903cfaa87,21752.877416116127,1457.4150876491385,731.0,451.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S031,R05-S004,S-029,IU-029,R05,346be9b86f,24322.54174886805,1754.3142372259515,849.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S032,R05-S005,S-036,IU-036,R05,b49886f626,22978.32187412394,1910.6372352728267,977.0,477.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S033,R05-S006,S-037,IU-037,R05,4cd9d99fde,21713.155329527588,1948.304044354858,966.0,327.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S034,R05-S007,S-046,IU-046,R05,5b7c0cfb1e,24317.0108606928,2270.795604549092,789.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S035,R05-S008,S-049,IU-049,R05,5105984e7b,21715.39477211703,2415.6555007699408,703.0,430.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S036,R05-S009,S-050,IU-050,R05,7acb455cf8,22979.655126077065,2427.137296307983,1017.0,462.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S037,R05-S010,S-061,IU-061,R05,f0f446defd,21712.89593931724,2906.084028601972,1072.0,272.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S038,R05-S011,S-063,IU-063,R05,99e5aa46a2,22979.155248147377,2912.137296307983,994.0,444.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S039,R05-S012,S-072,IU-072,R05,ad86b967da,22979.74485031442,3391.647672284545,902.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic Polly HttpPolicyExtensions / HandleTransientHttpError / transient HTTP failure definitions,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S040,R05-S013,S-086,IU-086,R05,b2e1373c76,22966.988500100502,3866.3039222845455,1021.0,397.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,!!! | !!! | !!! | exception bubbling | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S041,R05-S014,S-091,IU-091,R05,fd03be6790,22975.45894796851,4256.981046307983,887.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,!!! | !!! | !!! | exception bubbling | !!!! | classic polly httppolicyextensions,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S042,R05-S015,S-098,IU-098,R05,ec6965f4e3,22975.32187412394,4757.303983319702,1007.0,359.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,!!! | !!! | !!! | exception bubbling | !!!! | how to handle?,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S043,R05-S016,S-107,IU-107,R05,a92f6fd8d2,22999.84110288524,5134.3144203314205,761.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,!!! | how to handle? | !!!! | !!! | !!! | exception bubbling,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S044,R05-S017,S-117,IU-117,R05,219d2a4c02,23016.655126077065,5628.470609296264,871.0,470.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,how to handle? | !!! | !!!! | choosing pipelines based on something | exception bubbling | !!!,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S045,R05-S018,S-125,IU-125,R05,7ee20c322a,23018.22580501448,6092.980985272827,849.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Classic AddPolicyHandler / registry overloads and choosing policies based on request/exception bubbling context,how to handle? | !!!! | choosing pipelines based on something | !!! | exception bubbling | !!!,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S046,R06-S001,S-017,IU-017,R06,260ed0a5d4,28760.08108619206,1437.5279388326871,911.0,267.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S047,R06-S002,S-028,IU-028,R06,3bd3aa517f,28766.914303267957,1746.0516902277725,924.0,469.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S048,R06-S003,S-043,IU-043,R06,a35edc76b1,28783.509657620634,2212.742180950443,807.0,328.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S049,R06-S004,S-054,IU-054,R06,4de8acb1fd,28776.795371906348,2556.027938832687,969.0,350.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,Exception handling | theory | mapping | using Polly; | using Polly.Timeout; | using Polly.Bulkhead;,2,"S-054,S-177",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S050,R06-S005,S-062,IU-062,R06,c6022c85f6,28740.79665622092,2911.646957387389,871.0,374.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,Exception handling | theory | mapping | exception bubbling | using Polly; | using Polly.Timeout;,2,"S-062,S-180",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S051,R06-S006,S-071,IU-071,R06,a9f9394a5c,28769.843049082687,3294.766063135159,861.0,183.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,Exception handling | theory | mapping | exception bubbling | try | {,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S052,R06-S007,S-075,IU-075,R06,020cb4e5d1,28782.414477654114,3499.361243101679,893.0,170.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,Production-ready custom policy wrap and exception bubbling theory,Exception handling | theory | mapping | exception bubbling | try | {,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S053,R06-S008,S-096,IU-096,R06,f16a32b44a,28897.45403860789,4710.184026314453,914.0,385.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",theory | Exception handling | mapping | in newer | try | {,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S054,R06-S009,S-100,IU-100,R06,347d669f32,27279.21763290924,4830.801197564853,915.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",exception bubbling | !!!! | theory | Exception handling | mapping | in newer,2,"S-027,S-100",Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S055,R06-S010,S-106,IU-106,R06,946be8013b,28882.78753470164,5103.017339302734,986.0,410.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",theory | in newer | mapping | Exception handling | try | {,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S056,R06-S011,S-110,IU-110,R06,400b773a1d,27295.504673214986,5317.021123218217,921.0,456.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",!!!! | exception bubbling | theory | Exception handling | in newer | mapping,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S057,R06-S012,S-115,IU-115,R06,94f45be6d3,28973.45403860789,5535.183904244141,810.0,335.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",in newer | theory | mapping | Exception handling | try | {,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S058,R06-S013,S-120,IU-120,R06,d52b2f01d7,27323.837925168107,5806.521123218217,955.0,309.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping",!!!! | exception bubbling | choosing pipelines based on something | in newer | theory | exception bubling,1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S059,R06-S014,S-123,IU-123,R06,471abbd4f5,28980.45428274852,5885.184026314453,940.0,419.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping","in newer | exception bubling | outer starts call inner one, not throw to inner | theory | mapping | !!!!",1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S060,R06-S015,S-126,IU-126,R06,714b86f673,27335.76921068369,6169.134781578292,694.0,482.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping","!!!! | choosing pipelines based on something | exception bubling | outer starts call inner one, not throw to inner | so cant tell inner starts to not handle ex from outer because ex | bubble fro miner to outer and outer just call inner ones",1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
R04R05R06-S061,R06-S016,S-132,IU-132,R06,b9b85c83e8,28995.620786654767,6355.850774361328,899.0,411.0,processed-in-r04r05r06-v001,medium-high,high for ownership and concepts; medium-high for exact code punctuation,"Newer Polly exception handling: what to handle, what bubbles, and transient exception mapping","in newer | exception bubling | outer starts call inner one, not throw to inner | so cant tell inner starts to not handle ex from outer because ex | bubble fro miner to outer and outer just call inner ones | !!!!",1,,Verified by region contact-sheet review; preserved source image should be used for exact code punctuation.
