label_id,x,y,font_size,text
L-066,2958.731,933.918,89.197,primary file options
L-067,3846.874,974.936,89.197,log files options
L-068,3839.957,495.252,89.197,log on
L-069,4898.051,2572.929,20.0,"After i did this on another query file, i had got same error but when i did quey on"
L-070,4898.051,2597.929,20.0,"same file where i use model, i got result"
L-071,7619.24,2252.64,20.0,USE model;
L-072,7619.24,2277.64,20.0,SELECT
L-073,7619.24,2302.64,20.0,"name,"
L-074,7619.24,2327.64,20.0,"physical_name,"
L-075,7619.24,2352.64,20.0,"size/128.0 AS CurrentSizeMB,"
L-076,7619.24,2377.64,20.0,CASE max_size
L-077,7619.24,2402.64,20.0,WHEN -1 THEN 'UNLIMITED'
L-078,0.0,192.62,20.0,WHEN 268435456 THEN '2GB'
L-079,0.0,217.62,20.0,ELSE CAST(max_size/128.0 AS VARCHAR) + ' MB'
L-080,0.0,242.62,20.0,"END AS MaxSize,"
L-081,0.0,267.62,20.0,"growth/128.0 AS GrowthMB,"
L-082,0.0,292.62,20.0,CASE is_percent_growth
L-083,0.0,317.62,20.0,WHEN 1 THEN CAST(growth AS VARCHAR) + '%'
L-084,0.0,342.62,20.0,ELSE 'Fixed MB'
L-085,0.0,367.62,20.0,END AS GrowthType
L-086,0.0,392.62,20.0,FROM sys.database_files;
L-087,11227.384,2184.424,20.0,Practical Demonstration:
L-088,11227.384,2209.424,20.0,sql
L-089,11227.384,2234.424,20.0,-- ============================================
L-090,11227.384,2259.424,20.0,"-- DEMONSTRATING MASTER, MODEL, and GO"
L-091,11227.384,2284.424,20.0,-- ============================================
L-092,11227.384,2309.424,20.0,
L-093,0.0,167.62,20.0,-- 1. Show we're in MASTER (control database)
L-094,0.0,192.62,20.0,USE master;
L-095,0.0,217.62,20.0,GO
L-096,0.0,242.62,20.0,
L-097,0.0,267.62,20.0,SELECT 'Current database: ' + DB_NAME();
L-098,0.0,292.62,20.0,GO
L-099,0.0,317.62,20.0,
L-100,0.0,342.62,20.0,-- 2. Check what databases exist (info stored in MASTER)
L-101,0.0,367.62,20.0,"SELECT name, state_desc, create_date"
L-102,0.0,392.62,20.0,FROM sys.databases
L-103,0.0,417.62,20.0,ORDER BY name;
L-104,0.0,442.62,20.0,GO
L-105,0.0,467.62,20.0,
L-106,0.0,492.62,20.0,-- 3. Look at MODEL's current settings
L-107,0.0,517.62,20.0,SELECT
L-108,0.0,542.62,20.0,"'MODEL Database Settings:',"
L-109,0.0,567.62,20.0,"name,"
L-110,0.0,592.62,20.0,"size/128.0 AS SizeMB,"
L-111,0.0,617.62,20.0,CASE max_size
L-112,0.0,642.62,20.0,WHEN -1 THEN 'UNLIMITED'
L-113,0.0,667.62,20.0,ELSE CAST(max_size/128.0 AS VARCHAR) + ' MB'
L-114,0.0,692.62,20.0,END AS MaxSize
L-115,0.0,717.62,20.0,FROM sys.master_files
L-116,0.0,742.62,20.0,WHERE database_id = DB_ID('model');
L-117,0.0,767.62,20.0,GO
L-118,0.0,792.62,20.0,
L-119,0.0,817.62,20.0,-- 4. Create a new database (uses MODEL as template)
L-120,0.0,842.62,20.0,CREATE DATABASE DemoDB;
L-121,0.0,867.62,20.0,GO  -- Batch separator required!
L-122,0.0,892.62,20.0,
L-123,0.0,917.62,20.0,-- 5. Switch to new database
L-124,0.0,942.62,20.0,USE DemoDB;
L-125,0.0,967.62,20.0,GO  -- Required after USE!
L-126,0.0,992.62,20.0,
L-127,0.0,1017.62,20.0,-- 6. Check what was created (inherited from MODEL)
L-128,0.0,1042.62,20.0,SELECT 'Now in database: ' + DB_NAME();
L-129,0.0,1067.62,20.0,GO
L-130,0.0,1092.62,20.0,
L-131,0.0,1117.62,20.0,-- 7. Clean up
L-132,0.0,1142.62,20.0,USE master;
L-133,0.0,1167.62,20.0,GO
L-134,0.0,1192.62,20.0,
L-135,0.0,1217.62,20.0,DROP DATABASE DemoDB;
L-136,0.0,1242.62,20.0,GO
L-137,6804.296,267.849,112.952,master
L-138,5399.241,374.266,112.952,purpose of master
L-139,6461.599,834.2,112.952,what it contains
L-140,7754.772,342.135,112.952,Model
L-141,8813.819,296.421,112.952,Go
L-142,9672.988,364.699,112.952,go usecases
L-143,11090.686,406.439,112.952,System databases
L-144,8731.146,1099.885,112.952,when required
L-145,8825.674,1759.167,78.25,mistakes
L-146,9671.27,1522.479,78.25,variable scope
L-147,9685.02,1080.53,78.25,executing multiple times
L-148,9684.037,596.35,78.25,separating ddl statements
L-149,7716.264,1411.246,78.25,customizing model
L-150,7717.905,991.114,78.25,model defaults
L-151,1541.876,2017.778,122.196,Defalults
L-152,1541.876,2170.523,122.196,is log db created by default
L-153,7336.055,2119.635,122.196,check model defaults
L-154,3409.121,1871.213,122.196,default max limit for
L-155,3409.121,2023.958,122.196,logs 2GB
L-156,4858.753,1795.044,90.619,multiple windows with queries
L-157,4858.753,1908.318,90.619,= multiple connections
L-158,13189.848,5189.777,169.333,"login , user"
L-159,14427.16,5199.502,121.675,create login
L-160,14427.16,5351.596,121.675,user
L-161,15560.067,5701.853,121.675,fixed server roles
L-162,15626.11,6377.067,121.675,fixed db roles
L-163,14367.429,6167.287,121.675,common options
L-164,14248.138,6561.682,121.675,windows auth account
L-165,15535.85,7005.948,121.675,custom roles
L-166,15535.85,7158.042,121.675,with granting
L-167,15535.85,7310.136,121.675,permissions
L-168,15641.961,4974.333,125.51,grant roles
L-169,15641.961,5131.22,125.51,(alter role by
L-170,15641.961,5288.107,125.51,adding member)
L-171,11874.293,5085.332,169.333,sql server
L-172,11874.293,5296.999,169.333,sec hierarchy
L-173,11794.293,7410.548,372.0,security
L-174,10014.293,10917.215,372.0,sql server syntax
L-175,11009.115,16954.194,94.667,view/indexed view
L-176,8337.963,16847.337,186.222,common
L-177,8337.963,17080.114,186.222,constraints
L-178,9108.027,13413.763,67.111,!!!
L-179,1044.124,17247.385,20.0,"key lines, that make this"
L-180,1044.124,17272.385,20.0,a merge
L-181,1044.124,17297.385,20.0,
L-182,1044.124,17322.385,20.0,we say that we
L-183,1044.124,17347.385,20.0,merge into users table
L-184,1044.124,17372.385,20.0,
L-185,1044.124,17397.385,20.0,
L-186,0.0,192.62,20.0,ON means the condition for match
L-187,0.0,217.62,20.0,
L-188,0.0,242.62,20.0,then we just do thigs on match
L-189,0.0,267.62,20.0,and not match
L-190,0.0,292.62,20.0,
L-191,524.685,17534.145,20.0,we have variables from our query
L-192,524.685,17559.145,20.0,and we built some temp source
L-193,12895.977,5612.782,20.0,login + user - authentication
L-194,12895.977,5637.782,20.0,users roles authorization
