source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,9968a326170ab8e3e70506f889bcd97f17290d54,9968a32617,1953.417,5769.187,640.0,366.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-012,12,7871ad7bfaa8ee1ae2ac30f077a572c2245e9f15,7871ad7bfa,2069.747,10.0,786.0,440.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-013,13,b5ea95e89f6ec09227006f0e51b77d81a8114d84,b5ea95e89f,2045.932,459.944,812.0,377.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-014,14,a14a102e72d4d529679a090202bf759c731e9bea,a14a102e72,2093.21,842.889,853.0,440.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-015,15,6ff8129ccdf1673690f099d8b0ace377463fb2a0,6ff8129ccd,2043.821,1323.5,794.0,401.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-016,16,d6530c1ab77d1faad2f1fbc656322d924083eefa,d6530c1ab7,2051.169,1740.622,768.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-017,17,55f797c6ac506386bd1ffa1cdbefbfe8adfb83ae,55f797c6ac,2034.497,2233.717,812.0,436.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-018,18,606861dc7d3c6896298cba3d34ed3652335ea65d,606861dc7d,2051.44,2678.339,705.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-019,19,11d33025785cee27af4fe7b99987f2aa473b7d1b,11d3302578,2005.775,3149.217,685.0,465.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-020,20,31d4ca20464dd784a7670103682d83c7f9fbfa84,31d4ca2046,1973.664,3677.384,687.0,382.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-021,21,fd280e3ed446b80be817e88f64a7aa0609074811,fd280e3ed4,1951.249,4075.376,695.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-022,22,9f9deb002863ecc4f5375b51363d6932ae668b41,9f9deb0028,1887.683,4562.279,782.0,427.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-003: built in tag helpers | L-002: cache tag helper | L-004: tempdata viewdata viewbag | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-023,23,9dbe5fbea6a4505abbf0709c907e9eeee0090db3,9dbe5fbea6,1871.496,5117.306,728.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-001: shows validation errors,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-024,24,b85325bcf209979385c6bee268a021ac8bf51f50,b85325bcf2,789.247,6472.543,746.0,482.0,0.0,1,R01-base-mvc-razor-products-app-views-layouts,P01-R01R02-base-mvc-views-state-and-validation,"Base MVC/Razor Products app, folder structure, views, layout, _ViewStart/_ViewImports, models, view models, controller/view flow, partials/view components.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-025,25,ff9f2db9344c0fab78cfe1e7efd5896506f2a5fa,ff9f2db934,3004.475,9404.835,596.0,298.0,0.0,1,R04-cache-tag-helper-view-components-display-validation,P02-R03R04-tag-helpers-cache-components-display-validation,"Cache Tag Helper, cache variation/expiration, view components, display templates, Product views and validation/tag-helper examples.",L-001: shows validation errors | L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-026,26,df2535d309733cb1fd9a2e7c81087d028c61c0b4,df2535d309,2973.512,9055.786,744.0,352.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-001: shows validation errors | L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-027,27,5e759d648ad0209ce09ebd623b5390e424f03909,5e759d648a,799.001,7423.862,617.0,402.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-028,28,039619cc9682442b48a1dcdec21e46382b808ad5,039619cc96,743.52,7008.429,811.0,402.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-001: shows validation errors | L-004: tempdata viewdata viewbag | L-003: built in tag helpers,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-029,29,9a7dbd701feab665c4718d5b22fd3bc976088d76,9a7dbd701f,733.208,2756.202,860.0,419.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-030,30,a43f30d8061fb73394430fbf0c0730f91cab4ebb,a43f30d806,750.638,2245.518,702.0,482.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-031,31,a1f6d3f5a77d39cded33c609c8f1f5ceac359f5e,a1f6d3f5a7,3190.3,2793.307,771.0,210.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-032,32,0a6f01bff5b355226d5b5d2cefa0923cb4b2054a,0a6f01bff5,3176.671,2290.61,800.0,482.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-033,33,e46087566e9ca79852664613af6e721cdc612c63,e46087566e,3198.505,1776.928,618.0,482.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-002: cache tag helper | L-001: shows validation errors,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-034,34,fb66430395c1f1da12b7f4f60d19d8e8cd327a62,fb66430395,684.988,4148.294,862.0,183.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-035,35,da008cadb6734760014c9ea01459a029e32885c7,da008cadb6,665.012,3669.794,806.0,463.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-036,36,6708b06ad20152ea541d67c4314d67fe7f6d8d0c,6708b06ad2,675.368,3282.415,822.0,267.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-004: tempdata viewdata viewbag | L-003: built in tag helpers | L-002: cache tag helper | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-037,37,1dbb39d35f65878eae1d2c3ac24b541198ac3133,1dbb39d35f,2728.776,6703.968,833.0,178.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-038,38,c4221803c10eb0c7e6e5c1d5ae09004bfce98957,c4221803c1,2696.727,6475.321,826.0,185.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-039,39,e5c5f6ebfeacaa573fb7b30d7f89b2a0e2ea1407,e5c5f6ebfe,2704.18,5077.169,867.0,205.0,0.0,1,R02-viewdata-viewbag-tempdata-validation-flow,P01-R01R02-base-mvc-views-state-and-validation,"ViewData, ViewBag, TempData, passing small UI data, post-redirect-get toast messages, validation/error display flow.",L-002: cache tag helper | L-003: built in tag helpers | L-004: tempdata viewdata viewbag | L-001: shows validation errors,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-040,40,318b41de17c91a59bed7f271b4915af7002f3bf8,318b41de17,2826.602,6170.049,920.0,160.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
S-041,41,70c4902468f1bc41c1c70d12e56a3f296be60791,70c4902468,2795.212,5803.343,779.0,350.0,0.0,1,R03-built-in-tag-helpers-forms-selects-infrastructure,P02-R03R04-tag-helpers-cache-components-display-validation,"Built-in MVC tag helpers, form/input/label/select/validation/partial/environment helpers, tag-helper infrastructure and helper internals.",L-002: cache tag helper | L-001: shows validation errors | L-003: built in tag helpers | L-004: tempdata viewdata viewbag,checked-not-p01-reserved-for-p02-r03r04,yes-not-p01,Checked during P01 boundary review; reserved for P02.,candidate-P02-R03R04,yes-for-p02-r03r04
