source_id,sha256,sha256_12,image_file,pixel_width,pixel_height,placement_count,region_id,title,first_x,first_y,nearest_text_groups,nearest_canvas_text,status,transcript_status
S-025,bf6c594ffc14d775b582b131836e969ef01020f202364540c9b12b0efb3f2a56,bf6c594ffc14,source/images/S-025__bf6c594ffc14.png,996,505,1,R02,Register handler and configure AtLeast18 policy,10990.142310795723,2418.0928955804393,"[""TG-003"", ""TG-002"", ""TG-006""]","[""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION"", ""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-026,d15243009307770416ee20f127c6270c45e69d3cbcc05b7174a821527b8aca97,d15243009307,source/images/S-026__d15243009307.png,786,380,1,R02,RequireClaim allowed values are OR inside one requirement,19276.529009331556,2503.0444540873796,"[""TG-001"", ""TG-015"", ""TG-016""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""IAuthorizationRequirementData"", ""example""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-027,04bd6e4af1cfb692da267a7a3e731548c4ac0c8fde0bfde21eab828729ca442a,04bd6e4af1cf,source/images/S-027__04bd6e4af1cf.png,1020,575,1,R02,Role and policy authorization attributes,14974.89375445299,2520.393406983412,"[""TG-005"", ""TG-001"", ""TG-002""]","[""BASIC,\nGLOBAL AUTHORIZATION"", ""BASIC POLICIES IN ADDAUTHORIZATION"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-028,578b715430cbe7f1115c0c0db34f19fb298bb6fd31bd627bb0db059f2afa19c0,578b715430cb,source/images/S-028__578b715430cb.png,952,423,1,R02,RequireAuthenticatedUser and RequireAssertion,17215.120832780027,2524.768181266314,"[""TG-001"", ""TG-005"", ""TG-015""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""IAuthorizationRequirementData""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-029,95c2aee6e001a72f6dc8416147d054fe34736120b6fa3b18141a394661400020,95c2aee6e001,source/images/S-029__95c2aee6e001.png,774,311,1,R02,Resource-based owner-edit code continuation,12904.378443958374,2544.956907600852,"[""TG-002"", ""TG-005"", ""TG-009""]","[""RESOURCE BASED AUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""when policy might succeed when\none handler didnt call success""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-030,80cf7dd51367416c7e384b0d5f593bc053c6848e243b2e0e30e1db2766e31154,80cf7dd51367,source/images/S-030__80cf7dd51367.png,998,217,1,R02,Constructing claims and default issuer LOCAL AUTHORITY,20616.229599180904,2583.673308549267,"[""TG-015"", ""TG-016"", ""TG-001""]","[""IAuthorizationRequirementData"", ""example"", ""BASIC POLICIES IN ADDAUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-031,86a439b9108da448042d34f8f50a93f150e1d00f26d0ad43e90b69ffc4a083dc,86a439b9108d,source/images/S-031__86a439b9108d.png,936,525,1,R02,Generic resource handler signature and typed resource access,7785.2894684450785,2607.945073263143,"[""TG-025"", ""TG-024"", ""TG-012""]","[""succeed(req)"", ""resource"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-032,86f8496e2860021ad12d0afe1217525e26126393c2c2ff78b0556b211f3cc43e,86f8496e2860,source/images/S-032__86f8496e2860.png,941,368,1,R02,Why PendingRequirements.ToList is required during iteration,4616.84070073588,2663.7196081464917,"[""TG-013"", ""TG-034"", ""TG-020""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""Pendingrequirements"", ""requirements""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-033,6748221317fe1b4ad3c517459111c28ad9d0938da0a40e3d6da3e3c78c14263d,6748221317fe,source/images/S-033__6748221317fe.png,957,487,1,R02,Claim issuer as a trust boundary with multiple schemes,20661.57829317355,2830.1113695537133,"[""TG-015"", ""TG-016"", ""TG-001""]","[""IAuthorizationRequirementData"", ""example"", ""BASIC POLICIES IN ADDAUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-034,2ec2a6ee24c7dcd7711644b656511f0a6355f155e7a0a87d2960a8bf260e912b,2ec2a6ee24c7,source/images/S-034__2ec2a6ee24c7.png,971,319,1,R02,"Custom requirement, handler, DI registration, and policy registration",12878.100632272177,2873.1791467772746,"[""TG-002"", ""TG-005"", ""TG-009""]","[""RESOURCE BASED AUTHORIZATION"", ""BASIC,\nGLOBAL AUTHORIZATION"", ""when policy might succeed when\none handler didnt call success""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-035,cac23e96cd0d201015f8a4cc15e18336ee8da8156a9fb9630943238a2bcd484e,cac23e96cd0d,source/images/S-035__cac23e96cd0d.png,867,352,1,R02,Multiple requirements in one policy use AND semantics,11057.4544309677,2932.13803446933,"[""TG-006"", ""TG-003"", ""TG-002""]","[""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement"", ""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-036,8f6b3f5c49795b66b6e7c7d68cbf4d0afd4e65d73e6cadd0cb7a7f2b07f96657,8f6b3f5c4979,source/images/S-036__8f6b3f5c4979.png,833,208,1,R02,Manual OR logic versus multiple requirement calls,19301.325924352197,2937.290226614765,"[""TG-015"", ""TG-016"", ""TG-001""]","[""IAuthorizationRequirementData"", ""example"", ""BASIC POLICIES IN ADDAUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-037,62f3d35cb6a400058e4af1cff22c797710582dbb539e818dd9832b42c5fab00e,62f3d35cb6a4,source/images/S-037__62f3d35cb6a4.png,996,313,1,R02,Policy-specific authentication schemes,17214.073271861133,2985.455934852849,"[""TG-001"", ""TG-015"", ""TG-017""]","[""BASIC POLICIES IN ADDAUTHORIZATION"", ""IAuthorizationRequirementData"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-038,95f772551bc86e47ba6fbc89032243828c6793691eb7768aa1a71daeedbdf024,95f772551bc8,source/images/S-038__95f772551bc8.png,971,219,1,R02,Minimal API RequireAuthorization,14995.73949349143,3045.4942523203263,"[""TG-005"", ""TG-001"", ""TG-009""]","[""BASIC,\nGLOBAL AUTHORIZATION"", ""BASIC POLICIES IN ADDAUTHORIZATION"", ""when policy might succeed when\none handler didnt call success""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-039,9847653a571c676eff71d34f9ea6c9f0f1ff29b430bbdd68fa5a05a5720466bd,9847653a571c,source/images/S-039__9847653a571c.png,697,275,1,R02,RequireClaim without allowed values accepts any value for that claim type,19328.263205711206,3154.094486062175,"[""TG-015"", ""TG-016"", ""TG-017""]","[""IAuthorizationRequirementData"", ""example"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-040,6e4115c897c897819931adb7433978199daca86c4d86bfdb18c13c8c59b73838,6e4115c897c8,source/images/S-040__6e4115c897c8.png,917,462,1,R02,Controller flow for resource-based authorization,12910.656153919312,3199.4569584634773,"[""TG-002"", ""TG-009"", ""TG-005""]","[""RESOURCE BASED AUTHORIZATION"", ""when policy might succeed when\none handler didnt call success"", ""BASIC,\nGLOBAL AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-041,4b4872b88aa54984a85a8a21ba7d58cfe1f7c124cf257743997ee9f6d2d735a4,4b4872b88aa5,source/images/S-041__4b4872b88aa5.png,911,398,1,R03,PermissionRequirement carrying a permission name,4627.766855947313,3238.7990252994914,"[""TG-013"", ""TG-034"", ""TG-004""]","[""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""Pendingrequirements"", ""NON Generic AuthorizationHandler""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-042,100267b21ad03fbec0f235a32739cd3cdc1932063eb3eeeac3a19e27781d4110,100267b21ad0,source/images/S-042__100267b21ad0.png,762,354,1,R03,Inspecting claim issuer,20629.334759284244,3273.361846317588,"[""TG-016"", ""TG-015"", ""TG-017""]","[""example"", ""IAuthorizationRequirementData"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-043,50dd27627c2565f7df2d12fdf46606ff08c442fec4111f53bbdd393bd8d0b1f8,50dd27627c25,source/images/S-043__50dd27627c25.png,666,447,1,R03,Claims and roles basics,15096.255594178125,3289.2718278586017,"[""TG-005"", ""TG-001"", ""TG-009""]","[""BASIC,\nGLOBAL AUTHORIZATION"", ""BASIC POLICIES IN ADDAUTHORIZATION"", ""when policy might succeed when\none handler didnt call success""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-044,03d12685fe2e43b320e18c64af52c42a29de519a8967fe9c770ce54033d5e28b,03d12685fe2e,source/images/S-044__03d12685fe2e.png,956,521,1,R03,Succeed removes one specific requirement from PendingRequirements,7786.0644670914935,3293.2784778041587,"[""TG-025"", ""TG-033"", ""TG-012""]","[""succeed(req)"", ""fail"", ""but with min apis context.resource is usually either\nhttpcontext or endpoint\nso dont give a fuck about it\nunless you are using non generic handler\nthen you need to check wnat is the type of resource""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-045,02286505fe9f9a3b546f4e25cd8a2f4a415a1fc14f410fd32fc80d1ed8caf093,02286505fe9f,source/images/S-045__02286505fe9f.png,821,292,1,R03,"Handler outcomes: succeed, do nothing, or fail",11068.602624327075,3302.8787299988307,"[""TG-006"", ""TG-003"", ""TG-002""]","[""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement"", ""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-046,4176eefdb469a5ddf011c17cbe263a62c36ea202de74de715b591b9c57f2387f,4176eefdb469,source/images/S-046__4176eefdb469.png,785,328,1,R03,One RequireClaim with several values is OR; separate calls are AND,19325.802528771623,3450.2395957104964,"[""TG-015"", ""TG-016"", ""TG-017""]","[""IAuthorizationRequirementData"", ""example"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-047,b0ab22b9993ef63bd6419966512069f05f19b1196c40bdb7f97da7d19a174291,b0ab22b9993e,source/images/S-047__b0ab22b9993e.png,926,536,1,R03,"Scope APIs, fallback secure default, and quick AuthorizeAsync reference",11093.589250643734,3601.7965766785182,"[""TG-006"", ""TG-003"", ""TG-002""]","[""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement"", ""CUSTOM POLICIES WITH AUTHORIZATION\nHANDLERS WITH REQUIREMENTS"", ""RESOURCE BASED AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-048,950135defd9233056277fac563c444b9507661421b682997d8ea5ec147def505,950135defd92,source/images/S-048__950135defd92.png,783,438,1,R03,RequireClaim does not validate issuer; custom assertion example,20712.6881878328,3678.5457872816114,"[""TG-016"", ""TG-015"", ""TG-017""]","[""example"", ""IAuthorizationRequirementData"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-049,511bad35c0ba61e61c89492a03641ca5f8563259f0549e6e2b755b8a51d14156,511bad35c0ba,source/images/S-049__511bad35c0ba.png,1014,411,1,R03,Controller resource-based edit flow and forbid result,12943.267400664103,3686.068001757743,"[""TG-009"", ""TG-002"", ""TG-006""]","[""when policy might succeed when\none handler didnt call success"", ""RESOURCE BASED AUTHORIZATION"", ""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-050,83102e372542aacaaacb6aafe59ae492ce287ca79788e59babc5793aaa147aaf,83102e372542,source/images/S-050__83102e372542.png,926,344,1,R03,Policy containing multiple PermissionRequirement instances,4642.345917304116,3722.994722175694,"[""TG-004"", ""TG-013"", ""TG-034""]","[""NON Generic AuthorizationHandler"", ""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)"", ""Pendingrequirements""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-051,77bb64bdf22182a3aecc25459760eacb8915ae51b336693bbb59b93513cca4ba,77bb64bdf221,source/images/S-051__77bb64bdf221.png,824,135,1,R03,Roles are commonly represented as claims,15095.774067485416,3771.197798995743,"[""TG-009"", ""TG-017"", ""TG-005""]","[""when policy might succeed when\none handler didnt call success"", ""case in authoriz\nmiddleware"", ""BASIC,\nGLOBAL AUTHORIZATION""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-052,ca3340ce0142ac8bb6e8ce5576000fc66f8aa7e8f84eed14dcb407e47c2803e7,ca3340ce0142,source/images/S-052__ca3340ce0142.png,934,437,1,R03,Fail is stronger than leaving a requirement unsatisfied,7778.810723240698,3925.404106805361,"[""TG-033"", ""TG-025"", ""TG-026""]","[""fail"", ""succeed(req)"", ""When non generic""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-053,ba2327778ece8b2c63189f4592b4861cbeb93f0f5954dc2d320694ff546baa9b,ba2327778ece,source/images/S-053__ba2327778ece.png,1001,258,1,R03,Authorization pitfalls and practical checklist,11084.973039908673,4128.471286422426,"[""TG-006"", ""TG-008"", ""TG-009""]","[""why to not use context.fail everywhere, multiple handlers registered\nfor one requirement"", ""scope claims"", ""when policy might succeed when\none handler didnt call success""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-054,356780cb4a6c35c6d565b3717aaaf50f59e7664a32e041ecbb812336a969dfad,356780cb4a6c,source/images/S-054__356780cb4a6c.png,977,398,1,R03,JWT issuer notes and validation rules,20711.38176736547,4134.68827477724,"[""TG-016"", ""TG-015"", ""TG-017""]","[""example"", ""IAuthorizationRequirementData"", ""case in authoriz\nmiddleware""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
S-055,7d5c2fc156338e1971b19d7e16267ebb9eeececafb7dadcdb9e3ff5a0279c931,7d5c2fc15633,source/images/S-055__7d5c2fc15633.png,916,655,1,R03,MultiPermissionHandler batches pending permission checks,4642.169538345919,4148.124186461389,"[""TG-004"", ""TG-032"", ""TG-013""]","[""NON Generic AuthorizationHandler"", ""even if there is some inher\ncan use generic handler"", ""IAuthoriazationHandler\nmultiple requirements (usually of one type,\nlike scope requirement)""]",visually-reviewed-stage0-v002,pending-near-literal-source-block
