line_id,group_id,x,y,text
L-038,TG-010,13872.5789669295,6067.768662310836,can edit requirement
L-039,TG-010,13872.5789669295,6067.768662310836,admincanedithandler
L-040,TG-010,13872.5789669295,6067.768662310836,scopehandler (IAuthorizaitonHandler not gen)
L-041,TG-011,12172.6581376805,7881.558173365969,better to add fallbackpolicy
L-042,TG-011,12172.6581376805,7881.558173365969,and mark allowanonymus where you dont have
L-043,TG-011,12172.6581376805,7881.558173365969,it
L-044,TG-012,6876.141995066686,1866.6731524896586,but with min apis context.resource is usually either
L-045,TG-012,6876.141995066686,1866.6731524896586,httpcontext or endpoint
L-046,TG-012,6876.141995066686,1866.6731524896586,so dont give a fuck about it
L-047,TG-012,6876.141995066686,1866.6731524896586,unless you are using non generic handler
L-048,TG-012,6876.141995066686,1866.6731524896586,then you need to check wnat is the type of resource
L-049,TG-013,4497.588418652813,1917.224933463849,IAuthoriazationHandler
L-050,TG-013,4497.588418652813,1917.224933463849,"multiple requirements (usually of one type,"
L-051,TG-013,4497.588418652813,1917.224933463849,like scope requirement)
L-052,TG-014,2780.6024592249632,383.3995297988786,"its requirements, not handlers"
L-053,TG-014,2780.6024592249632,383.3995297988786,if there was no handler tthat ve
L-054,TG-014,2780.6024592249632,383.3995297988786,called success on requirement
L-055,TG-014,2780.6024592249632,383.3995297988786,requirement is failed and policy is failed
L-056,TG-015,17587.798036712396,5404.511459067329,IAuthorizationRequirementData
L-057,TG-016,18035.144339166887,5860.269016329406,example
L-058,TG-017,16912.71996727413,5459.056858126281,case in authoriz
L-059,TG-017,16912.71996727413,5459.056858126281,middleware
L-060,TG-018,267.0511745653821,4652.870635905821,using Microsoft.AspNetCore.Authorization;
L-061,TG-018,267.0511745653821,4652.870635905821,using System.Security.Claims;
L-062,TG-018,267.0511745653821,4652.870635905821,public sealed class ScopeRequirementHandler : AuthorizationHandler<ScopeRequirement>
L-063,TG-018,267.0511745653821,4652.870635905821,{
L-064,TG-018,267.0511745653821,4652.870635905821,"protected override Task HandleRequirementAsync(AuthorizationHandlerContext context, ScopeRequirement requirement)"
L-065,TG-018,267.0511745653821,4652.870635905821,{
L-066,TG-018,267.0511745653821,4652.870635905821,"if (HasScope(context.User, requirement.Scope))"
L-067,TG-018,267.0511745653821,4652.870635905821,context.Succeed(requirement);
L-068,TG-018,267.0511745653821,4652.870635905821,return Task.CompletedTask; // do nothing => not satisfied
L-069,TG-018,267.0511745653821,4652.870635905821,}
L-070,TG-018,267.0511745653821,4652.870635905821,"private static bool HasScope(ClaimsPrincipal user, string needed)"
L-071,TG-018,267.0511745653821,4652.870635905821,{
L-072,TG-018,267.0511745653821,4652.870635905821,// gather all possible scope strings
L-073,TG-018,267.0511745653821,4652.870635905821,"var values = user.FindAll(""scope"").Select(c => c.Value)"
L-074,TG-018,267.0511745653821,4652.870635905821,".Concat(user.FindAll(""scp"").Select(c => c.Value));"
L-075,TG-018,267.0511745653821,4652.870635905821,foreach (var v in values)
L-076,TG-018,267.0511745653821,4652.870635905821,{
L-077,TG-018,267.0511745653821,4652.870635905821,"// handle both ""a b c"" and single-value"
L-078,TG-018,267.0511745653821,4652.870635905821,"var scopes = v.Split(' ', StringSplitOptions.RemoveEmptyEntries);"
L-079,TG-018,267.0511745653821,4652.870635905821,"if (scopes.Contains(needed, StringComparer.Ordinal))"
L-080,TG-018,267.0511745653821,4652.870635905821,return true;
L-081,TG-018,267.0511745653821,4652.870635905821,}
L-082,TG-018,267.0511745653821,4652.870635905821,return false;
L-083,TG-018,267.0511745653821,4652.870635905821,}
L-084,TG-018,267.0511745653821,4652.870635905821,}
L-085,TG-019,1311.1648502882817,3781.7462359302945,scope claims
L-086,TG-020,5851.8653605550935,1230.0001525878906,requirements
L-087,TG-021,3641.8653605550935,296.6667175292969,requirements vs
L-088,TG-021,3641.8653605550935,296.6667175292969,pending requirements
L-089,TG-022,5075.198795613687,10.0,authorizationhandlercontext
L-090,TG-023,7851.865564005615,887.7778625488281,user
L-091,TG-024,7838.532267663286,1528.9900207519531,resource
L-092,TG-025,7821.804994936012,3122.6870089444246,succeed(req)
L-093,TG-026,7104.633142130613,5399.25279189601,When non generic
L-094,TG-027,4449.394407476595,6600.205245509292,different requirement types
L-095,TG-027,4449.394407476595,6600.205245509292,one logical domain
L-096,TG-028,5849.530940848368,9635.761072332209,when need to succeed all
L-097,TG-028,5849.530940848368,9635.761072332209,fail all based on one thing
L-098,TG-029,5990.864436942118,11651.761072332209,auth rule dispatcher
L-099,TG-029,5990.864436942118,11651.761072332209,(switch inside)
L-100,TG-030,6059.023924078156,6613.807777790107,"batching, when we can"
L-101,TG-030,6059.023924078156,6613.807777790107,check all permissions in
L-102,TG-030,6059.023924078156,6613.807777790107,one call to api/method
L-103,TG-031,7679.023924078156,6673.807777790107,requirements need
L-104,TG-031,7679.023924078156,6673.807777790107,to be considered
L-105,TG-031,7679.023924078156,6673.807777790107,together
L-106,TG-032,6066.324418420525,5860.480769046375,even if there is some inher
L-107,TG-032,6066.324418420525,5860.480769046375,can use generic handler
L-108,TG-033,7820.027162904762,3800.9091769131746,fail
L-109,TG-034,5773.53207808439,1945.0001525878906,Pendingrequirements
L-110,TG-035,7544.988496461472,8130.193918894269,!!!!
