use_id,source_id,sha256_12,region_id,x,y,width,height,opacity,transform,placement_index_for_source,duplicate_of_use_id,status
IU-014,S-014,f6d50d1202a0,R01,11008.649297136013,1916.4262168036348,772.0,482.0,1.0,translate(11008.649297136013 1916.4262168036348) rotate(0 385.8499999999999 241.15625),1,,inventoried-stage0-v002
IU-015,S-015,c2fe17547122,R01,20617.325230991148,1941.9924494911465,740.0,482.0,1.0,translate(20617.325230991148 1941.9924494911465) rotate(0 369.8268666107383 241.15625),1,,inventoried-stage0-v002
IU-016,S-016,d3db066d4dd0,R01,12862.710285992736,1998.808056198106,885.0,482.0,1.0,translate(12862.710285992736 1998.808056198106) rotate(0 442.34946428571425 241.15625),1,,inventoried-stage0-v002
IU-017,S-017,ce06053a6598,R01,7816.469145987026,2009.2784167690024,771.0,482.0,1.0,translate(7816.469145987026 2009.2784167690024) rotate(0 385.4342133620685 241.15625),1,,inventoried-stage0-v002
IU-018,S-018,d6ea2afe3923,R01,19240.206820831103,2014.674883400592,843.0,482.0,1.0,translate(19240.206820831103 2014.674883400592) rotate(0 421.69637206148286 241.15625),1,,inventoried-stage0-v002
IU-019,S-019,f36d3a057339,R01,14912.8505367857,2042.7162982187638,963.0,461.0,1.0,translate(14912.8505367857 2042.7162982187638) rotate(0 481.5 230.5),1,,inventoried-stage0-v002
IU-020,S-020,56d37ae8eae7,R01,17191.269026139402,2055.119987906939,976.0,426.0,1.0,translate(17191.269026139402 2055.119987906939) rotate(0 488.00000000000006 213),1,,inventoried-stage0-v002
IU-021,S-021,cb0e5c4c52b3,R02,5767.885003025853,2123.3858928974714,934.0,270.0,1.0,translate(5767.885003025853 2123.3858928974714) rotate(0 467 135),1,,inventoried-stage0-v002
IU-022,S-022,3dc9924ba952,R02,3481.1823665296142,2126.9500377256754,896.0,482.0,1.0,translate(3481.1823665296142 2126.9500377256754) rotate(0 448.1366641716568 241.15625),1,,inventoried-stage0-v002
IU-023,S-023,a4f06df799ef,R02,4642.576337665465,2154.574994855733,836.0,482.0,1.0,translate(4642.576337665465 2154.574994855733) rotate(0 417.9749886569871 241.15625),1,,inventoried-stage0-v002
IU-024,S-024,35f5407c0188,R02,5770.55177141778,2404.941414544597,942.0,358.0,1.0,translate(5770.55177141778 2404.941414544597) rotate(0 471 179),1,,inventoried-stage0-v002
IU-025,S-025,bf6c594ffc14,R02,10990.142310795723,2418.0928955804393,951.0,482.0,1.0,translate(10990.142310795723 2418.0928955804393) rotate(0 475.62698019801974 241.15625),1,,inventoried-stage0-v002
IU-026,S-026,d15243009307,R02,19276.529009331556,2503.0444540873796,786.0,380.0,1.0,translate(19276.529009331556 2503.0444540873796) rotate(0 393 190),1,,inventoried-stage0-v002
IU-027,S-027,04bd6e4af1cf,R02,14974.89375445299,2520.393406983412,856.0,482.0,1.0,translate(14974.89375445299 2520.393406983412) rotate(0 427.7902173913044 241.15625),1,,inventoried-stage0-v002
IU-028,S-028,578b715430cb,R02,17215.120832780027,2524.768181266314,952.0,423.0,1.0,translate(17215.120832780027 2524.768181266314) rotate(0 476.00000000000006 211.5),1,,inventoried-stage0-v002
IU-029,S-029,95c2aee6e001,R02,12904.378443958374,2544.956907600852,774.0,311.0,1.0,translate(12904.378443958374 2544.956907600852) rotate(0 387 155.5),1,,inventoried-stage0-v002
IU-030,S-030,80cf7dd51367,R02,20616.229599180904,2583.673308549267,998.0,217.0,1.0,translate(20616.229599180904 2583.673308549267) rotate(0 499 108.5),1,,inventoried-stage0-v002
IU-031,S-031,86a439b9108d,R02,7785.2894684450785,2607.945073263143,860.0,482.0,1.0,translate(7785.2894684450785 2607.945073263143) rotate(0 429.94714285714326 241.15625),1,,inventoried-stage0-v002
IU-032,S-032,86f8496e2860,R02,4616.84070073588,2663.7196081464917,941.0,368.0,1.0,translate(4616.84070073588 2663.7196081464917) rotate(0 470.5 184),1,,inventoried-stage0-v002
IU-033,S-033,6748221317fe,R02,20661.57829317355,2830.1113695537133,948.0,482.0,1.0,translate(20661.57829317355 2830.1113695537133) rotate(0 473.8943146817246 241.15625),1,,inventoried-stage0-v002
IU-034,S-034,2ec2a6ee24c7,R02,12878.100632272177,2873.1791467772746,971.0,319.0,1.0,translate(12878.100632272177 2873.1791467772746) rotate(0 485.5 159.5),1,,inventoried-stage0-v002
IU-035,S-035,cac23e96cd0d,R02,11057.4544309677,2932.13803446933,867.0,352.0,1.0,translate(11057.4544309677 2932.13803446933) rotate(0 433.5 176),1,,inventoried-stage0-v002
IU-036,S-036,8f6b3f5c4979,R02,19301.325924352197,2937.290226614765,833.0,208.0,1.0,translate(19301.325924352197 2937.290226614765) rotate(0 416.5 104),1,,inventoried-stage0-v002
IU-037,S-037,62f3d35cb6a4,R02,17214.073271861133,2985.455934852849,996.0,313.0,1.0,translate(17214.073271861133 2985.455934852849) rotate(0 498 156.5),1,,inventoried-stage0-v002
IU-038,S-038,95f772551bc8,R02,14995.73949349143,3045.4942523203263,971.0,219.0,1.0,translate(14995.73949349143 3045.4942523203263) rotate(0 485.5 109.5),1,,inventoried-stage0-v002
IU-039,S-039,9847653a571c,R02,19328.263205711206,3154.094486062175,697.0,275.0,1.0,translate(19328.263205711206 3154.094486062175) rotate(0 348.5 137.5),1,,inventoried-stage0-v002
IU-040,S-040,6e4115c897c8,R02,12910.656153919312,3199.4569584634773,917.0,462.0,1.0,translate(12910.656153919312 3199.4569584634773) rotate(0 458.5 231),1,,inventoried-stage0-v002
IU-041,S-041,4b4872b88aa5,R03,4627.766855947313,3238.7990252994914,911.0,398.0,1.0,translate(4627.766855947313 3238.7990252994914) rotate(0 455.5 199),1,,inventoried-stage0-v002
IU-042,S-042,100267b21ad0,R03,20629.334759284244,3273.361846317588,762.0,354.0,1.0,translate(20629.334759284244 3273.361846317588) rotate(0 381 177),1,,inventoried-stage0-v002
IU-043,S-043,50dd27627c25,R03,15096.255594178125,3289.2718278586017,666.0,447.0,1.0,translate(15096.255594178125 3289.2718278586017) rotate(0 333 223.5),1,,inventoried-stage0-v002
IU-044,S-044,03d12685fe2e,R03,7786.0644670914935,3293.2784778041587,885.0,482.0,1.0,translate(7786.0644670914935 3293.2784778041587) rotate(0 442.5055182341648 241.15625),1,,inventoried-stage0-v002
IU-045,S-045,02286505fe9f,R03,11068.602624327075,3302.8787299988307,821.0,292.0,1.0,translate(11068.602624327075 3302.8787299988307) rotate(0 410.5 146),1,,inventoried-stage0-v002
IU-046,S-046,4176eefdb469,R03,19325.802528771623,3450.2395957104964,785.0,328.0,1.0,translate(19325.802528771623 3450.2395957104964) rotate(0 392.5 164),1,,inventoried-stage0-v002
IU-047,S-047,b0ab22b9993e,R03,11093.589250643734,3601.7965766785182,833.0,482.0,1.0,translate(11093.589250643734 3601.7965766785182) rotate(0 416.6244169776119 241.15625),1,,inventoried-stage0-v002
IU-048,S-048,950135defd92,R03,20712.6881878328,3678.5457872816114,783.0,438.0,1.0,translate(20712.6881878328 3678.5457872816114) rotate(0 391.5 219),1,,inventoried-stage0-v002
IU-049,S-049,511bad35c0ba,R03,12943.267400664103,3686.068001757743,1014.0,411.0,1.0,translate(12943.267400664103 3686.068001757743) rotate(0 507 205.5),1,,inventoried-stage0-v002
IU-050,S-050,83102e372542,R03,4642.345917304116,3722.994722175694,926.0,344.0,1.0,translate(4642.345917304116 3722.994722175694) rotate(0 463 172),1,,inventoried-stage0-v002
IU-051,S-051,77bb64bdf221,R03,15095.774067485416,3771.197798995743,824.0,135.0,1.0,translate(15095.774067485416 3771.197798995743) rotate(0 412 67.5),1,,inventoried-stage0-v002
IU-052,S-052,ca3340ce0142,R03,7778.810723240698,3925.404106805361,934.0,437.0,1.0,translate(7778.810723240698 3925.404106805361) rotate(0 467 218.5),1,,inventoried-stage0-v002
IU-053,S-053,ba2327778ece,R03,11084.973039908673,4128.471286422426,1001.0,258.0,1.0,translate(11084.973039908673 4128.471286422426) rotate(0 500.5 129),1,,inventoried-stage0-v002
IU-054,S-054,356780cb4a6c,R03,20711.38176736547,4134.68827477724,977.0,398.0,1.0,translate(20711.38176736547 4134.68827477724) rotate(0 488.5 199),1,,inventoried-stage0-v002
IU-055,S-055,7d5c2fc15633,R03,4642.169538345919,4148.124186461389,938.0,670.0,1.0,translate(4642.169538345919 4148.124186461389) rotate(0 468.81068329556274 335.2303466796875),1,,inventoried-stage0-v002
IU-056,S-056,961faf90010b,R03,1484.1149682410542,4225.7839313997365,976.0,355.0,1.0,translate(1484.1149682410542 4225.7839313997365) rotate(0 488 177.5),1,,inventoried-stage0-v002
IU-057,S-056,961faf90010b,R03,10737.233856845494,7017.517540337756,976.0,355.0,1.0,translate(10737.233856845494 7017.517540337756) rotate(0 488 177.5),2,IU-056,inventoried-stage0-v002
IU-058,S-057,a58a93244dc4,R03,1519.1839501790928,4626.088727296589,884.0,482.0,1.0,translate(1519.1839501790928 4626.088727296589) rotate(0 442.1949182242988 241.15625),1,,inventoried-stage0-v002
IU-059,S-057,a58a93244dc4,R03,10772.302838783533,7417.822336234609,884.0,482.0,1.0,translate(10772.302838783533 7417.822336234609) rotate(0 442.1949182242988 241.15625),2,IU-058,inventoried-stage0-v002
IU-060,S-058,d9fa3dcf0f55,R03,1502.4245448948677,5148.063159114766,947.0,442.0,1.0,translate(1502.4245448948677 5148.063159114766) rotate(0 473.5 221),1,,inventoried-stage0-v002
IU-061,S-058,d9fa3dcf0f55,R03,10755.54343349931,7939.796768052785,947.0,442.0,1.0,translate(10755.54343349931 7939.796768052785) rotate(0 473.5 221),2,IU-060,inventoried-stage0-v002
IU-062,S-059,b3d3860e13e1,R03,7075.807743533769,5567.458452533756,928.0,253.0,1.0,translate(7075.807743533769 5567.458452533756) rotate(0 464 126.5),1,,inventoried-stage0-v002
IU-063,S-060,2e29e7d75841,R03,6047.245141808509,5579.106621848986,976.0,235.0,1.0,translate(6047.245141808509 5579.106621848986) rotate(0 488 117.5),1,,inventoried-stage0-v002
IU-064,S-061,f3ec0ebfd96d,R04,1476.8942048735626,5631.138898195027,952.0,351.0,1.0,translate(1476.8942048735626 5631.138898195027) rotate(0 476 175.5),1,,inventoried-stage0-v002
IU-065,S-061,f3ec0ebfd96d,R04,10730.013093478003,8422.872507133046,952.0,351.0,1.0,translate(10730.013093478003 8422.872507133046) rotate(0 476 175.5),2,IU-064,inventoried-stage0-v002
IU-066,S-062,53992f53f0e5,R04,17893.53430045916,5635.636239024952,939.0,147.0,1.0,translate(17893.53430045916 5635.636239024952) rotate(0 469.5 73.5),1,,inventoried-stage0-v002
IU-067,S-063,add7639454fb,R04,16908.804574425703,5640.20217733875,782.0,482.0,1.0,translate(16908.804574425703 5640.20217733875) rotate(0 390.8964944253859 241.15625),1,,inventoried-stage0-v002
IU-068,S-064,33f8b19af7d1,R04,13913.376895639407,5766.794175504916,1033.0,282.0,1.0,translate(13913.376895639407 5766.794175504916) rotate(0 516.5 141),1,,inventoried-stage0-v002
IU-069,S-065,d4e2dff67ec6,R04,11864.056838450162,5871.94361965309,1107.0,403.0,1.0,translate(11864.056838450162 5871.94361965309) rotate(0 553.5 201.5),1,,inventoried-stage0-v002
IU-070,S-066,feb930e951d0,R04,1451.9698884673126,6013.199522751148,997.0,319.0,1.0,translate(1451.9698884673126 6013.199522751148) rotate(0 498.5 159.5),1,,inventoried-stage0-v002
IU-071,S-066,feb930e951d0,R04,10705.088777071753,8804.933131689168,997.0,319.0,1.0,translate(10705.088777071753 8804.933131689168) rotate(0 498.5 159.5),2,IU-070,inventoried-stage0-v002
IU-072,S-067,eb7f882e6cb1,R04,17923.53418420172,6030.913883591067,939.0,312.0,1.0,translate(17923.53418420172 6030.913883591067) rotate(0 469.5 156),1,,inventoried-stage0-v002
IU-073,S-068,dc5cf22cf3cb,R04,6040.56683777205,6079.8643637578125,913.0,366.0,1.0,translate(6040.56683777205 6079.8643637578125) rotate(0 456.5 183),1,,inventoried-stage0-v002
IU-074,S-069,ea0842f7788b,R04,16870.03440218442,6130.636137299694,966.0,217.0,1.0,translate(16870.03440218442 6130.636137299694) rotate(0 482.99999999999994 108.5),1,,inventoried-stage0-v002
IU-075,S-070,0e8228f66e5d,R04,12022.422652212004,6296.319037565054,707.0,430.0,1.0,translate(12022.422652212004 6296.319037565054) rotate(0 353.46153846153857 215),1,,inventoried-stage0-v002
IU-076,S-071,53bb0e186368,R04,1462.7225562939457,6338.816000023869,937.0,482.0,1.0,translate(1462.7225562939457 6338.816000023869) rotate(0 468.35335578842296 241.15625),1,,inventoried-stage0-v002
IU-077,S-071,53bb0e186368,R04,14027.793103160056,7939.752670709769,937.0,482.0,1.0,translate(14027.793103160056 7939.752670709769) rotate(0 468.3533557884232 241.15625),2,IU-076,inventoried-stage0-v002
IU-078,S-071,53bb0e186368,R04,10715.841444898386,9130.549608961888,937.0,482.0,1.0,translate(10715.841444898386 9130.549608961888) rotate(0 468.35335578842296 241.15625),3,IU-076,inventoried-stage0-v002
IU-079,S-072,a88dbef74a0d,R04,17923.136112735796,6340.04334787677,890.0,482.0,1.0,translate(17923.136112735796 6340.04334787677) rotate(0 445.13628296146044 241.15625),1,,inventoried-stage0-v002
IU-080,S-073,57a1c9463450,R04,13911.393787339286,6377.655591915766,848.0,284.0,1.0,translate(13911.393787339286 6377.655591915766) rotate(0 424 142),1,,inventoried-stage0-v002
IU-081,S-074,04334976e0ab,R04,13936.131911641742,6686.274610470457,909.0,162.0,1.0,translate(13936.131911641742 6686.274610470457) rotate(0 454.5 81),1,,inventoried-stage0-v002
IU-082,S-075,a5869fcb8619,R04,12073.45561924497,6746.200019010366,822.0,195.0,1.0,translate(12073.45561924497 6746.200019010366) rotate(0 411 97.5),1,,inventoried-stage0-v002
IU-083,S-076,176e59d437a2,R04,17913.224718520916,6838.890045002885,952.0,357.0,1.0,translate(17913.224718520916 6838.890045002885) rotate(0 476 178.5),1,,inventoried-stage0-v002
IU-084,S-077,a5e708f3becb,R05,13994.207460868833,6876.985133340929,714.0,376.0,1.0,translate(13994.207460868833 6876.985133340929) rotate(0 357.17038539553755 188.125),1,,inventoried-stage0-v002
IU-085,S-078,6c9ff652a3d2,R05,12105.81140990139,6963.845397002055,668.0,482.0,1.0,translate(12105.81140990139 6963.845397002055) rotate(0 333.9086538461538 241.15625),1,,inventoried-stage0-v002
IU-086,S-079,141bd552a656,R05,4658.848617750587,6981.89306723546,714.0,482.0,1.0,translate(4658.848617750587 6981.89306723546) rotate(0 356.959003712871 241.15625),1,,inventoried-stage0-v002
IU-087,S-080,4c0e5676fdb9,R05,6090.307499393144,7105.7159432120225,1043.0,368.0,1.0,translate(6090.307499393144 7105.7159432120225) rotate(0 521.5 184),1,,inventoried-stage0-v002
IU-088,S-081,88a5bc258634,R05,7734.307865604082,7199.049500340929,883.0,136.0,1.0,translate(7734.307865604082 7199.049500340929) rotate(0 441.5 68),1,,inventoried-stage0-v002
IU-089,S-082,b73360104c71,R05,17919.470759955067,7224.786824381135,983.0,316.0,1.0,translate(17919.470759955067 7224.786824381135) rotate(0 491.5 158),1,,inventoried-stage0-v002
IU-090,S-083,cfa71fe6f7a4,R05,13999.815320833055,7271.151812723253,761.0,376.0,1.0,translate(13999.815320833055 7271.151812723253) rotate(0 380.72916666666674 188.125),1,,inventoried-stage0-v002
IU-091,S-084,0b2dd4897d20,R05,7728.116047594522,7356.5599373526475,826.0,482.0,1.0,translate(7728.116047594522 7356.5599373526475) rotate(0 413.02506996268676 241.15625),1,,inventoried-stage0-v002
IU-092,S-085,da475ed8995f,R05,12116.577206604687,7455.477808413883,772.0,280.0,1.0,translate(12116.577206604687 7455.477808413883) rotate(0 386 140),1,,inventoried-stage0-v002
IU-093,S-086,79ddc4a4a107,R05,4635.807499393144,7485.8826912588975,960.0,229.0,1.0,translate(4635.807499393144 7485.8826912588975) rotate(0 480 114.5),1,,inventoried-stage0-v002
IU-094,S-087,4eefadefe8e9,R05,6076.974125369707,7489.215882176866,971.0,313.0,1.0,translate(6076.974125369707 7489.215882176866) rotate(0 485.5 156.5),1,,inventoried-stage0-v002
IU-095,S-088,66d9fafd0903,R05,14027.793102870355,7660.297674004037,905.0,219.0,1.0,translate(14027.793102870355 7660.297674004037) rotate(0 452.5 109.5),1,,inventoried-stage0-v002
IU-096,S-089,36072269a0f4,R05,4637.669041083285,7728.559754247179,922.0,482.0,1.0,translate(4637.669041083285 7728.559754247179) rotate(0 460.80520635673656 241.15625),1,,inventoried-stage0-v002
IU-097,S-090,cf0a31a01f5c,R05,6092.640873416582,7789.3826912588975,969.0,430.0,1.0,translate(6092.640873416582 7789.3826912588975) rotate(0 484.5 215),1,,inventoried-stage0-v002
IU-098,S-091,033de3a3aff9,R05,7712.750015593734,7852.811445792939,911.0,430.0,1.0,translate(7712.750015593734 7852.811445792939) rotate(0 455.62913907284747 215),1,,inventoried-stage0-v002
IU-099,S-092,5bbc661ec82d,R05,15336.48021050772,8007.873720051795,853.0,482.0,1.0,translate(15336.48021050772 8007.873720051795) rotate(0 426.62565601145036 241.15625),1,,inventoried-stage0-v002
IU-100,S-093,e275ce3b3e5d,R06,12182.601237017632,8162.073254319295,867.0,387.0,1.0,translate(12182.601237017632 8162.073254319295) rotate(0 433.5 193.5),1,,inventoried-stage0-v002
IU-101,S-094,1c3aff5862e8,R06,4642.640873416582,8217.216004247179,917.0,433.0,1.0,translate(4642.640873416582 8217.216004247179) rotate(0 458.5 216.5),1,,inventoried-stage0-v002
IU-102,S-095,fda2f4c38289,R06,6082.307499393144,8239.215943212022,875.0,237.0,1.0,translate(6082.307499393144 8239.215943212022) rotate(0 437.5 118.5),1,,inventoried-stage0-v002
IU-103,S-096,ed7d40e607c1,R06,6095.974247440019,8473.382569188585,941.0,294.0,1.0,translate(6095.974247440019 8473.382569188585) rotate(0 470.5 147),1,,inventoried-stage0-v002
IU-104,S-097,40395a24e3fd,R06,15345.939148989874,8511.196611287147,901.0,229.0,1.0,translate(15345.939148989874 8511.196611287147) rotate(0 450.5 114.5),1,,inventoried-stage0-v002
IU-105,S-098,50c168b40e35,R06,12201.58190129151,8590.607451445418,928.0,482.0,1.0,translate(12201.58190129151 8590.607451445418) rotate(0 464.043087121212 241.15625),1,,inventoried-stage0-v002
IU-106,S-099,7978e250ab4e,R06,4672.640873416582,8660.04931723546,953.0,406.0,1.0,translate(4672.640873416582 8660.04931723546) rotate(0 476.5 203),1,,inventoried-stage0-v002
IU-107,S-100,01803b7cd13f,R06,15369.114648255145,8777.318071248084,904.0,482.0,1.0,translate(15369.114648255145 8777.318071248084) rotate(0 451.76908081285444 241.15625),1,,inventoried-stage0-v002
IU-108,S-101,ddf8f9ad7ec8,R06,4653.807499393144,9070.049378270616,980.0,266.0,1.0,translate(4653.807499393144 9070.049378270616) rotate(0 490 133),1,,inventoried-stage0-v002
IU-109,S-102,a312e122724a,R06,12242.934628479687,9101.573254319295,933.0,428.0,1.0,translate(12242.934628479687 9101.573254319295) rotate(0 466.5 214),1,,inventoried-stage0-v002
IU-110,S-103,2e8974dda879,R06,15466.293817664573,9312.873694620483,647.0,482.0,1.0,translate(15466.293817664573 9312.873694620483) rotate(0 323.47866465863456 241.15625),1,,inventoried-stage0-v002
IU-111,S-104,736c6f4be959,R06,12250.93447153214,9559.787644665279,1021.0,291.0,1.0,translate(12250.93447153214 9559.787644665279) rotate(0 510.5 145.5),1,,inventoried-stage0-v002
IU-112,S-105,57e3e044a64a,R07,5527.934744614966,10162.771738790745,966.0,239.0,1.0,translate(5527.934744614966 10162.771738790745) rotate(0 483 119.5),1,,inventoried-stage0-v002
IU-113,S-106,750d44b30fa9,R07,6665.475271033942,10163.483848674367,979.0,367.0,1.0,translate(6665.475271033942 10163.483848674367) rotate(0 489.5 183.5),1,,inventoried-stage0-v002
IU-114,S-107,9a5c66cbccd5,R07,5546.819032358071,10420.660954895893,699.0,482.0,1.0,translate(5546.819032358071 10420.660954895893) rotate(0 349.60072720125754 241.15624999999977),1,,inventoried-stage0-v002
IU-115,S-108,55098e98a0c8,R07,6668.0227389468855,10531.77754112693,922.0,349.0,1.0,translate(6668.0227389468855 10531.77754112693) rotate(0 461 174.49999999999977),1,,inventoried-stage0-v002
IU-116,S-109,4ee0dddd5729,R07,6669.263738346392,10897.12129112693,1040.0,482.0,1.0,translate(6669.263738346392 10897.12129112693) rotate(0 519.7591226708073 241.15625),1,,inventoried-stage0-v002
IU-117,S-110,c573f91f9ea2,R07,6097.615308933866,11990.092109540561,984.0,374.0,1.0,translate(6097.615308933866 11990.092109540561) rotate(0 492 187),1,,inventoried-stage0-v002
IU-118,S-111,1e8edf2cad3b,R07,6128.448642267198,12360.592109540561,789.0,273.0,1.0,translate(6128.448642267198 12360.592109540561) rotate(0 394.5 136.5),1,,inventoried-stage0-v002
IU-119,S-112,22c7ea3c7fe0,R07,6131.959306755663,12669.269396324413,791.0,482.0,1.0,translate(6131.959306755663 12669.269396324413) rotate(0 395.4339155896605 241.15625),1,,inventoried-stage0-v002
