source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only
S-001,IU-001,1,image-9ead7d510447d65908a4b068bd5ff2e4ce16dc04,69750ca020,4769.484024628809,561.8877915985613,765.0,482.0,0.0,382.6649174528302,241.15625,1,T-032:and try versions | T-031:readasync/writeasync/readallasync/complete | T-030:channelwriter/reader | T-024:channelreader | T-033:create and get
S-031,IU-031,42,image-ed5f7af8bfbcb3a64087fda4fa46e9e4b94809ae,b6bbad0f58,3449.1000077500003,6236.85200394216,818.0,461.0,0.0,409.0,230.5,1,T-007:tryread/trywrite | T-006:waitto... | T-015:like you will do with readallasync | T-014:you add to batch if there is some available and dont wait automatically | T-016:3 may want to give up after some count of attempts or
S-032,IU-032,43,image-be38b0b270ec4748eff1025fb6fcb0f19b14d0de,910c68a3ce,3444.3007399093594,6680.862440953879,625.0,482.0,0.0,312.46589381720423,241.15625,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-033,IU-033,44,image-8edb3eb52bbef253a930e59e0b054222dfc4c8af,e917fdf9e0,3446.7667557968753,7179.518690953879,788.0,365.0,0.0,394.0,182.5,1,"T-007:tryread/trywrite | T-006:waitto... | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or"
S-034,IU-034,49,image-e5e9ce62917e99d8b73fbfb19772ec75f5cceda2,5714d2f139,3529.7027755146382,5131.582021522157,527.0,245.0,0.0,263.5,122.5,1,T-009:singlewriter | T-008:singlereader | T-006:waitto... | T-007:tryread/trywrite | T-011:1 may need to do something when you processed currently avalable chunk and
S-035,IU-035,50,image-ab86810e6e1eaebc04a9b061b7e8b4ab0ba411d6,9fc4a5e15a,3527.1017181753505,5394.259053992861,871.0,482.0,0.0,435.4344313627255,241.15625,1,T-009:singlewriter | T-008:singlereader | T-006:waitto... | T-007:tryread/trywrite | T-011:1 may need to do something when you processed currently avalable chunk and
S-036,IU-036,52,image-11b72a8cdf389c03c52a77b689f04539dc169289,649b905901,49.75753124813309,3158.0123177494524,807.0,395.0,0.0,403.5,197.5,1,T-005:trycomplete | T-023:fullmodeoptions | T-021:bounded channel | T-022:channeltypes and their options | T-020:unbounded channel
S-037,IU-037,53,image-b083443e50c7fc41a97953dcf735d4781c4603d9,12ed9ea359,10.0,2651.6893197025774,919.0,482.0,0.0,459.25740917782014,241.15625,1,T-005:trycomplete | T-023:fullmodeoptions | T-021:bounded channel | T-022:channeltypes and their options | T-020:unbounded channel
S-038,IU-038,55,image-7fb4d050c621590938649f4876a2b61f017fbb28,c3c95ce055,2411.599499689616,6356.688744954856,711.0,482.0,0.0,355.4355177238806,241.15625,1,"T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or | T-015:like you will do with readallasync | T-014:you add to batch if there is some available and dont wait automatically"
S-039,IU-039,56,image-22f51fc5ef050fb6c59d400a33c45633fee79c5d,22f0101b88,2379.1332002055906,6878.022118978293,714.0,482.0,0.0,357.2351912313434,241.15625,1,"T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or | T-015:like you will do with readallasync | T-014:you add to batch if there is some available and dont wait automatically"
S-040,IU-040,57,image-f2f9ef9a400c44cd0bc885bac9c5905b146f0b4f,8a33220ff7,2364.3768980531922,7399.3554319665745,744.0,482.0,0.0,371.99149338374286,241.15625,1,"T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-016:3 may want to give up after some count of attempts or | T-015:like you will do with readallasync | T-014:you add to batch if there is some available and dont wait automatically"
S-041,IU-041,58,image-0214e95a36d2b0790dd895ec139906c9fde78cf0,20a1daf58f,2324.078363562142,7899.3554319665745,801.0,482.0,0.0,400.28990580448067,241.15625,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-018:and not wait forever | T-017:after some time of waiting start, after losed race | T-035:read group of items"
S-042,IU-042,63,image-b23e7750cce164d446c3e4005dc7df52195e0b59,895c72c0d2,1318.0349767233974,6961.688434230429,842.0,373.0,0.0,421.0,186.5,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-043,IU-043,64,image-85a6e11cd74afb0add93c37504969209712dc071,35b06c91d2,1332.810414978464,7352.8551415872025,517.0,401.0,0.0,258.6690604428486,200.66666666666652,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-044,IU-044,65,image-b826ed806ce75dd18e89102a0322d7fb1fc2a381,c1cc195551,1331.1615817720713,7749.299558904913,574.0,401.0,0.0,286.98447893569846,200.66666666666652,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-045,IU-045,66,image-1e3f0d258b75816745a476b815da0921eccacc03,93a2c2ef88,1329.7573074525617,8156.632851548147,575.0,376.0,0.0,287.5,188.0,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-046,IU-046,67,image-c2106de193b31c0887e16ba69d6b9c25abe64539,3a84fda7e9,1338.8683100567278,8543.188434230437,667.0,186.0,0.0,333.5,93.0,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-047,IU-047,68,image-97928b3afb52e26abe12b0f84f6bbe0ac7d4f0f1,40d96bc209,1341.9404493602115,8729.744016912726,746.0,401.0,0.0,373.09452736318417,200.66666666666652,1,"T-037:and process the whole group | T-036:until there is nothing to read | T-035:read group of items | T-018:and not wait forever | T-017:after some time of waiting start, after losed race"
S-048,IU-048,69,image-7925e153d0b47f607e9a1e0ea62bfacde649ab46,e678295334,11000.601989983767,3109.271809988294,481.0,443.0,0.0,240.5,221.5,1,T-019:websockets example | T-001:about await foreach | T-002:and possible sync reading/writing | T-003:and async awaiting | T-004:valuetask
S-049,IU-049,70,image-9becc617ee5454eee3c40020f14817f4dea94eb9,d7437357fc,10910.751327061971,3573.4250256690984,737.0,482.0,0.0,368.44601727447207,241.15625,1,T-019:websockets example | T-001:about await foreach | T-002:and possible sync reading/writing | T-003:and async awaiting | T-004:valuetask
S-050,IU-050,71,image-8991f96250f29a26399e08b60b3ff70e6243ee26,570ae45a1d,10904.530561412337,4071.1289528454354,776.0,325.0,0.0,388.0,162.5,1,T-019:websockets example | T-001:about await foreach | T-002:and possible sync reading/writing | T-003:and async awaiting | T-004:valuetask
S-051,IU-051,72,image-7c5ec833f291a401e5d5dc980a40e4312501673b,5731fe231a,10846.625915765017,4420.914667131153,808.0,334.0,0.0,404.0,167.0,1,T-019:websockets example | T-001:about await foreach | T-002:and possible sync reading/writing | T-003:and async awaiting | T-004:valuetask
S-052,IU-052,73,image-05975ddacdda384f27f5f172b19650bb4542d05a,74f1931b64,10846.616954635061,4775.32984570258,850.0,717.0,0.0,424.79783339928736,358.2991071428569,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-053,IU-053,74,image-0825c5df59f55b6b0f8dd09ab4d386d330b4351a,f8aaedfb4c,10815.435207059658,5517.605027064189,878.0,133.0,0.0,439.0,66.5,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-054,IU-054,75,image-0a7d6111dd0d1681e8f5c1833dfd029c89191e2d,cf8f5e4ddf,10860.81788852186,5689.615472795215,642.0,482.0,0.0,321.2365986717268,241.15625,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-055,IU-055,76,image-60a13b4dc224f0b37250231b9925113bb5b4d976,df5a898bfd,10863.031416444519,6177.234665736064,726.0,482.0,0.0,362.83253642987256,241.15625,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-056,IU-056,77,image-dc939f42cac724ce45e4be127fb9ef4bf0922252,84a8dbed34,10832.101989983767,6682.486095702584,818.0,268.0,0.0,409.0,134.0,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-057,IU-057,78,image-5ad6ff4b1951a465ee9241b8c6e1df0b3f7cfee1,d082a755d1,10820.982884235997,6990.224132811959,825.0,323.0,0.0,412.5,161.5,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-058,IU-058,79,image-f3833152997dcd90ca787aa8314793d661cfde11,366666af82,10811.340201479301,7295.986095702586,810.0,401.0,0.0,405.0,200.5,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-059,IU-059,80,image-20194dc00c9eaa6635c5134a443e036f295410b9,80a95f74d5,10802.904902465165,7723.901274274013,774.0,482.0,0.0,386.7686904761904,241.15625,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-060,IU-060,81,image-bb0b055743e2c17ad6f91198752ad9edbe9b4f68,12001449c3,10786.363952874392,8228.319399971559,799.0,403.0,0.0,399.5,201.5,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-061,IU-061,82,image-91d9e4a9364c4a214c5553f76b5cd9023d5d9530,b553a5bc46,10786.102164369926,8672.819399971559,750.0,394.0,0.0,375.0,197.0,1,T-019:websockets example | T-004:valuetask | T-003:and async awaiting | T-002:and possible sync reading/writing | T-001:about await foreach
S-062,IU-062,97,image-68038fa696cfa27b15221ca46ad05035869184de,3ff670517a,3867.798336813472,1210.5235238102941,828.0,434.0,0.0,414.0,217.0,1,T-034:reader or writer | T-033:create and get | T-024:channelreader | T-025:channelreader | T-032:and try versions
