source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,15a12266f36c727a280182d59b856d5d470c9e6c,15a12266f3,3204.004,224.716,1065.0,392.0,0.0,1,R01-application-model-conventions-overview-attributes,P01-R01R02-overview-and-convention-interfaces,"Overview, attributes, use-or-not decision, accessing nested models from outer conventions.",L-017: use or not | L-018: can access nested models | L-019: in outer convention | L-002: app model,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001
S-012,12,55a6e19eafe260513d3d7a06c7d954f10f47d80b,55a6e19eaf,2162.04,3203.914,713.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-003: Controller model | L-004: Action model | L-002: app model | L-019: in outer convention,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-013,13,615a08178d75d2acd2d8bf8bc634a9958fdefb32,615a08178d,2158.639,3691.641,888.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-004: Action model | L-003: Controller model | L-002: app model | L-005: Parameter model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-014,14,2580d0d76c6abe7a7340575304e52eb62a81734f,2580d0d76c,2168.156,4363.156,898.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-004: Action model | L-005: Parameter model | L-003: Controller model | L-002: app model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-015,15,910038d952b7c244e2680cc6e8300e15a5c177a5,910038d952,2157.531,4872.161,965.0,434.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-004: Action model | L-003: Controller model | L-006: Parameter model base,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-016,16,b4dec86139e05669a2e9bf77cd3d92940eb35270,b4dec86139,2158.97,5337.767,950.0,264.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-004: Action model | L-006: Parameter model base | L-007: Property model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-017,17,59f9adc480bf65a5704725d3c98fd3536454b933,59f9adc480,2134.32,5770.429,827.0,482.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-005: Parameter model | L-006: Parameter model base | L-007: Property model | L-004: Action model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-018,18,a63c5154f192a1149c0c8fff61d8499abf744a72,a63c5154f1,2110.409,6273.146,955.0,449.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-005: Parameter model | L-007: Property model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-019,19,09c620a555bae5de9b0eaeb5b96b326e60450ed4,09c620a555,2122.652,6726.085,979.0,251.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-007: Property model | L-005: Parameter model | L-008: selector model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-020,20,6a44116508dda034f3c9cb1f163223c087a6e826,6a44116508,2109.925,7158.433,1019.0,436.0,0.0,1,R02-convention-interfaces-app-controller-action-parameter,P01-R01R02-overview-and-convention-interfaces,"ApplicationModelConvention, IControllerModelConvention, IActionModelConvention, IParameterModelConvention, Razor Pages convention interfaces.",L-006: Parameter model base | L-007: Property model | L-008: selector model | L-005: Parameter model,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001
S-021,21,a821dde217e88d269ae64e1b193b75d1a55b3f14,a821dde217,2102.212,7753.979,1032.0,394.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-007: Property model | L-008: selector model | L-006: Parameter model base | L-009: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-022,22,88bffdb43225a93d8d9344a7376eab4b18ac40ca,88bffdb432,2101.432,8290.429,777.0,482.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-008: selector model | L-009: selector model | L-007: Property model | L-006: Parameter model base,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-023,23,1a43084401c0709ab4d85c79e8449c7d83335be4,1a43084401,2090.788,8806.903,970.0,293.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-009: selector model | L-008: selector model | L-007: Property model | L-010: api explorer model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-024,24,a6009ab029a438e1b60a416eda442829cddb1dfa,a6009ab029,2103.364,9291.464,940.0,376.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-009: selector model | L-010: api explorer model | L-008: selector model | L-011: binding info,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-025,25,9cce64096aab58205209272c6f5ac7e2cb09bd5c,9cce64096a,2121.283,9694.065,827.0,482.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-010: api explorer model | L-009: selector model | L-011: binding info | L-008: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-026,26,7f8e009de5994f5ffcb26224939e98d2b319d26a,7f8e009de5,2088.228,10341.6,963.0,283.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-010: api explorer model | L-011: binding info | L-009: selector model | L-008: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-027,27,9ec43e93d8a728e7eecfa23ad7c90ce7a2e683cc,9ec43e93d8,2080.425,10649.161,998.0,400.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-011: binding info | L-010: api explorer model | L-009: selector model | L-008: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-028,28,d69167aa64d249c8109836ddc0611173db6a273d,d69167aa64,2081.106,11234.706,953.0,378.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-011: binding info | L-010: api explorer model | L-009: selector model | L-008: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-029,29,b3556317dbd1e9acda9f5eec85d886cf452cfd2e,b3556317db,2074.418,11625.259,995.0,431.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-011: binding info | L-010: api explorer model | L-009: selector model | L-008: selector model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-030,30,af8975e18e20fdfd5a779a3a47e5cb8802b2f83a,af8975e18e,205.16,2171.591,919.0,482.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-012: App Model COnvention | L-013: icontroller Model COnvention | L-002: app model | L-003: Controller model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-031,31,33ba8eaa462ebeb1b3a94cdff5f38a6653c5f436,33ba8eaa46,207.245,2684.98,827.0,482.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-013: icontroller Model COnvention | L-012: App Model COnvention | L-003: Controller model | L-002: app model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-032,32,08b74ac6cd1c11024026f95268beca8415b478d3,08b74ac6cd,211.47,3199.47,986.0,360.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-013: icontroller Model COnvention | L-012: App Model COnvention | L-003: Controller model | L-004: Action model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-033,33,28bb88b4a6ef0b1e0de734e8ddd0fee4a7e7ea71,28bb88b4a6,190.47,3762.742,948.0,288.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-013: icontroller Model COnvention | L-014: iaction Model COnvention | L-004: Action model | L-003: Controller model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-034,34,780de76717349dcb830616bc915780f7d032a202,780de76717,210.152,4038.03,945.0,455.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-013: icontroller Model COnvention | L-014: iaction Model COnvention | L-004: Action model | L-003: Controller model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-035,35,c4ab8914c53a21c999b7096537038f9506219129,c4ab8914c5,215.849,4500.151,953.0,435.0,0.0,1,R03-application-controller-action-parameter-models,P02-R03R04-application-model-object-graph-and-metadata,"ApplicationModel, ControllerModel, ActionModel, ParameterModel, nested object graph and how conventions mutate metadata.",L-014: iaction Model COnvention | L-013: icontroller Model COnvention | L-004: Action model | L-005: Parameter model,processed-in-r03-v001,yes-for-r03-v001-boundary,R03 processed after P02 boundary review.,R03,no-for-r03-v001
S-036,36,029dc0c883434ddd9831a6155079f26be23f8cff,029dc0c883,223.137,4933.303,936.0,279.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-014: iaction Model COnvention | L-013: icontroller Model COnvention | L-005: Parameter model | L-004: Action model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-037,37,126a05e71b48708e1e8948d614e9e9a14b4becf1,126a05e71b,211.556,5342.65,970.0,271.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-014: iaction Model COnvention | L-005: Parameter model | L-015: iparameter Model COnvention | L-013: icontroller Model COnvention,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-038,38,6e7b0b3018cb36931045afb3d77c59ffa128dbbd,6e7b0b3018,208.823,5621.237,978.0,482.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-014: iaction Model COnvention | L-015: iparameter Model COnvention | L-005: Parameter model | L-006: Parameter model base,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-039,39,5038ccfea8e1f4287cad2a9697a25beb82df2187,5038ccfea8,197.874,6114.029,961.0,384.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-015: iparameter Model COnvention | L-014: iaction Model COnvention | L-005: Parameter model | L-006: Parameter model base,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-040,40,7b712015e2cce00d7f72b66d2a424cca2580b32e,7b712015e2,200.829,6495.847,1006.0,304.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-015: iparameter Model COnvention | L-014: iaction Model COnvention | L-006: Parameter model base | L-005: Parameter model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-041,41,716a7080609b001dc9910b64b1ed7d1916a9c8e6,716a708060,201.677,6939.575,934.0,282.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-015: iparameter Model COnvention | L-006: Parameter model base | L-007: Property model | L-016: razor pages interfaces,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-042,42,6d1536bf0a2c3cb11f00230f7b1fdc213260dd21,6d1536bf0a,192.435,7225.12,984.0,460.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-015: iparameter Model COnvention | L-016: razor pages interfaces | L-007: Property model | L-006: Parameter model base,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-043,43,52731548c03aa7531cfc5a98719b98e792940272,52731548c0,166.177,7701.075,1005.0,439.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-016: razor pages interfaces | L-015: iparameter Model COnvention | L-007: Property model | L-008: selector model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-044,44,ca2641d9e43f09c8eec738b31339c31dbaeca36f,ca2641d9e4,172.314,8140.408,1000.0,307.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-016: razor pages interfaces | L-008: selector model | L-015: iparameter Model COnvention | L-007: Property model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-045,45,8c9bd6800e879ee0fb1f855f03694b222829c690,8c9bd6800e,190.299,8591.994,857.0,482.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-016: razor pages interfaces | L-009: selector model | L-008: selector model | L-007: Property model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-046,46,63bdcbd7bd17bb671bafbdfe7eff5578bd530161,63bdcbd7bd,2144.459,177.736,902.0,482.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-017: use or not | L-018: can access nested models | L-019: in outer convention | L-001: attributes,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-047,47,b2ce3b91e2d7ad5f3f2819081b7bec57e35c7a13,b2ce3b91e2,2104.99,697.614,992.0,367.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-018: can access nested models | L-019: in outer convention | L-017: use or not | L-002: app model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-048,48,91597201df2992ca33c57286da55ece017ce68d5,91597201df,2070.379,1216.392,959.0,465.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-019: in outer convention | L-018: can access nested models | L-002: app model | L-017: use or not,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-049,49,90bf085b4820c77839dbff8b97efce5f6d78074d,90bf085b48,2060.712,1693.337,1005.0,440.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-002: app model | L-019: in outer convention | L-018: can access nested models | L-003: Controller model,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
S-050,50,b53f58f484dd2247f79b62406a283eb7d00ff504,b53f58f484,918.25,206.977,989.0,437.0,0.0,1,R04-property-selector-apiexplorer-bindinginfo-models,P02-R03R04-application-model-object-graph-and-metadata,"ParameterModelBase, PropertyModel, SelectorModel, ApiExplorerModel, BindingInfo and endpoint/API metadata.",L-001: attributes | L-018: can access nested models | L-019: in outer convention | L-017: use or not,processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 boundary review.,R04,no-for-r04-v001
