region,source_id,image_use_id,file_sha,x,y,width,height,stage1_status,theme
R02,S-022,IU-022,8c5ace9f4d,4689.55,3663.76,960.0,430.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-023,IU-023,cbb378d01c,2163.79,3684.89,1000.0,295.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-024,IU-024,0763e52edc,7961.67,3894.09,1004.0,356.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-025,IU-025,59a582131a,2277.06,4030.47,753.0,482.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-026,IU-026,9a5a2281aa,4718.93,4107.64,932.0,373.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-027,IU-027,9336f74dd5,7936.01,4283.6,1016.0,455.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-028,IU-028,4a0a4fe857,4794.36,4499.66,799.0,482.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-029,IU-029,96c8ccb8d1,2292.87,4507.29,854.0,352.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-030,IU-030,c432f8372e,7927.79,4790.56,1039.0,306.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-031,IU-031,9a8d45aa02,2307.92,4894.08,911.0,306.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-032,IU-032,2c5f9ed0ce,4801.65,5006.87,919.0,389.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-033,IU-033,ca2d3c0b13,2307.23,5214.89,968.0,311.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-034,IU-034,b25784452f,4896.02,5426.87,762.0,482.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-035,IU-035,15d24ad6c7,3697.27,5454.84,892.0,187.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-036,IU-036,5da041b31b,2284.83,5599.7,510.0,313.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-037,IU-037,11fc080f47,3531.43,5885.82,414.0,122.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-038,IU-038,52141b802e,2293.63,5929.21,698.0,423.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-039,IU-039,6f6c3d4a3c,4898.79,5945.53,907.0,473.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-040,IU-040,bddd8f8e92,2291.82,6361.63,788.0,423.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-041,IU-041,0141590fba,4910.47,6509.98,901.0,266.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-042,IU-042,e34d6afec6,3590.27,6732.82,173.0,78.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-043,IU-043,3e4d21be77,2300.24,6769.04,758.0,464.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-044,IU-044,a7912ea4a4,4944.36,6823.41,931.0,211.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-045,IU-045,4acb682d74,4999.25,7052.85,919.0,481.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-046,IU-046,62dbbe6062,3559.55,7176.08,283.0,101.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-047,IU-047,837fa0ffe1,2287.28,7253.24,943.0,322.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-048,IU-048,dbdf2bbb26,5109.46,7552.9,691.0,482.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-049,IU-049,791c425190,2337.32,7588.86,869.0,227.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-050,IU-050,b1903ff30b,2329.86,7828.92,958.0,456.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-051,IU-051,23754adf3c,5125.5,8036.75,735.0,482.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-052,IU-052,62792cf795,2469.97,8302.72,618.0,230.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-053,IU-053,90b34e969c,5119.26,8505.63,866.0,297.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R02,S-054,IU-054,7163e16717,5136.05,8818.65,901.0,250.0,verified-semantic-transcript,"Razor and React v2 examples, verify response DTOs, combined v2/v3 verifier/service, controller/model binding and server-side verification road"
R03,S-055,IU-055,1ba9e5ea2e,4146.31,9822.19,696.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-056,IU-056,7efb9af885,6130.81,9886.56,800.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-057,IU-057,bada85f1ff,4116.52,10320.85,824.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-058,IU-058,61a51fb4f5,7340.66,10581.52,780.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-059,IU-059,6f53e29878,6022.79,10667.17,1047.0,189.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-060,IU-060,796415b29d,4086.01,10808.49,918.0,472.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-061,IU-061,e6b0cc042f,6143.9,10907.18,774.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-062,IU-062,7b29aaa5e1,7353.45,11057.07,900.0,459.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-063,IU-063,7d47f76640,6155.51,11416.07,847.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-064,IU-064,c20b61b03b,7436.55,11528.03,621.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-065,IU-065,8382838b62,3921.16,11697.58,894.0,284.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-066,IU-066,b7a832e0dd,6186.17,11899.56,798.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-067,IU-067,3b158c8681,7426.9,12031.74,765.0,482.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-068,IU-068,c5cefbd3d9,3949.97,12033.22,740.0,252.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-069,IU-069,aced9b3e99,3950.13,12328.46,911.0,468.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-070,IU-070,4042c791b8,7431.07,12525.71,742.0,244.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-071,IU-071,f907d8ed47,4044.92,12795.75,799.0,91.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R03,S-072,IU-072,45fe5502f1,7436.1,12821.43,886.0,417.0,verified-semantic-transcript,"v3 Razor and React integrations, provider/library and manual script variants, executeRecaptcha, expected action/score checks and controller flow"
R04,S-073,IU-073,7ad5105931,5031.87,14336.41,996.0,365.0,verified-semantic-transcript,"remote IP handling, forwarded headers/proxy considerations, final verification notes and recap"
R04,S-074,IU-074,aeff5be155,5065.03,14732.74,943.0,359.0,verified-semantic-transcript,"remote IP handling, forwarded headers/proxy considerations, final verification notes and recap"
R04,S-075,IU-075,2ca7ff6798,5084.53,15117.24,934.0,290.0,verified-semantic-transcript,"remote IP handling, forwarded headers/proxy considerations, final verification notes and recap"
R04,S-076,IU-076,d8f691b3c0,5121.67,15434.42,866.0,482.0,verified-semantic-transcript,"remote IP handling, forwarded headers/proxy considerations, final verification notes and recap"
R04,S-077,IU-077,a82dc024e4,5128.9,15930.64,950.0,226.0,verified-semantic-transcript,"remote IP handling, forwarded headers/proxy considerations, final verification notes and recap"
