idx,x,y,text,label_id,region_candidate,stage1_status
11,3579.290261899535,6053.0265918751575,"using System.Text.Json.Serialization;
public sealed class RecaptchaVerifyResponse
{
[JsonPropertyName(""success"")]
public bool Success { get; set; }
[JsonPropertyName(""challenge_ts"")]
public DateTimeOffset? ChallengeTs { get; set; }
[JsonPropertyName(""hostname"")]
public string? Hostname { get; set; }
// v3 fields
[JsonPropertyName(""score"")]
public double? Score { get; set; }
[JsonPropertyName(""action"")]
public string? Action { get; set; }
[JsonPropertyName(""error-codes"")]
public string[]? ErrorCodes { get; set; }
}
public sealed record RecaptchaV3Result(bool Success, double Score, string? Action, string? Hostname, string[]? ErrorCodes);
public sealed record RecaptchaV2Result(bool Success, string? Hostname, string[]? ErrorCodes);",T-011,R02,closed-by-stage1
12,3591.8840431217022,7374.078683729607,"using System.Net.Http;
using System.Text.Json;
using Microsoft.Extensions.Configuration;
public sealed class GoogleRecaptchaService : IRecaptchaService
{
private readonly HttpClient _http;
private readonly IConfiguration _config;
public GoogleRecaptchaService(HttpClient http, IConfiguration config)
{
_http = http;
_config = config;
}
public async Task<RecaptchaV3Result> VerifyV3Async(string token, string expectedAction, string? remoteIp = null)
{
var resp = await VerifyCoreAsync(token, remoteIp);
// v3: must check action + score
var ok = resp.Success && string.Equals(resp.Action, expectedAction, StringComparison.Ordinal);
var score = resp.Score ?? 0.0;
return new RecaptchaV3Result(ok, score, resp.Action, resp.Hostname, resp.ErrorCodes);
}
public async Task<RecaptchaV2Result> VerifyV2Async(string token, string? remoteIp = null)
{
var resp = await VerifyCoreAsync(token, remoteIp);
return new RecaptchaV2Result(resp.Success, resp.Hostname, resp.ErrorCodes);
}
private async Task<RecaptchaVerifyResponse> VerifyCoreAsync(string token, string? remoteIp)
{
if (string.IsNullOrWhiteSpace(token))
return new RecaptchaVerifyResponse { Success = false, ErrorCodes = [""missing-input-response""] };
var secret = _config[""Recaptcha:SecretKey""];
if (string.IsNullOrWhiteSpace(secret))
throw new InvalidOperationException(""Recaptcha:SecretKey is not configured."");
var data = new Dictionary<string, string>
{
[""secret""] = secret,
[""response""] = token
};
if (!string.IsNullOrWhiteSpace(remoteIp))
data[""remoteip""] = remoteIp;
using var content = new FormUrlEncodedContent(data);
using var httpResp = await _http.PostAsync(""https://www.google.com/recaptcha/api/siteverify"", content);
httpResp.EnsureSuccessStatusCode();
var json = await httpResp.Content.ReadAsStringAsync();
var result = JsonSerializer.Deserialize<RecaptchaVerifyResponse>(json, new JsonSerializerOptions
{
PropertyNameCaseInsensitive = true
});
return result ?? new RecaptchaVerifyResponse { Success = false, ErrorCodes = [""invalid-json""] };
}
}",T-012,R02,closed-by-stage1
13,3610.9316113066916,6950.150221292399,"public interface IRecaptchaService
{
Task<RecaptchaV3Result> VerifyV3Async(string token, string expectedAction, string? remoteIp = null);
Task<RecaptchaV2Result> VerifyV2Async(string token, string? remoteIp = null);
}",T-013,R02,closed-by-stage1
14,8374.503066266952,10813.970783925539,"import React, { useEffect, useState } from ""react"";
const SITE_KEY = import.meta.env.VITE_RECAPTCHA_SITE_KEY;
function loadRecaptchaV3(siteKey) {
return new Promise((resolve, reject) => {
if (window.grecaptcha) return resolve(window.grecaptcha);
const script = document.createElement(""script"");
script.src = `https://www.google.com/recaptcha/api.js?render=${siteKey}`;
script.async = true;
script.defer = true;
script.onload = () => resolve(window.grecaptcha);
script.onerror = reject;
document.head.appendChild(script);
});
}
export default function RegisterV3React() {
const [ready, setReady] = useState(false);
const [email, setEmail] = useState("""");
const [password, setPassword] = useState("""");
const [status, setStatus] = useState("""");
useEffect(() => {
loadRecaptchaV3(SITE_KEY)
.then((g) => g.ready(() => setReady(true)))
.catch(() => setReady(false));
}, []);
const onSubmit = async (e) => {
e.preventDefault();
setStatus("""");
if (!ready) {
setStatus(""reCAPTCHA not ready yet."");
return;
}
const token = await window.grecaptcha.execute(SITE_KEY, { action: ""register"" });
const resp = await fetch(""/api/auth/register-v3"", {
method: ""POST"",
headers: { ""Content-Type"": ""application/json"" },
body: JSON.stringify({ email, password, recaptchaToken: token }),
});
if (!resp.ok) {
setStatus(await resp.text());
return;
}
setStatus(""Registered (React v3)!"");
};
return (
<form onSubmit={onSubmit}>
<input value={email} onChange={(e) => setEmail(e.target.value)} type=""email"" required />
<input value={password} onChange={(e) => setPassword(e.target.value)} type=""password"" required />
<button type=""submit"" disabled={!ready}>Register</button>
<div>{status}</div>
</form>
);
}",T-014,R03,closed-by-stage1
15,3166.24704083893,10355.594849604528,"@model RazorRegisterVm
@{
var siteKey = (string)ViewBag.RecaptchaSiteKey;
}
<form id=""registerForm"" method=""post"" asp-action=""Register"">
@Html.AntiForgeryToken()
<input asp-for=""Email"" type=""email"" required />
<input asp-for=""Password"" type=""password"" required />
<input asp-for=""RecaptchaToken"" type=""hidden"" />
<button type=""submit"">Register</button>
<div asp-validation-summary=""All""></div>
</form>
<script src=""https://www.google.com/recaptcha/api.js?render=@siteKey""></script>
<script>
(function () {
const form = document.getElementById(""registerForm"");
const tokenInput = document.querySelector('input[name=""RecaptchaToken""]');
const siteKey = ""@siteKey"";
form.addEventListener(""submit"", function (e) {
e.preventDefault();
grecaptcha.ready(function () {
grecaptcha.execute(siteKey, { action: ""register"" }).then(function (token) {
tokenInput.value = token;
form.submit();
});
});
});
})();
</script>",T-015,R03,closed-by-stage1
16,7674.421258470391,10519.36223037638,without library,T-016,R03,closed-by-stage1
17,6330.199141364271,10504.806688384208,with library,T-017,R03,closed-by-stage1
18,5415.91634659353,10949.970840257109,"import React from ""react"";
import { GoogleReCaptchaProvider } from ""react-google-recaptcha-v3"";
import RegisterV3 from ""./RegisterV3"";
const SITE_KEY = import.meta.env.VITE_RECAPTCHA_SITE_KEY;
export default function App() {
return (
<GoogleReCaptchaProvider
reCaptchaKey={SITE_KEY}
scriptProps={{ async: true, defer: true }}
>
<RegisterV3 />
</GoogleReCaptchaProvider>
);
}",T-018,R03,closed-by-stage1
19,5241.749476476342,11493.304199021757,"import React, { useState } from ""react"";
import { useGoogleReCaptcha } from ""react-google-recaptcha-v3"";
export default function RegisterV3() {
const { executeRecaptcha } = useGoogleReCaptcha();
const [email, setEmail] = useState("""");
const [password, setPassword] = useState("""");
const [status, setStatus] = useState("""");
const onSubmit = async (e) => {
e.preventDefault();
setStatus("""");
if (!executeRecaptcha) {
setStatus(""reCAPTCHA not ready yet."");
return;
}
// action name must match what server expects
const token = await executeRecaptcha(""register"");
const resp = await fetch(""/api/auth/register-v3"", {
method: ""POST"",
headers: { ""Content-Type"": ""application/json"" },
body: JSON.stringify({ email, password, recaptchaToken: token }),
});
setStatus(resp.ok ? ""Registered!"" : await resp.text());
};
return (
<form onSubmit={onSubmit}>
<input type=""email"" value={email} onChange={(e) => setEmail(e.target.value)} required />
<input type=""password"" value={password} onChange={(e) => setPassword(e.target.value)} required />
<button type=""submit"">Register</button>
<div>{status}</div>
</form>
);
}",T-019,R03,closed-by-stage1
20,5123.256783608773,9416.134356919621,v3,T-020,R03,closed-by-stage1
21,4868.977241092505,14020.239835685523,what is remote ip,T-021,R04,closed-by-stage1
22,8236.16672680511,2058.667714636358,we also may need to verify hostname,T-022,R01,closed-by-stage1
23,1837.4450018264151,10.0,so flow exp,T-023,R01,closed-by-stage1
24,1966.3212740001636,2739.030452652536,expected action in recapcha is just a string to put inside,T-024,R01,closed-by-stage1
25,2078.39730881376,3106.6131941245912,and to verify,T-025,R01,closed-by-stage1
26,1900.7474433784437,235.05489669572125,"so, we need to give site key to client
1 razor - from config/env variables/keystroe => viewbag
2 react - just pass in response",T-026,R01,closed-by-stage1
27,1983.5348578415833,785.0249883794822,"1 razor -> we are loading script
in v3 - with our sitekey in qstring
and in script tag we are manually executing recapcha,
with v3 we also need to set action ""register"",""login""
in v2 we just set class and sitekey to div",T-027,R01,closed-by-stage1
28,2331.8115656753816,1542.04388550546,"so here we prevent default and add event listener on recapchas token ready
to execute and put token from resolved promise into the input and submit
!!! we can do literally the same with v2",T-028,R01,closed-by-stage1
29,1748.718212318092,1773.4204705623342,"using form because v2 automatically sets it
can do like v3",T-029,R01,closed-by-stage1
