idx,symbol_id,file_sha,x,y,w,h,rot,cx,cy,source_id,image_use_id,region_candidate
3,image-cb824d6d527a8c7ae80afcc0649a11fe2acc7620,7163e16717,5136.049591768317,8818.65029448798,901.0,250.0,0.0,450.5,125.0,S-054,IU-054,R02
33,image-c910e3d342d7733168e65c8dbb59dbef39a3b471,1ba9e5ea2e,4146.312506355661,9822.193400569671,696.0,482.0,0.0,347.8074183130699,241.15625,S-055,IU-055,R03
32,image-dfcf1d992b0a1598b5ee829988d52ab71e360463,7efb9af885,6130.805238642542,9886.56477214563,800.0,482.0,0.0,400.0016841317365,241.15625,S-056,IU-056,R03
34,image-64f6dadd1748f0e5936f2383af3a388969663aa1,bada85f1ff,4116.516414674107,10320.849011197748,824.0,482.0,0.0,411.882393715342,241.15625,S-057,IU-057,R03
49,image-2105b1805886b7131fd81cb4eae6f39251ff2c1b,61a51fb4f5,7340.663938839485,10581.520048458591,780.0,482.0,0.0,390.00786637931037,241.15625,S-058,IU-058,R03
53,image-a241470337e63e2f394887b4a2c8eb8f8d45f866,6f53e29878,6022.794414336741,10667.168948990762,1047.0,189.0,0.0,523.5,94.5,S-059,IU-059,R03
35,image-aaa623e1bec7ce9c315747eb7cb500806b813ca0,796415b29d,4086.0124616632575,10808.492103519766,918.0,472.0,0.0,459.0,236.0,S-060,IU-060,R03
52,image-c0faa896a34cf768fb948dd1fa4be6fe7ec4378c,e6b0cc042f,6143.900613693799,10907.179467382677,774.0,482.0,0.0,387.20862676056345,241.15625,S-061,IU-061,R03
48,image-23a1c334dbee39c689c5597b870230438ec46228,7b29aaa5e1,7353.449464317103,11057.06510257645,900.0,459.0,0.0,450.0,229.5,S-062,IU-062,R03
51,image-e919c6250f0e6d18d9db9fe0b477ae0715134d95,7d47f76640,6155.513859509963,11416.068373225778,847.0,482.0,0.0,423.37319263059703,241.15625,S-063,IU-063,R03
47,image-1d46b7e5b1b6f0cda511433a51bc42aae40bc9a3,c20b61b03b,7436.54822983421,11528.033244889139,621.0,482.0,0.0,310.70472482935156,241.15625,S-064,IU-064,R03
39,image-b03dad2933713c4817bc1776d7dfea6d596b5bb2,8382838b62,3921.1555147376775,11697.578051776454,894.0,284.0,0.0,447.0,142.0,S-065,IU-065,R03
50,image-cd3c4f4a5819228381a2f511ce3601edc8185780,b7a832e0dd,6186.166615750203,11899.560506956714,798.0,482.0,0.0,398.7520758527828,241.15625,S-066,IU-066,R03
46,image-62066000dbc3731205d77b341995d4f97e6fc074,3b158c8681,7426.903164461213,12031.736993804076,765.0,482.0,0.0,382.5721480582524,241.15625,S-067,IU-067,R03
38,image-d5f7db3e51f1ae71a83c26a4c95253c4654453dc,c5cefbd3d9,3949.9719886182093,12033.221457466778,740.0,252.0,0.0,370.0,126.0,S-068,IU-068,R03
37,image-0377a7b6bf192cf78e968d812558b3552b8cbb0d,aced9b3e99,3950.134403961655,12328.459691156928,911.0,468.0,0.0,455.5,234.0,S-069,IU-069,R03
45,image-24515e4b559b392ffaddef1d958fa79869830f89,4042c791b8,7431.067950323284,12525.708036013264,742.0,244.0,0.0,371.0,122.0,S-070,IU-070,R03
36,image-fe9b8d420db4d133719a79281f4aeb29cd43ab68,f907d8ed47,4044.92224575853,12795.747588440285,799.0,91.0,0.0,399.50000000000006,45.5,S-071,IU-071,R03
44,image-3bc3b96c382c2a5bab1dad8c9f0ae64b1062dc9e,45fe5502f1,7436.104896937868,12821.430258235483,886.0,417.0,0.0,443.0,208.5,S-072,IU-072,R03
58,image-48461631e971397bdfd67ede728acbdf60c9133c,7ad5105931,5031.866157108131,14336.406797355437,996.0,365.0,0.0,498.0,182.5,S-073,IU-073,R04
57,image-c1a27979d9e27992d696b3f64958439538ebad4b,aeff5be155,5065.032874637428,14732.740003532195,943.0,359.0,0.0,471.5,179.5,S-074,IU-074,R04
56,image-a9388e5b5be8eb9fddf3aa2205bd3d43f64435db,2ca7ff6798,5084.532874637428,15117.240003532195,934.0,290.0,0.0,467.0,145.0,S-075,IU-075,R04
55,image-7556f9f5db0914f48961b6c654e8f340699cf909,d8f691b3c0,5121.670036760242,15434.417188590789,866.0,482.0,0.0,433.1962729357798,241.15625,S-076,IU-076,R04
54,image-5f83ae2351c0247bfc124b5de60d299666fe05bb,a82dc024e4,5128.901367968534,15930.643599305993,950.0,226.0,0.0,475.0,113.0,S-077,IU-077,R04
