text_id,text,x,y,font_size,region
T-034,},3034.464817,13279.715481,20px,R03
T-035,public sealed class DeflateRequestBodyDecompressor,3034.464817,13329.715481,20px,R03
T-036,: IRequestBodyDecompressor,3034.464817,13354.715481,20px,R03
T-037,{,3034.464817,13379.715481,20px,R03
T-038,"public string EncodingName => ""deflate"";",3034.464817,13404.715481,20px,R03
T-039,public Stream WrapDecompressionStream(Stream input),3034.464817,13454.715481,20px,R03
T-040,{,3034.464817,13479.715481,20px,R03
T-041,return new DeflateStream(,3034.464817,13504.715481,20px,R03
T-042,"input,",3034.464817,13529.715481,20px,R03
T-043,"CompressionMode.Decompress,",3034.464817,13554.715481,20px,R03
T-044,leaveOpen: true);,3034.464817,13579.715481,20px,R03
T-045,},3034.464817,13604.715481,20px,R03
T-046,},3034.464817,13629.715481,20px,R03
T-047,public interface IRequestBodyDecompressorRegistry,3019.25801,13699.557506,20px,R03
T-048,{,3019.25801,13724.557506,20px,R03
T-049,"bool TryGet(string encoding, out IRequestBodyDecompressor decompressor);",3019.25801,13749.557506,20px,R03
T-050,},3019.25801,13774.557506,20px,R03
T-051,public sealed class RequestBodyDecompressorRegistry,3019.25801,13824.557506,20px,R03
T-052,: IRequestBodyDecompressorRegistry,3019.25801,13849.557506,20px,R03
T-053,{,3019.25801,13874.557506,20px,R03
T-054,"private readonly Dictionary<string, IRequestBodyDecompressor> _map;",3019.25801,13899.557506,20px,R03
T-055,public RequestBodyDecompressorRegistry(,3019.25801,13949.557506,20px,R03
T-056,IEnumerable<IRequestBodyDecompressor> decompressors),3019.25801,13974.557506,20px,R03
T-057,{,3019.25801,13999.557506,20px,R03
T-058,_map = decompressors.ToDictionary(,3019.25801,14024.557506,20px,R03
T-059,"d => d.EncodingName,",3019.25801,14049.557506,20px,R03
T-060,"d => d,",3019.25801,14074.557506,20px,R03
T-061,StringComparer.OrdinalIgnoreCase);,3019.25801,14099.557506,20px,R03
T-062,},3019.25801,14124.557506,20px,R03
T-063,public bool TryGet(,3019.25801,14174.557506,20px,R03
T-064,"string encoding,",3019.25801,14199.557506,20px,R03
T-065,out IRequestBodyDecompressor decompressor),3019.25801,14224.557506,20px,R03
T-066,{,3019.25801,14249.557506,20px,R03
T-067,"return _map.TryGetValue(encoding, out decompressor!);",3019.25801,14274.557506,20px,R03
T-068,},3019.25801,14299.557506,20px,R03
T-069,},3019.25801,14324.557506,20px,R03
T-070,middleware,5416.893342,12198.096357,20px,R03
T-071,!!!!!,3778.22635,13532.010922,228.00000000000003px,R03
T-072,theory,7554.253953,428.667726,168.26669921875003px,R01
T-073,automatic,4416.47604,264.223146,168.26669921875003px,R01
T-074,decompression on,4416.47604,474.55652,168.26669921875003px,R01
T-075,httpclient,4416.47604,684.889894,168.26669921875003px,R01
T-076,compression,167.587592,199.778566,168.26669921875003px,R01
T-077,with httpclient and on server,167.587592,410.11194,168.26669921875003px,R01
T-078,"leaveopen, managing",2747.1393,138.038649,145.33331298828122px,R01
T-079,the wrapped stream,2747.1393,319.70529,145.33331298828122px,R01
T-080,compression level,2264.790465,1606.521247,75.08376113140255px,R01
T-081,wrapping with compression/decompression stream,10.0,837.9828,42.153846153846835px,R01
T-082,decompression,4571.3358,3200.474059,128.44441731770826px,R01
T-083,handling multiple encodings (rarely implemented),4153.952939,10666.2918,94.66669921875001px,R03
T-084,when to compress,7493.349657,1857.274,85.33337402343753px,R01
T-085,ACCEPT ENCODING,2186.960101,3513.158865,112.44449869791643px,R01
T-086,VARY ACCEPT ENCODING,2186.960101,3653.714488,112.44449869791643px,R01
T-087,just explicitness,2090.798653,4628.965251,20px,R01
T-088,True implementation of,5755.987752,5074.318384,98.2222493489583px,R02
T-089,decompressoin,5755.987752,5197.096196,98.2222493489583px,R02
T-090,do i always need to conf,284.509276,3123.533608,100px,R01
T-091,compression provider options,284.509276,3248.533608,100px,R01
