text_id,text,x,y,font_size,text_sha256,region_id,previously_present,restored_structural_node,node_kind,coverage_status,assignment_count
FT-011,score failed attempts,7709.00397377631,772.238741498323,40.800000000000004px,e2ce0289a979e4fb3a35fa9754a0bb8ee9ac0fd34fa182309954db1b096d0b1c,R08,True,False,semantic-text-node,processed-semantic-transcript,1
FT-012,using custom middleware (bad),6684.118319706163,1528.6153904468017,52.9696821732941px,c112148de75c5b5f5d8ff4d3ee1fe4e82e356b1efeb83c4470bc1560dc316460,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-013,it seems great for ip only throttles but to create ip + email,6688.889552751707,1577.276818293457,20px,35e516f72c5124f4983b182b28c026ad824c0cddb15a344a73d08d5931966640,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-014,we need to read the request which is stream and it can cause issues,6688.889552751707,1602.276818293457,20px,600a0108095a80dea0cfcdf931286aa379ffb48c5a96d46f75a2c452bba3caba,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-015,we will need some manual buffering and at hot paths better to avoid it,6688.889552751707,1627.276818293457,20px,4012be178340eb0c0d252f7ee52d06a998684bf9555a2d00a22364d5a34a4388,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-016,with action service we can grab email from the deserialized payload easily,6688.889552751707,1652.276818293457,20px,23f122c216a315297653cc42bbcb13f02a9fc45629b9ef2e3af3759741ade1ce,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-017,combined key for rate limiting,5231.129707353474,1995.6141742654788,43.11110723586364px,c6bceaf440c56d28b551e77eaaf0a403a9b2de972d50c3665274896bcbb716f6,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-018,attacker changes ips,5231.129707353474,2049.5030583103085,43.11110723586364px,02bb5d0e4a486004a24fa2292d3bd4af594f377b7061ac3cb4a637f305979421,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-019,locking other people's accounts,5231.129707353474,2103.391942355138,43.11110723586364px,da0e7165513b2629704e2cd283364498645f6934ef7929faa4d0e2da3eb80c44,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-020,context.lease,2905.641657885938,2360.309302639301,112px,f8d5960a54202744540ed72f697c9240ac762637eafed653a07f89f121aef776,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-021,new key - set expiration,7595.440183164493,2420.9801053085603,20px,ea4225aff5b177d468b77d71e40c0f6aae1d243f7132d6d226fe7048bfa19e3f,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-022,for it only when count is 1,7595.440183164493,2445.9801053085603,20px,e08c6906f647d4b50e8d09058e4c13eb2f6c8bf77757663115cc5cb433dc3dd2,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-023,redis through idistributed cache vs,10002.731235339346,2919.8875966729606,142.60444146164812px,5517799083e9d88843fba7134f1df6788c39576e94d481f266dd94770ff4b88f,R06,True,False,semantic-text-node,processed-semantic-transcript,1
FT-024,multiplexer + idatabase,10002.731235339346,3098.1431485000207,142.60444146164812px,31634147b647187872a3b13af38fcf3665a5efc22c5e16a8ddcac824056e67cf,R06,True,False,semantic-text-node,processed-semantic-transcript,1
FT-025,retry after from lease by limiter type,2984.006672974664,3611.915537077601,41.333356584823925px,99549787bb7d71a1426b1dae9213b15e7c979f66199c634a5cb904a62102465b,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-026,multiplexer,9021.567458984355,3882.569300819298,57.92594401041567px,95d2f7dffee17951bc8575b7cabc8f8526935e6103d8a2c00ca6a9864df03306,R06,True,False,semantic-text-node,processed-semantic-transcript,1
FT-027,so the most secure approaches,6850.2363878400065,4784.698285699006,68px,959dc1b99a6c552fb60ba4691996e90c57d93d72ec4ef247418cd44c13bdbbcb,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-028,per ip attempts,7487.680856020344,4886.688087212678,20px,b87b3fe8117c3f15f5a97b3426aeac72b1a14023f2bb889186a11af07b6c139f,R05,True,False,semantic-text-node,processed-semantic-transcript,1
FT-029,global limiter,5193.066224574866,5265.9881437198665,62.074083116318796px,2a2905342c52b23ff72ffb1fe8cdc7125b66114afa6e18465e80fb8a4266bb51,R02,True,False,semantic-text-node,processed-semantic-transcript,1
FT-030,multiple limiters for one policy,5193.066224574866,5343.580747615265,62.074083116318796px,f6cf0d3201d219b115cc01807e8038c8957d20aef69e39088acfdfcdb5bbbd42,R02,True,False,semantic-text-node,processed-semantic-transcript,1
FT-031,applying limiters via attributes,5193.066224574866,5421.173351510663,62.074083116318796px,633c918819e298c241e5b8f5d7dda3a2ea0323b9f420338cb1cae4407549834d,R03,True,False,semantic-text-node,processed-semantic-transcript,1
FT-032,"what lease CAN include, how to discover it",2912.654195035395,5613.9021178101375,55.2px,19ddf61cd8dbb2e1cf64a35c598bc531f66ec561b3246a25265cb27b104145bd,R01,True,False,semantic-text-node,processed-semantic-transcript,1
FT-033,"atomic counters, race conditions with idatabase",8719.292158456756,6105.046980423956,50.66665649414062px,a914bf3009e56eec447e4de44d6a372276c0ec33c0509aebfb95cb6be6566302,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-034,and idistributedcache,8719.292158456756,6168.380301041631,50.66665649414062px,aedde53ad27c3c8e0b8311a18097cc93bd37a7cee487d6a78fd36f3f7a593055,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-035,"this is about data being lost,",8900.210359525363,6232.330057495695,20px,85cde4b77c4a1f3955c917c3c5308f509de0a672c0cf136ebaa89695d398436b,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-036,multiple concurrent requests,8900.210359525363,6257.330057495695,20px,a822c95feb45c06c79c1557f7a1da0e495475417e0ef790f915113072947a225,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-037,one gets  5,8900.210359525363,6282.330057495695,20px,0041a58be5c6482ee37f71e29d089676d3faaf6d083aec3e5acb008b273a5e9e,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-038,another sets  5 +1,8900.210359525363,6307.330057495695,20px,fff3773aa442ba658e0d3d5336efa0a1004fb0a4ddd7fceca5e826ce61786f5b,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-039,the first sets 5 + 1,8900.210359525363,6332.330057495695,20px,be2042da0d5e71c1d750d9b4cbe3f1625d0d62d43ccc2982c1979243d38f00b5,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-040,we have 6 instead of 7,8900.210359525363,6357.330057495695,20px,3ff3e7e64db0a5a33de004b8928cbd4c6377a03321e5347510314a064bfcc876,R07,True,False,semantic-text-node,processed-semantic-transcript,1
FT-041,,8900.210359525363,6382.330057495695,20px,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,R07,False,True,empty-structural-text-node,reviewed-structural-empty,1
FT-042,"stampede protection,",10231.94673384869,7672.074007963904,64px,fc8169243c0c56c7ab2137bdca3ecbee7faace6a66fc7b6e2f785ebc08663e60,R09,True,False,semantic-text-node,processed-semantic-transcript,1
FT-043,1 single instance,10231.94673384869,7752.074007963904,64px,5da40d3e9b4a5a154304eb50ae11990faeaabf592c0d555564e4fb71e0b3437c,R09,True,False,semantic-text-node,processed-semantic-transcript,1
FT-044,2 multiple with redis lock,10231.94673384869,7832.074007963904,64px,e8b233c978f9bdd562bca18071de472592969f68be867189d15ee2ed9efa1e6e,R09,True,False,semantic-text-node,processed-semantic-transcript,1
FT-045,closer to end about redis lock and redlock for stronger guarantee,10317.65239370126,8849.138879169339,20px,20acfbe7c0fe15ef39c3a5c2540f1297a26951d09787cba64c364374eb954062,R09,True,False,semantic-text-node,processed-semantic-transcript,1
FT-046,"some lua script shit, not interested rught now",10317.65239370126,8874.138879169339,20px,23ecc86a7b7a4ec9caf5895e806f2f387160b86ce1b5a3a621f9106dea909ac3,R09,True,False,semantic-text-node,processed-semantic-transcript,1
FT-047,where does ratelimiter stores attempt counts,5740.82070975257,9699.52999600646,67.38654729769914px,debe07f7a016e44c3908d538e63e77b6135d1c753f256427279b154bfa7bda51,R08,True,False,semantic-text-node,processed-semantic-transcript,1
FT-048,how ratelimiter behaves with multiple instances,5740.82070975257,9783.763180128584,67.38654729769914px,ece47371a5265417141749e7ee2d240bdd59f2208f2e0baec6dd90bc2df61365,R08,True,False,semantic-text-node,processed-semantic-transcript,1
FT-049,accessing redis in ratelimiter,3883.917332004747,10300.235325114969,64.00000000000001px,31eb9d5c676d176a0079619ba0980fe4738789eaa0dc8ad730b8dfa2674d0dad,R08,True,False,semantic-text-node,processed-semantic-transcript,1
