source_id,image_use_id,symbol_id,sha256,x,y,width,height,pixel_width,pixel_height,region_id,previously_present,restored,coverage_status,assignment_count,asset_path,description,nearest_text_nodes_hint_only
RS-015,RIU-015,image-24915dd245ee645b21771af6ea42d1b7587375b9,72015c134e53f5966f25d7e9f20a1a0aeb8cb9a6b0b4139520c7b35660d19b4f,7796.1735884348,1086.128049238967,931.0,337.0,931,337,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-015__72015c134e.png,Redis connection and failed-login service registration.,"[{""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}, {""text_id"": ""FT-003"", ""text"": ""rate limiting + lockout patterns""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}]"
RS-016,RIU-016,image-99572c42b2dbfe4845ecf83871ca69228d577730,228b2077b79d987603d1ec496a042cfdcf4e7d5c8c996faaea6cf1eb3badc0f3,10451.246032289795,1216.8337551097466,988.0,470.0,988,470,R04,True,False,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-016__228b2077b7.png,Identity lockout configuration options.,"[{""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}]"
RS-017,RIU-017,image-15e7eff87420c08478e708c1c9e6cea134919a15,2749903db7c1c8841034d437485313f36ba82f793c02f9d70814430e3430fa14,5092.492148651292,1223.4758102822161,972.0,317.0,972,317,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-017__2749903db7.png,UseRateLimiter and endpoint RequireRateLimiting usage.,"[{""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}, {""text_id"": ""FT-013"", ""text"": ""it seems great for ip only throttles but to create ip + email""}]"
RS-018,RIU-018,image-41c1b49eaf708a35b0af6c8825a5cdd7e717d633,254848a27f8e024dac08075a8d613fd7b168ecdc7c8eb76e4983d5f113b443f6,2964.7058764957656,1301.43337408765,885.0,183.0,885,183,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-018__254848a27f.png,Why token bucket fits controlled real-world bursts.,"[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}]"
RS-019,RIU-019,image-d096aff0b1596bd5e910c6e1aab1d9e1d307bd7e,c7f40ab5e039f263d0e7d672b79ecf4ca360eef0857c7b4e46a978c71139fed4,9009.407963751957,1333.5044889316596,636.0,482.0,651,494,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-019__c7f40ab5e0.png,Performance comparison between in-process RateLimiter and Redis failed counters.,"[{""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}, {""text_id"": ""FT-007"", ""text"": ""lockout with identity""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}]"
RS-020,RIU-020,image-7e372f21adba873740363723aeef590891bb78d3,912e890b5e32b5e25f32f9751d0530a9df5d5f5e434b61d901d94dcddd787292,1697.2119101130374,1334.3448962479306,860.0,482.0,917,514,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-020__912e890b5e.png,"Manual login flow: lookup, lock check, credential validation, and generic errors.","[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}, {""text_id"": ""FT-004"", ""text"": ""its just for client to show ui and not allow normal users to do requests""}]"
RS-021,RIU-021,image-ee7628397922799131508dcaf3550cef64d54d39,97ae100ae6fadd0250196c8b3d61a19e80521b7c9cf18061e88373a16ab8c7f9,4005.3779153271616,1421.0027050930003,853.0,482.0,928,525,R02,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-021__97ae100ae6.png,ConcurrencyLimiter semantics for in-flight work.,"[{""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-009"", ""text"": ""rate limiter middleware""}]"
RS-022,RIU-022,image-5d59a58556aef4af501ed6a8180fb3a13185a0f9,29d2b7bc304f923e909fc83445b507cd72d2a3df789f6cc1b2944fa7fa787695,7820.034157629725,1439.2856865057329,780.0,397.0,928,472,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-022__29d2b7bc30.png,FailedLoginLimiter service using IDatabase.,"[{""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-006"", ""text"": ""and examples""}]"
RS-023,RIU-023,image-cc038ce4a24e45a758d487729346c41f10069f17,00b46b395b843fe6e830dcd346c367f1aff126060497bbb13a1985f7bd92bc4a,5147.109256044709,1560.2110325937829,755.0,354.0,929,436,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-023__00b46b395b.png,Combined IP and account key construction.,"[{""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}]"
RS-024,RIU-024,image-1f92c18703a42e0bf71e6d1fd6d99713c87a463c,fdb05cae10d3c856771b00f65bcc40f76df6d88c93adf0d063b3686c8ccbaf34,6041.160544497158,1665.1996606427601,483.0,202.0,900,376,R03,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-024__fdb05cae10.png,Correct middleware placement relative to routing and endpoints.,"[{""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}, {""text_id"": ""FT-014"", ""text"": ""we need to read the request which is stream and it can cause issues""}, {""text_id"": ""FT-013"", ""text"": ""it seems great for ip only throttles but to create ip + email""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}]"
RS-025,RIU-025,image-38b2ab1155d54c869c3fc98ef715de44cfbe1c5b,09b1a09d3146e41d76a6c543bdaba66ac3ddf8f25acc6b2a11de8582cd63f227,6620.426614654919,1670.9161092005706,887.0,364.0,887,364,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-025__09b1a09d31.png,Why middleware can only partly implement failed-only lockout without post-endpoint knowledge.,"[{""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}, {""text_id"": ""FT-014"", ""text"": ""we need to read the request which is stream and it can cause issues""}, {""text_id"": ""FT-013"", ""text"": ""it seems great for ip only throttles but to create ip + email""}, {""text_id"": ""FT-012"", ""text"": ""using custom middleware (bad)""}]"
RS-026,RIU-026,image-c9f74dd1dcabb9a1efabb3bbdfdeed2759d087ee,659abbe29c3b0239efdddc23862b6d36fe7e627041661ac8fff81eff80b0b0c0,1716.5571670718382,1822.5567018034853,884.0,457.0,884,457,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-026__659abbe29c.png,Manual persisted sliding-window failure logic.,"[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}]"
RS-027,RIU-027,image-e38df2e5cb44a1fdafd8250f6102da23f6e5152c,8f7bfb88ed542e7fb3d561fe0d3365f42dab70d42ac96e668faa7c7747fa3594,7773.5346063108245,1861.108200413164,964.0,375.0,964,375,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-027__8f7bfb88ed.png,Redis block-check and failure-registration methods.,"[{""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-011"", ""text"": ""score failed attempts""}, {""text_id"": ""FT-010"", ""text"": ""pattern 2, add ratelimiter for all requests and cache based service to""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}]"
RS-028,RIU-028,image-ca3dacfb07a706af612426dc980be129f9cf7578,41edb61281e5590bd9cd4be9e5ce4ce69c14634429372e3e9f308fcc1cd09adb,4064.271116065621,2058.3964792604675,898.0,482.0,907,487,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-028__41edb61281.png,Program.cs setup with OnRejected and Retry-After forwarding.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}]"
RS-029,RIU-029,image-c4855a02c335fd924072417d7de128a38a1c5b36,d6086c43295856ce7ec3780ff8230b8d677ce3ef7d3e8490d2eceb8e2024fcac,6643.835136451922,2091.7597574753163,740.0,482.0,930,606,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-029__d6086c4329.png,Route-specific failed-login middleware.,"[{""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}, {""text_id"": ""FT-014"", ""text"": ""we need to read the request which is stream and it can cause issues""}]"
RS-030,RIU-030,image-8a37d686376997fb4c529f09ed0671956ab1af12,9050b8abeae06742f73b35408b5609de059cfb2844455bb1e9dfa4a471ca87ec,5177.742262109288,2159.2358959171142,508.0,202.0,508,202,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-030__9050b8abea.png,Reason for combining IP and email: balance account brute force and lockout griefing.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}]"
RS-031,RIU-031,image-462bcad285004ebf438001446c33218a0df89c25,12d0de7777c8b9d89834dec87db029779e2cb51e3696e7ba4443ae4de7e4de1f,7793.249419197824,2285.6044055928833,847.0,482.0,943,537,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-031__12d0de7777.png,"Atomic Redis increment, first-hit TTL, block key, and cleanup.","[{""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}]"
RS-032,RIU-032,image-e2926c3e7c980a854a75535b05f16a5c50c9e954,e55ce20ee26ce874901d8606c77f7bdf0b948b305ec386cceeb9bdc96bb2c1b0,1719.941624585701,2286.937398418071,868.0,482.0,965,536,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-032__e55ce20ee2.png,"Manual account flow: threshold lockout, SaveChanges, success reset.","[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-002"", ""text"": ""manual account lockout + retry after manually""}, {""text_id"": ""FT-008"", ""text"": ""limiter types""}, {""text_id"": ""FT-005"", ""text"": ""you should rate limit on server to avoid problems""}]"
RS-033,RIU-033,image-2a17307840a311668fa07665c82bd51063f18356,cae8a73bb64680775f8b50b563bb1fbb98bb81c6c827bcc2bab0d13aa6e621a7,5171.803870093541,2372.4129589053955,875.0,482.0,932,514,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-033__cae8a73bb6.png,"Security tradeoffs of email-only, IP-only, and combined keys.","[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}]"
RS-034,RIU-034,image-895417d8f3626e2cdce26a4a33fde01d2e903766,83704a6e1fe333d98b07717e838a01de9691189626eac69f9cd5ed97e37c2f54,2957.9458850139254,2441.178669868532,749.0,276.0,749,276,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-034__83704a6e1f.png,RateLimitLease acquired/rejected decision model.,"[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}]"
RS-035,RIU-035,image-8d1f3a5f3297b15efa8f2f22621550eb8a173b97,6169eb7108e26eef5bec80a2b2cd637004219f1d4313d19cb3d2f7a44cf1b464,4096.63661495352,2566.044732652321,702.0,401.0,894,511,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-035__6169eb7108.png,OnRejected code reading optional RetryAfter metadata.,"[{""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}, {""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}]"
RS-036,RIU-036,image-e3bcda9190091ca4a4099d6082ad64d719890526,9ba225bd643c7672ded1e0514877894802182cad7b033cf050ad73cf2a0601ad,6658.033443936845,2572.870902494851,812.0,482.0,887,527,R05,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-036__9ba225bd64.png,Custom middleware pre-check plus post-failure registration.,"[{""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-016"", ""text"": ""with action service we can grab email from the deserialized payload easily""}, {""text_id"": ""FT-015"", ""text"": ""we will need some manual buffering and at hot paths better to avoid it""}, {""text_id"": ""FT-014"", ""text"": ""we need to read the request which is stream and it can cause issues""}]"
RS-037,RIU-037,image-1534bf62b48ba9119655717133c7ea0854b89a37,0fa038d629e170a11e6e9b0fc06cacc30c1526fda22134228e89580527feaeca,2955.0876552339596,2741.155870890165,816.0,401.0,935,460,R01,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-037__0fa038d629.png,Lease metadata retrieval with TryGetMetadata.,"[{""text_id"": ""FT-020"", ""text"": ""context.lease""}, {""text_id"": ""FT-025"", ""text"": ""retry after from lease by limiter type""}, {""text_id"": ""FT-019"", ""text"": ""locking other people's accounts""}, {""text_id"": ""FT-018"", ""text"": ""attacker changes ips""}, {""text_id"": ""FT-017"", ""text"": ""combined key for rate limiting""}]"
RS-038,RIU-038,image-327840ae49a380b33d25c05e1320f7897a40e8e9,41c2cbc42a540a0e17aa5974d635d456d6576cb81a81098b99ba39ee7e8091b5,7836.950182509372,2804.525245697838,821.0,482.0,931,547,R04,False,True,processed-semantic-transcript,1,assets/source-images-complete-v002/RS-038__41c2cbc42a.png,Identity login endpoint that increments lockout state only on credential failure.,"[{""text_id"": ""FT-022"", ""text"": ""for it only when count is 1""}, {""text_id"": ""FT-021"", ""text"": ""new key - set expiration""}, {""text_id"": ""FT-026"", ""text"": ""multiplexer""}, {""text_id"": ""FT-024"", ""text"": ""multiplexer + idatabase""}, {""text_id"": ""FT-023"", ""text"": ""redis through idistributed cache vs""}]"
