text_id,text,x,y,font_size,region,transcript,review_status,review_basis
T-038,        var algo = parts[1];,2721.0332805562375,3762.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-039,        if (algo != Algo) return false;,2721.0332805562375,3787.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-040,,2721.0332805562375,3812.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-041,"        if (!int.TryParse(parts[2], out var iterations)) return false;",2721.0332805562375,3837.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-042,,2721.0332805562375,3862.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-043,        byte[] salt = Convert.FromBase64String(parts[3]);,2721.0332805562375,3887.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-044,        byte[] expected = Convert.FromBase64String(parts[4]);,2721.0332805562375,3912.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-045,,2721.0332805562375,3937.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-046,        byte[] actual = Rfc2898DeriveBytes.Pbkdf2(,2721.0332805562375,3962.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-047,"            password,",2721.0332805562375,3987.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-048,"            salt,",2721.0332805562375,4012.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-049,"            iterations,",2721.0332805562375,4037.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-050,"            HashAlgorithmName.SHA256,",2721.0332805562375,4062.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-051,            expected.Length);,2721.0332805562375,4087.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-052,,2721.0332805562375,4112.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-053,"        return CryptographicOperations.FixedTimeEquals(actual, expected);",2721.0332805562375,4137.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-054,    },2721.0332805562375,4162.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-055,},2721.0332805562375,4187.785155044956,20px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-056,how key stretching works,13967.311732851162,1431.1072618336088,145.86665039062498px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-057,"basically kdf is a deterministic functions, it produces same hash on each input",14566.823347277068,1875.1158469854272,20px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-058,and when you hash with iterations - you always will get same hash for each input,14566.823347277068,1900.1158469854272,20px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-059,", psw -> hash1 -> hash2 -> hash300000",14566.823347277068,1925.1158469854272,20px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-060,hasging,16360.445652157718,627.8847038898272,388.0001220703122px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-061,flow,18280.7629768415,682.8886488361237,126.66674804687499px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-062,what we are storing in db,18986.23932571845,323.6645813980844,94.66668701171871px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-063,how it looks,18986.23932571845,441.9979401627328,94.66668701171871px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-064,why do we store it in one place,18986.23932571845,560.3312989273811,94.66668701171871px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-065,for what salt,18986.23932571845,678.6646576920296,94.66668701171871px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-066,different algorythms cost params,13761.725895562045,1655.3913283422582,145.8666748046875px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-067,implementations->theo,6645.989142040501,306.4076033528652,336.4444986979173px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-068,version,4539.164205400808,2954.132601213729,126.66650390625001px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-069,cost params values,16545.422438365218,4039.8582443227583,126.66674804687497px,R05,regions/R05-hashing-theory-salt-pepper-key-stretching-costs.md,processed,physical SVG text node reviewed in canvas context
T-070,migrating to automatic versioning with password hasher,3251.4432738123223,7261.697651747484,124.00000000000001px,R04,regions/R04-legacy-to-identity-migration-rehash-on-login.md,processed,physical SVG text node reviewed in canvas context
T-071,does identityhash adds literal string verion,5925.212431982811,2922.967799187359,62.666748046874986px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-072,rehashis needed from identity hasher,5925.212431982811,3001.301234245953,62.666748046874986px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-073,fixed time equals,45.20497347935634,5180.774656788696,125.48149956597231px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-074,pbkdf,105.10154522464109,3030.03468836839,193.03705512152777px,R02,regions/R02-manual-pbkdf2-versioned-storage-fixed-time.md,processed,physical SVG text node reviewed in canvas context
T-075,PASSWORDHASHER,7546.802843697145,883.9290183648693,99.23807198660725px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-076,rehashneeded,5871.1795869456,4346.740963832654,152.9777994791666px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-077,about user arg,10719.24357504084,3630.3448875166205,114.47614397321443px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-078,"why is user there, what to do?",10401.886882765986,4958.926849754715,111.29413200827224px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-079,"can pot, create excplicit hasher class that uses the default",10856.788867485655,5126.731941767008,20px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
T-080,hasher and doesnt need user,10856.788867485655,5151.731941767008,20px,R03,regions/R03-identity-passwordhasher-format-rehash-user-argument.md,processed,physical SVG text node reviewed in canvas context
