source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-001,1,c2472bd871f0138d7a28b63122c267e63120d386,c2472bd871,1787.444,10.0,527.0,482.0,0.0,1,R01,accept-header-negotiation-result-and-supported-types,P01-R01-R02,"Accept header negotiation contract, supported representations/media types, q values, specificity and server preference mental model.",L-195: candidate | L-003: using Microsoft.Net.Http.Headers; | L-004: using Microsoft.Extensions.Primitives; | L-005: public static class AcceptHeaderSelectionHelper,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,accept-header-negotiation-result-and-supported-types,yes
S-012,12,edd0db4800295b15788f88d062e076f8962d0bf1,edd0db4800,3599.264,2815.479,804.0,472.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.",L-001: !!! | L-196: matches | L-195: candidate | L-194: negotiationresult biuldresult,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
S-013,13,167d3d0173e2a9d1d66f03b053563391a870be6f,167d3d0173,1608.776,2311.403,718.0,309.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.","L-195: candidate | L-196: matches | L-070: specificity: c.Specificity, | L-071: supportedPreferenceRank: Array.IndexOf(SupportedByPreference, supported),",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
S-014,14,ba12054f6f5ba9159257c210b49ed126a2465ad4,ba12054f6f,1499.703,2647.14,836.0,309.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.",L-195: candidate | L-196: matches | L-082: .OrderByDescending(m => m.Q) | L-081: var winner = supportedMatches,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
S-015,15,86c2f1073c53257de307f7a15d55ac37fc0d80b9,86c2f1073c,2524.937,3908.801,600.0,153.0,0.0,1,R02,tryselect-parsing-candidates-and-matching,P01-R01-R02,"TrySelect flow: missing Accept fallback, parsing, invalid syntax, q=0 filtering, candidate list and supported match creation.",L-196: matches | L-001: !!! | L-194: negotiationresult biuldresult | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,tryselect-parsing-candidates-and-matching,yes
S-016,16,b9bfc30e8a109f576e9a65c613aa34bf6201c2c8,b9bfc30e8a,2497.807,4171.849,840.0,482.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-196: matches | L-194: negotiationresult biuldresult | L-001: !!! | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-017,17,08f228736a925d696c0fc773c373e611f288e727,08f228736a,2530.931,4670.628,683.0,167.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-194: negotiationresult biuldresult | L-196: matches | L-001: !!! | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-018,18,60fa8f321a8f59f96ad0fb020e1d03013792ab6c,60fa8f321a,2502.778,4086.69,780.0,44.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-196: matches | L-001: !!! | L-194: negotiationresult biuldresult | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-019,19,26db606e49d2fc3d9a4fe9fad1bb7bb335aecead,26db606e49,2458.617,3154.253,952.0,482.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-196: matches | L-001: !!! | L-195: candidate | L-194: negotiationresult biuldresult,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-020,20,2e81d491042633592cf074e8f91c59f742756b4d,2e81d49104,2441.235,5060.609,827.0,354.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-194: negotiationresult biuldresult | L-002: in controller | L-196: matches | L-001: !!!,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-021,21,95b80fd356e1f38fa71260ae2854e6a2e1e93ff0,95b80fd356,2438.273,5643.053,981.0,369.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.",L-194: negotiationresult biuldresult | L-002: in controller | L-196: matches | L-001: !!!,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-022,22,27d8c580ac1392476ce47a248c0dfe6fa9d7f44d,27d8c580ac,1525.649,5602.552,630.0,482.0,0.0,1,R03,winner-ordering-buildresult-and-hateoas-primary-type,P02-R03-R04,"Winner ordering by q/specificity/server preference/header index, BuildResult, primary media type derivation and HATEOAS include-links flag.","L-002: in controller | L-194: negotiationresult biuldresult | L-177: if (!AcceptHeaderSelectionHelper.TrySelect(accept, out var selected)) | L-178: {",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,winner-ordering-buildresult-and-hateoas-primary-type,yes
S-023,23,1563345f64e399a36d9a886d779e15a83cf0a1bd,1563345f64,1484.458,3613.212,777.0,353.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.","L-196: matches | L-002: in controller | L-115: if (qParam?.Value is null) return 1.0; | L-114: string.Equals(p.Name.Value, ""q"", StringComparison.OrdinalIgnoreCase));",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-024,24,cf9ecf56f475cd3549bf0143c70705e76e2f44a2,cf9ecf56f4,1467.859,3092.798,899.0,482.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.","L-196: matches | L-195: candidate | L-100: var primary = subType.EndsWith("".hateoas"", StringComparison.OrdinalIgnoreCase) | L-099: var subType = parsed.SubTypeWithoutSuffix.Value; // e.g. vnd.marvin.author.full.hateoas or",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-025,25,e092b4c3c07f232e91b8c0ba2b009cf070d27b4d,e092b4c3c0,1427.898,3995.828,887.0,482.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.","L-196: matches | L-002: in controller | L-194: negotiationresult biuldresult | L-129: Value.SubType?.Value == ""*"" ? 1 :",candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-026,26,c3e4b73053bda16692027165cde2ad4af4bf479d,c3e4b73053,1476.8,4498.738,815.0,210.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.",L-196: matches | L-002: in controller | L-194: negotiationresult biuldresult | L-141: // wildcard supported entries are just there for preference list;,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-027,27,04a65e1f2b722ee10bbe80715d0008a4b577036b,04a65e1f2b,3870.942,3956.277,881.0,336.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.",L-001: !!! | L-196: matches | L-194: negotiationresult biuldresult | L-195: candidate,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-028,28,34132c2de62ef11143e5ed68f51db5733740e307,34132c2de6,3834.341,4309.393,915.0,306.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.",L-001: !!! | L-196: matches | L-194: negotiationresult biuldresult | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-029,29,3364cc70b6a4faf1f1f383224861cd6b3e9e8032,3364cc70b6,3825.638,4640.205,932.0,482.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.",L-001: !!! | L-194: negotiationresult biuldresult | L-196: matches | L-002: in controller,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
S-030,30,1c60f7f4bee9451d3073f0a5d7b00f7602256399,1c60f7f4be,1511.199,4866.419,714.0,482.0,0.0,1,R04,controller-integration-edge-cases-and-tests,P02-R03-R04,"Controller/output integration, edge cases, examples and tests around multiple Accept values and selected representation.",L-002: in controller | L-194: negotiationresult biuldresult | L-196: matches | L-169: using Microsoft.AspNetCore.Mvc;,candidate-needs-boundary-review,no,Stage0 coordinate/source-order candidate only; must be visually/semantically checked before transcript.,controller-integration-edge-cases-and-tests,yes
