source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,95a8895a79065716e7b391e644d8101d39c9182e,95a8895a79,S-001__95a8895a79.png,4382.675,359.142,847.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-013,IU-013,6d7f3116f86cbb92d6308810aaadfae93464ef16,6d7f3116f8,S-013__6d7f3116f8.png,4475.982,1849.55,775.0,463.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping),bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-014,IU-014,cf4c695911f2338203a7cb8061c05f7f9c2d419e,cf4c695911,S-014__cf4c695911.png,3087.438,1866.101,889.0,482.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | When to use what for reading | toArray and readasbytearray | compact methods conspect | readasync,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-015,IU-015,897e82239d405346516b07f0e765036f95ac1479,897e82239d,S-015__897e82239d.png,432.685,2052.352,926.0,433.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | toArray and readasbytearray | readatleast | compact methods conspect | When to use what for reading,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-016,IU-016,ec341e85a9fc76ff7424bd8176d3997682de5575,ec341e85a9,S-016__ec341e85a9.png,1756.66,2053.781,950.0,131.0,Read Exactly | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | toArray and readasbytearray | readatleast | compact methods conspect | When to use what for reading,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-017,IU-017,9d7cb75d8d3e68a5b2746702ca195a7464d246d1,9d7cb75d8d,S-017__9d7cb75d8d.png,5777.91,2066.114,869.0,482.0,compact methods conspect | readasync | When to use what for reading | can limit upper bound | Read Exactly | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-018,IU-018,18d41f90d2aa009b6d944b56968eb06e7442a1eb,18d41f90d2,S-018__18d41f90d2.png,4459.849,2320.845,891.0,341.0,compact methods conspect | readasync | can limit upper bound | When to use what for reading | with readasync we read bytes | that are available | but we can get more bytes later | Read Exactly | with this we get all without loop | (implicit loooping),bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-019,IU-019,908727bbc36ab710361ab67a574b86f78a672074,908727bbc3,S-019__908727bbc3.png,3098.567,2371.794,967.0,425.0,with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | Read Exactly | compact methods conspect | readasync | readatleast | can limit upper bound,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-020,IU-020,a9969f3ffee899cf4e41aee83b61b54ade0f7e25,a9969f3ffe,S-020__a9969f3ffe.png,419.895,2529.853,934.0,334.0,that are available | but we can get more bytes later | with readasync we read bytes | with this we get all without loop | (implicit loooping) | Read Exactly | readatleast | toArray and readasbytearray | compact methods conspect | readasync,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-021,IU-021,8398737ef75e4b4427482a5d6b461895a8dd6b8f,8398737ef7,S-021__8398737ef7.png,4485.529,2676.217,774.0,260.0,compact methods conspect | readasync | can limit upper bound | (implicit loooping) | can use a slice | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | !!!,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-022,IU-022,2f71411062c7b5bda4077674cadb30decfd9e14c,2f71411062,S-022__2f71411062.png,3120.955,2811.59,940.0,458.0,compact methods conspect | (implicit loooping) | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | readasync | readatleast | can limit upper bound | Read Exactly,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-023,IU-023,db0e04201a17d2f4d0d9ac12cbbd6e431a4c31be,db0e04201a,S-023__db0e04201a.png,443.828,2912.444,858.0,482.0,(implicit loooping) | with this we get all without loop | but we can get more bytes later | that are available | with readasync we read bytes | Read Exactly | readatleast | compact methods conspect | toArray and readasbytearray | readasync,bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-024,IU-024,584a6aee2e7639b3d0d0d2b04161b1a11db29be4,584a6aee2e,S-024__584a6aee2e.png,4709.251,4313.062,885.0,482.0,"can limit upper bound | readasync | can use a slice | compact methods conspect | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations | many repeated operations can cost more",bytes-r02-readasync-partial-reads-candidate-stage0,BYTES-R02,no-stage0-boundary-review-only,yes-for-bytes-r02,"Stage0 boundary candidate only: ReadAsync and partial reads: reading available bytes, loops, compact helper methods, upper-bound/slice behavior, and when reads may return less than requested.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R02-readasync-partial-reads-compact-helpers
S-025,IU-025,7fca9d5d4f943e635510c3af341bfde3f24db805,7fca9d5d4f,S-025__7fca9d5d4f.png,1677.803,4425.604,952.0,307.0,"readatleast | can limit upper bound | readasync | compact methods conspect | can use a slice | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | (implicit loooping)",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-026,IU-026,a2ddc4fcde0fb66d0504c0ebdfb91afc67bfc283,a2ddc4fcde,S-026__a2ddc4fcde.png,1726.784,4759.738,692.0,430.0,"readatleast | can use a slice | !!! | can limit upper bound | readasync | but the benefit is limiter, you will | allocate the same size | compact methods conspect | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-027,IU-027,2f51507f51f0b7f66a2341c774be1709986e105e,2f51507f51,S-027__2f51507f51.png,4683.521,4939.83,1003.0,461.0,"can use a slice | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations | many repeated operations can cost more | can limit upper bound | readatleast, | readasync",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-028,IU-028,5786c00c51d92c5666fd6f7765423a60e4d9ccff,5786c00c51,S-028__5786c00c51.png,1720.475,5208.31,783.0,430.0,"readatleast | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | can use a slice | because of some logic,not some memory considerations | many repeated operations can cost more | readatleast, | need enough to work",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-029,IU-029,e0a1064f581d0c426a52b8b78e36c6823198429f,e0a1064f58,S-029__e0a1064f58.png,1716.028,5634.863,683.0,181.0,"readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | readatleast, | allocate the same size | but the benefit is limiter, you will | need enough to work | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-030,IU-030,2889d39afbfc4ade619d3755714aa33aa76d41c0,2889d39afb,S-030__2889d39afb.png,1719.597,5838.281,863.0,482.0,"need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-031,IU-031,8f2c1e0fcd78f191ad0a996ce27e8116ee614944,8f2c1e0fcd,S-031__8f2c1e0fcd.png,4672.247,5984.563,931.0,385.0,"need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | readexactly | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-032,IU-032,e840872a8061dbdfe248addd18aab239e8d13879,e840872a80,S-032__e840872a80.png,1717.528,6326.567,920.0,445.0,"need enough to work | readatleast, | readatleast | many repeated operations can cost more | readexactly | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-033,IU-033,e26265df6e33a6b94ab3eeb1043a14936856c4be,e26265df6e,S-033__e26265df6e.png,4671.747,6401.045,932.0,355.0,"need enough to work | readatleast, | readexactly | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-034,IU-034,f4daf233e128281fa3d154e6f35583c3442da3ce,f4daf233e1,S-034__f4daf233e1.png,4631.632,6775.5,851.0,209.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-035,IU-035,f115a1fc2f995bb16d26e56069346f2733028d79,f115a1fc2f,S-035__f115a1fc2f.png,1738.101,6801.244,654.0,482.0,"readexactly | need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-036,IU-036,a26d9ea469afe131330cc21e097e7e1608cc3e4b,a26d9ea469,S-036__a26d9ea469.png,4673.11,7265.51,780.0,482.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-037,IU-037,a27eb58b499f6cba8e8abac600207c2df521e96f,a27eb58b49,S-037__a27eb58b49.png,1666.177,7317.049,959.0,217.0,"readexactly | need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
S-038,IU-038,d877046c28ac98d26c3c8b45683df1789b1860f4,d877046c28,S-038__d877046c28.png,4662.314,7756.969,826.0,280.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice",bytes-r03-readatleast-readexactly-candidate-stage0,BYTES-R03,no-stage0-boundary-review-only,yes-for-bytes-r03,"Stage0 boundary candidate only: ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R03-readatleast-readexactly-fixed-size-reads
