source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-012,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-021,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-024,WorkingWithBytesStreams Stage1,BYTES-R02,processed-in-bytes-r02-v001,BYTES-R02,processed-in-bytes-r02-v001,yes-for-bytes-r02-stage1,no-for-stage1-semantic-transcript,no,yes
S-025,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-026,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-027,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-028,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-029,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-030,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-031,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-032,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-033,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-034,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-035,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-036,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-037,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
S-038,WorkingWithBytesStreams Stage2,BYTES-R03,processed-in-bytes-r03-v001,BYTES-R03,processed-in-bytes-r03-v001,yes-for-bytes-r03-stage2,no-for-stage2-semantic-transcript,no,yes
