label_id,text,x,y,font_size,region,status,transcript_status
T-099,WITH TRYWRITE(CAN RETURN PALIN TEXT IN THIS CASE TOO),9981.828809,4413.2945,20.0,R03,reviewed,closed
T-100,!!!,6039.278738,4427.011301,172.888896,R01,reviewed,closed
T-101,"        type: ""https://httpstatuses.com/403"",",10861.284112,4430.020443,20.0,R03,reviewed,closed
T-102,"        detail: ""You do not have permission to access this resource."",",10861.284112,4455.020443,20.0,R03,reviewed,closed
T-103,!!!,16340.671755,4474.982651,69.571438,R03,reviewed,closed
T-104,        instance: http.Request.Path);,10861.284112,4480.020443,20.0,R03,reviewed,closed
T-105,"    await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",10861.284112,4530.020443,20.0,R03,reviewed,closed
T-106,};,10861.284112,4555.020443,20.0,R03,reviewed,closed
T-107,CONFIGURE<PROBLEMDETAILSOPTIONS>,3768.351655,4790.084775,57.33335,R01,reviewed,closed
T-108,ISSUES WITH XML WRITER AND XML PROBLEM DETAILS,13888.400759,4990.397051,32.048224,R03,reviewed,closed
T-109,ex order of pd writer and customize pd,1061.992149,5013.854647,121.333496,R01,reviewed,closed
T-110,WHERE NOT TO USE THE SERVICE/,12450.357964,5240.25996,65.968207,R02,reviewed,closed
T-111, IMPLICIT PROBLEMDETAILS PIPELINE,12450.357964,5322.72022,65.968207,R02,reviewed,closed
T-112,controller issue,1211.865059,6458.556058,116.507952,R01,reviewed,closed
T-113,customize pd can see pdcontext,1211.865059,6604.190998,116.507952,R01,reviewed,closed
T-114,but in controller path it cant,1211.865059,6749.825938,116.507952,R01,reviewed,closed
T-115,the main issue,1737.699878,8163.971546,20.0,R01,reviewed,closed
T-116,so the writer wont see context too,1764.972605,8793.062455,20.0,R01,reviewed,closed
T-117,but controller uses default writer,1764.972605,8818.062455,20.0,R01,reviewed,closed
T-118,so its not the issue,1764.972605,8843.062455,20.0,R01,reviewed,closed
