label_id,text,x,y,font_size,candidate_region
T-068,"statusCode: StatusCodes.Status403Forbidden,",10861.284111991792,3287.4004429551123,20px,R02
T-069,"title: ""Forbidden"",",10861.284111991792,3287.4004429551123,20px,R02
T-070,"type: ""https://httpstatuses.com/403"",",10861.284111991792,3287.4004429551123,20px,R02
T-071,"detail: ""You do not have permission to access this resource."",",10861.284111991792,3287.4004429551123,20px,R02
T-072,instance: http.Request.Path);,10861.284111991792,3287.4004429551123,20px,R02
T-073,"await pds.WriteAsync(new ProblemDetailsContext { HttpContext = http, ProblemDetails = pd });",10861.284111991792,3287.4004429551123,20px,R02
T-074,};,10861.284111991792,3287.4004429551123,20px,R02
T-075,a,15704.032237631605,1474.343377058126,20px,R03
T-076,EXAMPLE WITH EXPL,15244.34869038458,1389.9310620527785,227.99999999999994px,R03
T-077,PROBLEMDETAILS,19844.34869038458,1183.264191935591,227.99999999999994px,R04
T-078,"WRITERS CHAIN,CONTENT NEG",19844.34869038458,1183.264191935591,227.99999999999994px,R04
T-079,WHAT IS PROBLEMDETAILSCONTEXT,16550.731244067993,2781.1438758651957,20px,R03
T-080,USING PROBLEMDETAILSCONTEXT.EXCEPTION,17610.415919650724,2836.9247542267085,20px,R03
T-081,FOR CUSTOM WRITER TO ACCESS,17610.415919650724,2836.9247542267085,20px,R03
T-082,TRYWRITEASYNC CHECKS IF THERE IS A SUITABLE WRITER,16528.879727510193,3441.4576208104545,20px,R03
T-083,"FOR CLIENTS ACCEPT HEADER, IF NO THEN WE CANT WRITE",16528.879727510193,3441.4576208104545,20px,R03
T-084,AND MUST HAVE CALLBACK,16528.879727510193,3441.4576208104545,20px,R03
T-085,TO PROCESS AS TEXT,16528.879727510193,3441.4576208104545,20px,R03
T-086,!!!,16340.671755099564,4413.690214774921,69.57143754586174px,R03
T-087,T,19707.683040970518,1569.9307568769973,20px,R04
T-088,WITH TRYWRITE(CAN RETURN PALIN TEXT IN THIS CASE TOO),9981.828808829292,4395.674500242318,20px,R02
T-089,ISSUES WITH XML WRITER AND XML PROBLEM DETAILS,13888.400758710826,4962.1625656024835,32.04822380983626px,R02
T-090,WHERE NOT TO USE THE SERVICE/,12450.357963861796,5182.14196959731,65.96820746527773px,R02
T-091,IMPLICIT PROBLEMDETAILS PIPELINE,12450.357963861796,5182.14196959731,65.96820746527773px,R02
T-092,NO DEFAULT WRITING BEHAVIOR,20419.37500202507,2651.7737511419036,20px,R04
T-093,IF NO MATCHING WRITER,20419.37500202507,2651.7737511419036,20px,R04
T-094,THEN NEED TO ADD,20419.37500202507,2651.7737511419036,20px,R04
T-095,CALLBACK ON !WRITTEN,20419.37500202507,2651.7737511419036,20px,R04
T-096,WHAT IS PROBLEMDETAILSCONTEXT,20699.364368055336,3855.5008374948497,49.03500787687298px,R04
T-097,THE DEFAULT WRITER = ADDPROBLEMDETAL,22542.830978025013,2373.5577854321896,65.27809064915755px,R04
T-098,JSON WRITER,22542.830978025013,2373.5577854321896,65.27809064915755px,R04
T-099,XML WRITER (CAN WRITE CALLBACK AND MANUALLY,21933.079231413893,3781.98702578906,37.333343505859396px,R04
T-100,SER TO XML IF DONT WANT WRITER),21933.079231413893,3781.98702578906,37.333343505859396px,R04
T-101,CUSTOMIZE PROBLEMDETAILS,3215.6496489806696,1405.4461960666451,124.8888346354166px,R01
T-102,!!,3106.1240116439667,3132.243151344236,146.2222493489583px,R01
T-103,WHEN DOES CUST PD RUNS/,3631.679635016362,3164.4652379327777,73.33333333333341px,R01
T-104,WHAT IF NEED TO HAVE SOME PD OPTIONS CONFIGURATION FOR,731.9750242472655,3884.4826668773903,49.33329264322966px,R01
T-105,ALL PROBLEMDETAILS?,731.9750242472655,3884.4826668773903,49.33329264322966px,R01
T-106,APIBEH OPTIONS PD CONFIGURATIONS,10.0,1426.9337835521283,113.86679687500002px,R01
T-107,JUST CONFIGURE CUSTOMIZEPROBLEMDETAILS AND USE FACTORY,1075.485549521578,4086.774442964469,20px,R01
T-108,CUTOMIZEPROBLEMDETAILS,10698.326314213768,2091.8154498799186,20px,R02
T-109,CONFIGURE<PROBLEMDETAILSOPTIONS>,3768.351654991642,4739.574094292148,57.333349609375px,R01
T-110,!!,13578.45657584519,2069.1375041685305,102.28571428571593px,R02
T-111,ex order of pd writer and customize pd,1061.9921491687583,4906.959836641564,121.33349609374999px,R01
T-112,the main issue,1737.6998781362026,8146.351545709192,20px,R01
T-113,so the writer wont see context too,1764.9726054089306,8775.442454800075,20px,R01
T-114,but controller uses default writer,1764.9726054089306,8775.442454800075,20px,R01
T-115,so its not the issue,1764.9726054089306,8775.442454800075,20px,R01
T-116,controller issue,1211.8650594412657,6355.912551834086,116.50795200892864px,R01
T-117,customize pd can see pdcontext,1211.8650594412657,6355.912551834086,116.50795200892864px,R01
T-118,but in controller path it cant,1211.8650594412657,6355.912551834086,116.50795200892864px,R01
