text_id,region,normalized_text,status
T-085,R03,TO PROCESS AS TEXT,preserved-from-legacy-baseline
T-086,R01,!!!,preserved-from-legacy-baseline
T-087,R03,T,preserved-from-legacy-baseline
T-088,R03,WITH TRYWRITE(CAN RETURN PALIN TEXT IN THIS CASE TOO),preserved-from-legacy-baseline
T-089,R03,ISSUES WITH XML WRITER AND XML PROBLEM DETAILS,preserved-from-legacy-baseline
T-090,R03,WHERE NOT TO USE THE SERVICE/,preserved-from-legacy-baseline
T-091,R03,IMPLICIT PROBLEMDETAILS PIPELINE,preserved-from-legacy-baseline
T-092,R03,NO DEFAULT WRITING BEHAVIOR,preserved-from-legacy-baseline
T-093,R03,IF NO MATCHING WRITER,preserved-from-legacy-baseline
T-094,R03,THEN NEED TO ADD,preserved-from-legacy-baseline
T-095,R03,CALLBACK ON !WRITTEN,preserved-from-legacy-baseline
T-096,R03,WHAT IS PROBLEMDETAILSCONTEXT,preserved-from-legacy-baseline
T-097,R03,THE DEFAULT WRITER = ADDPROBLEMDETAL,preserved-from-legacy-baseline
T-098,R03,JSON WRITER,preserved-from-legacy-baseline
T-099,R03,XML WRITER (CAN WRITE CALLBACK AND MANUALLY,preserved-from-legacy-baseline
T-100,R01,SER TO XML IF DONT WANT WRITER),preserved-from-legacy-baseline
T-101,R03,CUSTOMIZE PROBLEMDETAILS,preserved-from-legacy-baseline
T-102,R03,!!,preserved-from-legacy-baseline
T-103,R03,WHEN DOES CUST PD RUNS/,preserved-from-legacy-baseline
T-104,R03,WHAT IF NEED TO HAVE SOME PD OPTIONS CONFIGURATION FOR,preserved-from-legacy-baseline
T-105,R03,ALL PROBLEMDETAILS?,preserved-from-legacy-baseline
T-106,R03,APIBEH OPTIONS PD CONFIGURATIONS,preserved-from-legacy-baseline
T-107,R01,JUST CONFIGURE CUSTOMIZEPROBLEMDETAILS AND USE FACTORY,preserved-from-legacy-baseline
T-108,R03,CUTOMIZEPROBLEMDETAILS,preserved-from-legacy-baseline
T-109,R01,CONFIGURE<PROBLEMDETAILSOPTIONS>,preserved-from-legacy-baseline
T-110,R02,!!,preserved-from-legacy-baseline
T-111,R02,ex order of pd writer and customize pd,preserved-from-legacy-baseline
T-112,R01,the main issue,preserved-from-legacy-baseline
T-113,R01,so the writer wont see context too,preserved-from-legacy-baseline
T-114,R01,but controller uses default writer,preserved-from-legacy-baseline
T-115,R01,so its not the issue,preserved-from-legacy-baseline
T-116,R01,controller issue,preserved-from-legacy-baseline
T-117,R01,customize pd can see pdcontext,preserved-from-legacy-baseline
T-118,R01,but in controller path it cant,preserved-from-legacy-baseline
