source_id,image_use_id,fileId_short,symbol_id,region,x,y,width,height,source_width,source_height,sha256_12,nearest_labels,path
S-011,IU-011,8defa316f7,image-8defa316f7105af2c54879024eba34e43631fe99,R02,4710.16499140069,2337.000978299775,461.0,69.0,461,69,638ec5a37c6a,use staging tables | use tablelock,source/images/8defa316f7.png
S-012,IU-012,cc8fcc373c,image-cc8fcc373ca9c94ea29f510f3a1bd76c5bd58a07,R01,11068.301143062305,2344.481121728646,682.0,405.0,682,405,81f633401341,close/dispose | column mappings | writetoserver | destination colname | methods,source/images/cc8fcc373c.png
S-013,IU-013,d2c18b0b6d,image-d2c18b0b6d3c6bc81476b350586c569d077a216c,R01,10157.682869704253,2381.1613548113764,828.0,482.0,898,523,92d98824fdef,close/dispose | writetoserver | prod style | write from,source/images/d2c18b0b6d.png
S-014,IU-014,9ee8dbcaa7,image-9ee8dbcaa799298f81c20a49a6925eb78bf9b264,R01,6100.728860311725,2413.7028272075277,940.0,424.0,940,424,ec72168e0b3a,internal optimization | internal optimization flow,source/images/9ee8dbcaa7.png
S-015,IU-015,22d1f6fea0,image-22d1f6fea06dc49138d70fb9e67fc2e4e44e14b7,R01,8970.287382628094,2444.737887260877,785.0,482.0,1028,632,a353f159e34e,datatable,source/images/22d1f6fea0.png
S-016,IU-016,856c5e4f6f,image-856c5e4f6f40480fabfaedc9821ca62e258652fe,R01,7621.66389623853,2451.3198678681456,752.0,482.0,1013,650,6bb0fdcb51d4,"for loading, cant update directly | sqlbulkcopy constructors",source/images/856c5e4f6f.png
S-017,IU-017,269a5767c3,image-269a5767c3fe43a020ac95d23f84590da8e9d3c9,R02,4706.823229738282,2497.998632386718,867.0,223.0,867,223,7c042b7e51cd,use tablelock | use staging tables,source/images/269a5767c3.png
S-018,IU-018,b1edeb219a,image-b1edeb219a615514e3e6a4bf6c5ad340b453b253,R01,14242.874731970722,2523.4150389832594,878.0,482.0,994,546,9cec14660ef0,how tablelock actually | !!! | if didnt mapped | nullable values handling,source/images/b1edeb219a.png
S-019,IU-019,f096444ba9,image-f096444ba954d1be57cdca8add53ad9e517bd75f,R01,16917.119773218266,2608.8311926080733,951.0,412.0,951,412,9cb0f05e64c8,"preseve previous identity | error behavior,can fail everything",source/images/f096444ba9.png
S-020,IU-020,6814cdd85c,image-6814cdd85c0fd63303269818cc29e7e9e83a249a,R01,15608.249222002989,2635.3684104900185,988.0,233.0,988,233,bef9141bf5d5,nullable values handling | preseve previous identity,source/images/6814cdd85c.png
S-021,IU-021,68ac7b5c21,image-68ac7b5c21f8c5bd7460ea08e3813bf56b972d18,R01,12973.670935697784,2694.5709106967206,1031.0,403.0,1031,403,b17a3a30b7b5,table lock | !!! | how tablelock actually | if didnt mapped | keepidentity,source/images/68ac7b5c21.png
S-022,IU-022,b0b0622250,image-b0b0622250882c572ff331fed2b84010bab0d9bb,R01,18224.654595995624,2823.3047169136316,838.0,482.0,936,539,e44269246fe9,"error behavior,can fail everything",source/images/b0b0622250.png
S-023,IU-023,306ad40dd7,image-306ad40dd72c4286355ef6406aeda68350720fd2,R01,10163.254897771178,2861.6374072318595,764.0,482.0,779,492,c79e0c5977c6,write from | close/dispose,source/images/306ad40dd7.png
S-024,IU-024,d61b6202b2,image-d61b6202b232515734c400d0d47630a3002c0d25,R02,4677.494589691692,2863.8087302732474,940.0,463.0,1011,498,0c841b3fc7a5,tune batchsize | use tablelock | use staging tables,source/images/d61b6202b2.png
S-025,IU-025,03449dda81,image-03449dda81fb6e316de2a4a422d87116d01085e1,R01,11834.80655114706,2912.577170719529,1010.0,428.0,1010,428,7ccfd054c01b,column mappings | keepidentity | table lock | batchsize,source/images/03449dda81.png
S-026,IU-026,d1b869bf7d,image-d1b869bf7d33fdd80e34cb397adbc4ecf6f138c5,R01,11062.981934689567,2936.295333956312,712.0,298.0,1021,427,4942a1a38ba4,write from | close/dispose | column mappings | batchsize,source/images/d1b869bf7d.png
S-027,IU-027,8873927098,image-8873927098da1c993e9ee73faec7d4cd4d2a9c4e,R01,8935.40829994829,2940.5051803787155,944.0,413.0,944,413,1d7ed5e69e7f,datatable,source/images/8873927098.png
S-028,IU-028,e8cd5e7cc6,image-e8cd5e7cc686c66029f7a0556132035f470cc5bd,R01,15597.860265297259,3019.9795555095498,991.0,406.0,991,406,fa67e21b08c0,nullable values handling | tablelock example flows,source/images/e8cd5e7cc6.png
S-029,IU-029,f80b7bb0ba,image-f80b7bb0ba260622004b8c512adb5325cef46cd5,R01,6114.167248052263,3066.524653681221,800.0,482.0,975,588,427cacf52d59,less ef core overhead | internal optimization,source/images/f80b7bb0ba.png
S-030,IU-030,a27d51a9ab,image-a27d51a9ab3558ce740d2263ab771fc373feb6b1,R01,12969.896195029654,3088.248019461369,945.0,482.0,974,497,4601ecb2bde2,keepidentity | how tablelock actually | !!! | table lock,source/images/a27d51a9ab.png
S-031,IU-031,29fe7fd23a,image-29fe7fd23a8fe398611e801565863bfcaaf361d2,R01,7599.614482430903,3184.7427534271374,747.0,105.0,747,105,cb0610d91747,"for loading, cant update directly",source/images/29fe7fd23a.png
S-032,IU-032,ea89e14a59,image-ea89e14a5990f750afd832b5a9ce841aee3569ae,R01,7608.441813118412,3314.7531294037,821.0,482.0,931,547,06f5789b653b,"for loading, cant update directly",source/images/ea89e14a59.png
S-033,IU-033,e8214541cf,image-e8214541cf4edfe3dd8e7e54f682663ba787775b,R01,10166.178584273477,3344.6552057175522,745.0,220.0,745,220,1945f4c2947b,write from | close/dispose,source/images/e8214541cf.png
S-034,IU-034,ecf04f716c,image-ecf04f716c66dd19e7519320fbea40bd3abe0582,R01,11812.897404751462,3353.8347834681063,1032.0,217.0,1032,217,2b68539acf5c,batchsize | keepidentity | column mappings,source/images/ecf04f716c.png
S-035,IU-035,5c4eb472d7,image-5c4eb472d7268379ffd3b1a5e22dce1a766e999d,R02,4665.426481099581,3440.3447664467476,770.0,482.0,1008,631,6092af61ac75,avoid triggers if you can | tune batchsize | manage indexes,source/images/5c4eb472d7.png
S-036,IU-036,6d80b8ab42,image-6d80b8ab427d7f4a1d655c05c63374040599184c,R01,9009.522491950427,3539.3957654880523,735.0,482.0,950,623,d7d3751a900c,idatareader | datatable,source/images/6d80b8ab42.png
S-037,IU-037,f501841688,image-f501841688cf59e1d43c1e0a10d2c7429fa0f6db,R01,10162.784718861545,3550.5014890728653,843.0,349.0,843,349,f1a141ad8c9f,write from,source/images/f501841688.png
S-038,IU-038,ffdf411f8e,image-ffdf411f8ec4a86e776f5989b0b7cf450563ed58,R01,11806.139902975894,3578.258988901349,934.0,253.0,934,253,81e85cc49527,batchsize | keepidentity,source/images/ffdf411f8e.png
S-039,IU-039,b4e865fca3,image-b4e865fca36b867fe8b5f053ba86f320a8597b42,R01,11053.778052749298,3589.229802625043,668.0,414.0,668,414,a3ac87d04f55,batchsize | write from,source/images/b4e865fca3.png
S-040,IU-040,110a45cd04,image-110a45cd04143734adbb0b76420c90d0b8ba7c16,R01,14287.166323410795,3592.7133866019376,971.0,385.0,971,385,c0f9645d48c5,tablelock example flows | how tablelock actually,source/images/110a45cd04.png
S-041,IU-041,2a01b1e546,image-2a01b1e5461b08b933e6d2e20704adbab5d58e93,R01,15327.706032592807,3611.657712366914,805.0,246.0,805,246,bb85f907f935,tablelock example flows | nullable values handling,source/images/2a01b1e546.png
S-042,IU-042,b573dfa343,image-b573dfa3430c7a1be03c1d5927fc74631705b3b7,R01,6129.844938820075,3685.402527419834,969.0,388.0,969,388,f734598bbac5,less ef core overhead | can stream,source/images/b573dfa343.png
S-043,IU-043,11299593cf,image-11299593cf0dfd2dce3586e973b1d4e90958bfe8,R01,12996.004370756378,3697.0709106967206,943.0,458.0,943,458,1898d61cc604,keepidentity,source/images/11299593cf.png
S-044,IU-044,57c83befb1,image-57c83befb148510bf6fd3a4e93f0bfcd95cabb0e,R01,15333.069273360172,3890.370111473947,932.0,482.0,1011,523,614175de5d2e,tablelock example flows,source/images/57c83befb1.png
S-045,IU-045,ebfd2e8cdf,image-ebfd2e8cdf720651cf9f31eee1a2eb0f4960e982,R01,11806.001854713264,3943.6027943878526,820.0,482.0,1012,595,abc037efdcbb,batchsize | bulkcopytimeout,source/images/ebfd2e8cdf.png
S-046,IU-046,b09fefb393,image-b09fefb393f4a4f7fb2c79222da9eac5b330b88a,R01,14289.555280116525,3996.1022415824136,984.0,436.0,984,436,d3fe3d4423df,tablelock example flows | how tablelock actually | nullable values handling,source/images/b09fefb393.png
S-047,IU-047,ec3fbcf0cb,image-ec3fbcf0cb9acca6f4c6d42df880be9db37f288c,R02,4645.310499697598,4043.262921208652,976.0,316.0,976,316,5e5736a736ad,manage indexes | avoid triggers if you can | watch trans log,source/images/ec3fbcf0cb.png
S-048,IU-048,3bfa0a30a4,image-3bfa0a30a45e49b4e22bd4949718a1f12eb4476a,R01,6141.652725028009,4084.7229619901464,970.0,375.0,970,375,00cdac4776c2,can stream | batches internally | less ef core overhead,source/images/3bfa0a30a4.png
S-049,IU-049,96e481ad3d,image-96e481ad3d5279d7819fd79f6d026cf995968f7e,R01,9005.393666396174,4132.067745343325,885.0,463.0,940,492,d4380273d0d5,datarow[] | idatareader,source/images/96e481ad3d.png
S-050,IU-050,32cbd02d89,image-32cbd02d89ff4691d554970e9d4cab01fd790f4c,R01,12983.218690379083,4165.832951092305,984.0,316.0,984,316,0f7232134649,keepnuls (fuck defaults),source/images/32cbd02d89.png
S-051,IU-051,408bb4ccae,image-408bb4ccae5e59e5fc56a0730ed45b37c2711bd9,R01,15377.135986489686,4437.036829003244,904.0,482.0,928,495,e39f5dd5be41,tablelock example flows | nullable values handling | how tablelock actually,source/images/408bb4ccae.png
S-052,IU-052,3c0c07723b,image-3c0c07723bd103a361f0b38c836e80a0a40dbbe8,R01,11762.382068281291,4439.668232398328,950.0,332.0,950,332,a26c59183341,bulkcopytimeout | keepnuls (fuck defaults) | enable streaming | batchsize,source/images/3c0c07723b.png
S-053,IU-053,43a153fd33,image-43a153fd33871e26bd2cbd4a5fd4a8c2fba44d7c,R02,3213.0505206073685,4440.461891725021,957.0,436.0,957,436,2907e008745f,heap for staging strat,source/images/43a153fd33.png
S-054,IU-054,7188aed67d,image-7188aed67dce74d29f6828a5eb3c125c2f967b63,R01,14287.483895141635,4446.713259445367,1031.0,327.0,1031,327,55f982bf3a33,tablelock example flows | how tablelock actually | nullable values handling,source/images/7188aed67d.png
S-055,IU-055,3b7514ccbe,image-3b7514ccbedff8e0edb1ec170b123e9d59f43edb,R02,2136.853796995423,4452.062578158135,970.0,406.0,970,406,c72b03379546,build indexes after loading | heap for staging strat,source/images/3b7514ccbe.png
S-056,IU-056,dd46dddf57,image-dd46dddf5770ff172f31a0fa806ddf871a659062,R02,4635.088277475374,4464.003616738168,952.0,316.0,952,316,693ba6b404f5,watch trans log | manage indexes | stream in very large files | avoid triggers if you can,source/images/dd46dddf57.png
S-057,IU-057,cbe9bf6bc9,image-cbe9bf6bc9fda0f52b231bbff15faaf984412cd2,R02,1060.3632883978826,4477.731296176664,962.0,482.0,1079,541,b45d3c5e28b3,build indexes after loading,source/images/cbe9bf6bc9.png
S-058,IU-058,812eac0048,image-812eac004874ef35860838952bfc754d14559c8e,R01,12983.255636993666,4507.88843883102,978.0,343.0,978,343,037241442eac,keepnuls (fuck defaults),source/images/812eac0048.png
S-059,IU-059,86910a0b1c,image-86910a0b1ca67196635371c599484d58788e5d26,R01,6149.511668086903,4613.915363582697,983.0,412.0,983,412,381e5915ba03,batches internally | can stream,source/images/86910a0b1c.png
S-060,IU-060,48dc73fef9,image-48dc73fef977fa18426728efdc88f64991019c40,R01,9009.763933003387,4732.952348990411,916.0,289.0,916,289,f98744349716,datarow[] | when datarow[] | datarow[] usage,source/images/48dc73fef9.png
S-061,IU-061,a4461e403f,image-a4461e403fb22faeaf39bac1c0752d072f669633,R01,10693.287605822756,4854.820138817782,903.0,482.0,1035,553,77e5486890fc,for too long | enable streaming | bulkcopytimeout,source/images/a4461e403f.png
S-062,IU-062,eee9746906,image-eee9746906e412dfddc635a2e5014ff6167a428e,R01,11746.899933228844,4865.118006013387,814.0,482.0,965,572,298fb60b5641,enable streaming | bulkcopytimeout | notify after | keepnuls (fuck defaults),source/images/eee9746906.png
S-063,IU-063,0e613e8032,image-0e613e8032ccd77e292647c6d705b92be33311eb,R02,2102.2013353484544,4883.07827723499,986.0,418.0,986,418,155d3373f02c,so can include index,source/images/0e613e8032.png
S-064,IU-064,aa2cce4e9a,image-aa2cce4e9a8286c21d1c066a3c2a6c143a99e1ae,R02,3208.2085736924346,4902.496112829236,928.0,482.0,1014,527,c56663f2406a,heap for staging strat | stream in very large files | watch trans log,source/images/aa2cce4e9a.png
S-065,IU-065,1884a5ec61,image-1884a5ec610efe5cc599a71ce86f97c0c073b387,R02,4606.948185321977,4960.485253633242,1055.0,286.0,1055,286,ba5de241283f,watch trans log | stream in very large files | manage indexes,source/images/1884a5ec61.png
S-066,IU-066,2f6131a62d,image-2f6131a62d4255a1e48dcd64ca39a8d1c55e9ad7,R01,12983.311192549223,4977.406979955153,969.0,441.0,969,441,1ed867265446,keepnuls (fuck defaults) | ckeckconstraints,source/images/2f6131a62d.png
S-067,IU-067,97f37137ce,image-97f37137cefe9eae7a7badca4f3c4559838b7d28,R01,6147.4858009907875,5136.0691627864235,962.0,463.0,1008,485,aed16530c509,can reduce trans log overhead | batches internally,source/images/97f37137ce.png
S-068,IU-068,dcdb7da0ae,image-dcdb7da0ae55d07489158d8ff6c96000172efa88,R01,9825.13888337917,5269.750275580662,757.0,247.0,757,247,2eb109f7f846,when datarow[],source/images/dcdb7da0ae.png
S-069,IU-069,363b34b422,image-363b34b42245cc3373dbfd6b427d139a262319f0,R01,8782.47204377956,5270.916993109955,927.0,196.0,927,196,ff9711f4e792,datarow[] usage | when datarow[] | datarow[],source/images/363b34b422.png
S-070,IU-070,8ce86d4ebf,image-8ce86d4ebffb5ef5441b88e4d7c22bb5658454cc,R01,10698.02683038293,5339.2727060242705,857.0,110.0,857,110,c767553e6410,enable streaming | notify after | for too long,source/images/8ce86d4ebf.png
S-071,IU-071,bdaced3ab2,image-bdaced3ab24dba05fa8a456809c7378508e678a0,R02,2107.923557570677,5365.930151692455,939.0,196.0,939,196,cc40c47a2905,so can include index,source/images/bdaced3ab2.png
S-072,IU-072,705ff5827b,image-705ff5827bbccb811e1c7a9c33749c2ac0c3517e,R01,12989.552023712416,5412.610728870082,918.0,258.0,918,258,642678a3affc,ckeckconstraints | keepnuls (fuck defaults),source/images/705ff5827b.png
S-073,IU-073,ad11901e67,image-ad11901e67ef7035893fa4e92b352e6f2f25cdb5,R01,11732.003206420497,5447.668232398328,955.0,396.0,955,396,bd8aad938ae5,notify after | enable streaming | ckeckconstraints,source/images/ad11901e67.png
S-074,IU-074,28011f50d9,image-28011f50d9fcb7dea078c6df2ab44c3eb8e9fc7f,R01,10711.865368526645,5483.486803789028,791.0,482.0,1010,616,9e2b4d76d0fa,notify after | enable streaming,source/images/28011f50d9.png
S-075,IU-075,74bbd18efc,image-74bbd18efc904f7b54d26c9240787da2a38fae74,R01,8784.805478838154,5495.250313727631,989.0,164.0,989,164,f5277f6114c2,datarow[] usage | when datarow[],source/images/74bbd18efc.png
S-076,IU-076,3e50f7f6f9,image-3e50f7f6f9a4fe310c43ab88a0e7d7d12f50c460,R02,4605.7578253889415,5548.413825061815,985.0,333.0,985,333,5152e6b1f3cf,stream in very large files,source/images/3e50f7f6f9.png
S-077,IU-077,b34923193e,image-b34923193e1b00575796f2a0f523e20a98677019,R01,9801.472064124613,5555.083697923599,883.0,291.0,883,291,6cefbc78aacd,when datarow[],source/images/b34923193e.png
S-078,IU-078,989ec03a95,image-989ec03a95b6c27ce0514e955e99106b7a058757,R01,8771.576966384488,5689.427460639252,789.0,482.0,960,587,31117dc1d322,datarow[] usage,source/images/989ec03a95.png
S-079,IU-079,16054aaae6,image-16054aaae66912d45443e07eab0d1fe2b2ee5f7d,R01,6122.678303453489,5716.543537410822,1010.0,377.0,1010,377,f3126905b97e,can reduce trans log overhead,source/images/16054aaae6.png
S-080,IU-080,e335f13dad,image-e335f13dad273d887fd1eeb42ad9053fa1abc847,R01,12999.916817960137,5781.93593774595,918.0,482.0,965,507,5ca6fa22602f,ckeckconstraints | firetriggers,source/images/e335f13dad.png
S-081,IU-081,b870b75564,image-b870b75564f2218f72f9add66f48d58784812d54,R01,11713.452317647423,5926.93618783157,830.0,482.0,996,579,b26ca121a1d0,notify after,source/images/b870b75564.png
S-082,IU-082,5ffd62fe0c,image-5ffd62fe0c79df48c14122a9b2a62d05247463da,R01,6127.575801951087,6103.59483511215,1072.0,407.0,1072,407,8c6e0a24f11e,can reduce trans log overhead,source/images/5ffd62fe0c.png
S-083,IU-083,9489ce39c4,image-9489ce39c45e2efeaf596357218fc22faac79345,R01,13004.977994849569,6285.684757732934,979.0,340.0,979,340,f31fcea16d3b,firetriggers,source/images/9489ce39c4.png
S-084,IU-084,8c1bb2b8d8,image-8c1bb2b8d85bedf9080025882a8c9020e7884be7,R01,13015.996555762878,6755.269271079285,835.0,482.0,951,549,bf029bb42f6b,firetriggers | useinternaltransaction | combine options,source/images/8c1bb2b8d8.png
S-085,IU-085,320053a5e5,image-320053a5e501604d5c7dce303b0ad281a6c6eb99,R01,15522.414184128225,7249.59702542402,998.0,442.0,998,442,eeb526502075,when internal transaction,source/images/320053a5e5.png
S-086,IU-086,21f35ebba1,image-21f35ebba187b54dc8c8f574209e6504da23b78f,R01,14449.626615685384,7287.045712072659,1005.0,363.0,1005,363,b6a5222f01a4,flow | when to/not to use | when internal transaction,source/images/21f35ebba1.png
S-087,IU-087,8631f2b2ff,image-8631f2b2ff2a86c855b0a71a2572a4165dc6875a,R01,13003.29271924193,7358.869965523734,1012.0,404.0,1012,404,775ff6af1ae8,combine options | useinternaltransaction | when to/not to use,source/images/8631f2b2ff.png
S-088,IU-088,76995a0336,image-76995a03369ef5824a5ec9ba7cce7246aee2966d,R02,5051.899464324724,7501.088017179693,855.0,482.0,950,536,aff58f46e30b,"shared table, delete by | cleanup strategies",source/images/76995a0336.png
S-089,IU-089,f72d633221,image-f72d633221484a8e2cf82978ed0f8e8b1da825a6,R01,5991.488589013778,7512.503503833338,949.0,418.0,949,418,60cf7cdd4c27,"shared table, delete by | cleanup strategies | one improt at time,",source/images/f72d633221.png
S-090,IU-090,7695a5f004,image-7695a5f00405adaaff829483c2bf1f438c1dd44c,R02,3587.6259465561034,7552.729381186054,925.0,383.0,925,383,406642c33252,getting failed rows,source/images/7695a5f004.png
S-091,IU-091,42ebeede78,image-42ebeede780d3693390d4863a612dfd90a44af12,R02,2496.724857714049,7568.116446862624,890.0,341.0,890,341,3bdfc550e0b6,example with transaction | getting failed rows,source/images/42ebeede78.png
S-092,IU-092,8f5e5d003e,image-8f5e5d003e3e4aa231b12ad2d711ef0c8f3a378e,R02,1635.7573150389271,7598.008807116709,778.0,376.0,972,470,9c73d89bf75f,recommended flow | example with transaction,source/images/8f5e5d003e.png
S-093,IU-093,747c480672,image-747c4806729364ee91b733be8ba1f24677015a8a,R02,778.8742075164573,7634.216932043678,705.0,482.0,984,673,f8582695be81,when use staging | recommended flow,source/images/747c480672.png
S-094,IU-094,125d7a3b8a,image-125d7a3b8a5772974b21b4853409531a58043643,R03,12999.200081438112,7872.721839981199,955.0,280.0,955,280,233e1756ec15,combine options,source/images/125d7a3b8a.png
S-095,IU-095,a47067b4f0,image-a47067b4f0a67787209c4e6a12150597fe111d24,R03,14460.38578452219,7906.027272673788,982.0,248.0,982,248,90ab08470f2d,when to/not to use,source/images/a47067b4f0.png
S-096,IU-096,63bc43c92f,image-63bc43c92fce810a8bad8375b8a49b9058664aca,R02,2498.558353807799,7907.783194909499,931.0,357.0,931,357,6d07eaa6a45b,example with transaction,source/images/63bc43c92f.png
S-097,IU-097,d278736aa2,image-d278736aa2a8f6615e29ff6371251d315215b201,R02,3588.705586778078,7964.186888122748,875.0,376.0,875,376,fd3c84923d2d,getting failed rows,source/images/d278736aa2.png
S-098,IU-098,b5b07a470d,image-b5b07a470d953119dc0d1330a12c5b8b032ad038,R02,5045.192337928709,8035.299754918408,969.0,445.0,969,445,e5308b7cfeb6,"one improt at time,",source/images/b5b07a470d.png
S-099,IU-099,5193256a39,image-5193256a39857066c921d4f76f2d15effac1e132,R02,756.8813380491029,8161.878903241865,958.0,297.0,958,297,9cbea4eca91d,when use staging | recommended flow | example with transaction,source/images/5193256a39.png
S-100,IU-100,57aa7629d7,image-57aa7629d761e5076a48aeb59ab506668028f51f,R03,13010.631697073943,8164.158227785019,920.0,482.0,1017,533,4a177eb32797,combine options,source/images/57aa7629d7.png
S-101,IU-101,f76a69e26d,image-f76a69e26d33505448c5b39cc5c57c7f4a6493b8,R03,14484.18217124094,8216.897823889065,1047.0,287.0,1047,287,01c0c0756044,when to/not to use | flow | when internal transaction,source/images/f76a69e26d.png
S-102,IU-102,cce8a9edaa,image-cce8a9edaaa782222af715e919ac6480b5b9f39d,R02,2478.637746740509,8262.428764725966,951.0,397.0,951,397,279a8cb20ef0,example with transaction | cleanup inside/outside transaciton | getting failed rows,source/images/cce8a9edaa.png
S-103,IU-103,6a89ebd4ca,image-6a89ebd4ca426d3be7c7015cba5724ea7e1fbaef,R02,3595.597075958385,8337.66073019864,890.0,439.0,890,439,ecc5b87f795a,"one improt at time, | cleanup inside/outside transaciton | getting failed rows",source/images/6a89ebd4ca.png
S-104,IU-104,8a378b1ab5,image-8a378b1ab5cb291f6b6d2a31737f889c3c455633,R03,10045.759070077238,8422.82292851195,982.0,114.0,982,114,242d9d9bf5bf,"complexity | why not always | harder validation,error responding",source/images/8a378b1ab5.png
S-105,IU-105,f3977eb60e,image-f3977eb60ecdfcdceeed16fbc8b241e5edaf5bed,R03,8714.147596168317,8456.256984781614,1001.0,482.0,1025,494,8ab1631adb83,from db to db | idatareader | complexity,source/images/f3977eb60e.png
S-106,IU-106,fdd4cd350f,image-fdd4cd350fd121c192c7b0ce65c49e390564bf4f,R03,10049.135132684165,8609.142868988138,690.0,482.0,955,668,8754cbe28bd7,"harder validation,error responding | complexity | why not always | sometimes need some additional logic",source/images/fdd4cd350f.png
S-107,IU-107,5817b5d378,image-5817b5d378f07c64b71732ac877c5c4addab9943,R02,3613.652612137701,8785.859159851265,805.0,248.0,805,248,8b1d38b7e0e5,"cleanup inside/outside transaciton | one improt at time, | getting failed rows",source/images/5817b5d378.png
S-108,IU-108,ae64155b22,image-ae64155b223bc9694603afa43ad666cd2d2126d1,R02,5055.321786713432,9050.50350383334,1008.0,222.0,1008,222,d8ec446d372b,"one improt at time,",source/images/ae64155b22.png
S-109,IU-109,f88832b74d,image-f88832b74df87c6d8024b6547e58ae28be4a4220,R02,6151.247757850584,9054.466489401915,828.0,380.0,828,380,8f2f20003e83,"one improt at time, | drop the table | from db to db",source/images/f88832b74d.png
S-110,IU-110,42fc89fcf3,image-42fc89fcf3937fd182f829d5f9213f8c476d4d40,R03,8742.938723756892,9072.743768424405,975.0,464.0,975,464,d66c858c92d9,"from db to db | harder validation,error responding",source/images/42fc89fcf3.png
S-111,IU-111,261fafe2bc,image-261fafe2bc0115af8485311b8e3d06df18223f1b,R03,10071.263697415472,9166.920680674337,767.0,482.0,950,597,a5a83fe36b3a,"sometimes need some additional logic | harder validation,error responding",source/images/261fafe2bc.png
S-112,IU-112,e541906740,image-e541906740e71dec419251b39217e2b17effbc6c,R02,5045.5793833204825,9292.199128290806,1036.0,482.0,1040,484,19b6bdf66d09,"one improt at time, | drop the table",source/images/e541906740.png
S-113,IU-113,93140451d7,image-93140451d7dfdd7d5829ec10a7ce6d862e305b08,R02,6164.653692157144,9488.222928705945,913.0,193.0,913,193,715cfb4bebd8,"drop the table | one improt at time, | custom idatareader csv",source/images/93140451d7.png
S-114,IU-114,747baff093,image-747baff0931a7377e180f55dcf3f7f0f2190fa86,R03,8760.759215399037,9535.49773755911,912.0,355.0,912,355,20ec78ef111a,custom idatareader csv | sometimes need some additional logic,source/images/747baff093.png
S-115,IU-115,6259b3095b,image-6259b3095ba67974096b13c6e9ef54d6bf4a25f5,R02,3414.810563318757,9733.265216343647,839.0,482.0,969,557,cbd587acc176,cleanup inside/outside transaciton | batch cleanup,source/images/6259b3095b.png
S-116,IU-116,448c5efde8,image-448c5efde81fbf2e1f8213377a0fb3cf914867dc,R02,5052.986975025756,9789.976838251743,915.0,482.0,975,514,b2dd7baefdc0,drop the table,source/images/448c5efde8.png
S-117,IU-117,9f6c4e7db3,image-9f6c4e7db3910f8b7bc9feaa4f98162d83261495,R03,10072.007044819778,9936.475968353372,942.0,403.0,942,403,cfc3299c67d1,harder retry beh | sometimes need some additional logic | one pass processing less felxible,source/images/9f6c4e7db3.png
S-118,IU-118,099c411517,image-099c411517789ac135c32b01f35e7a41a0c79d45,R03,8723.378292082445,10163.669643561092,962.0,374.0,962,374,fb412e1b431b,custom idatareader csv | custom idatareader | harder retry beh,source/images/099c411517.png
S-119,IU-119,8eb0b0ec30,image-8eb0b0ec3067ff77839bf665362866eac1047f1e,R02,3430.3444452818057,10223.921466343647,976.0,197.0,976,197,bb350456a55c,batch cleanup | cleanup inside/outside transaciton,source/images/8eb0b0ec30.png
