source_id,image_use_id,fileId_short,image_file,status,stage0_group,theme,visible_text,notes
S-037,IU-037,6a38860e29,S-037__6a38860e29.png,verified-visible-ocr-assisted,MFA-R03,"Option 3: Store as bytes, display as Base32 only when needed","Option 3: Store as bytes, display as Base32 only when needed
Best for security/clean design: internally treat secret as bytes, encode only for QR/manual.
Code
o cH oO
using System. Security.Cryptography;
using OtpNet;
public static class TotpSecretBytes
{
public static byte[] CreateSecretBytes(int byteLength = 20)
=> RandomNumberGenerator .GetBytes(byteLength) ;
public static string ToBase32(byte[] secretBytes)
=> Base32Encoding . ToString(secretBytes) ;
}
Why this is nice
* Verification libraries typically want bytes anyway
* DB can store protected bytes/string
* Encoding is only for user-facing QR/manual display
1","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-038,IU-038,63646802a6,S-038__63646802a6.png,verified-visible-ocr-assisted,MFA-R03,Option 2: “restricted character alphabet” (course style),"Option 2: “restricted character alphabet” (course style)
This matches the approach you described: pick characters from an allowed set using randomness.
Code
wo C# a’)
using System. Security.Cryptography;
using System. Text;
public static class TotpSecretCourseStyle
{
// Base32 alphabet (classic): A-Z and 2-7
private static readonly char[] Alphabet = ""ABCDEFGHIIJKLMNOPQRSTUVWXYZ234567"" .ToCharArray();
public static string CreateSecret(int length = 16)
{
// Generate plenty of random bytes so every character pick is random
byte[] random = RandomNumberGenerator.GetBytes(length * 4);
var sb = new StringBuilder(length);","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-039,IU-039,d143beb145,S-039__d143beb145.png,verified-visible-ocr-assisted,MFA-R03,Explanation,"Explanation
*  RandomiumberGenerator .GetBytes(byteLength)
* produces cryptographically secure random bytes
* this is what gives you unpredictability
© Base32Encoding. ToString(secretBytes)
* converts bytes into Base32 text (safe for QR URIs and manual typing)
* Base32 avoids problematic Base64 chars like + / =
© 20 bytes
© 20 bytes = 160 bits of entropy
* brute forcing that is infeasible
This is the cleanest implementation and aligns with how most TOTP systems are built.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-040,IU-040,2deb847856,S-040__2deb847856.png,verified-visible-ocr-assisted,MFA-R03,for (int i = 0; i < length; i++),"for (int i = 0; i < length; i++)

{
// Read 4 bytes as an unsigned int (@..2*32-1)
uint val = BitConverter.ToUInt32(random, i * 4);
// Convert to an index inside Alphabet
sb.Append(Alphabet[val % (uint)Alphabet .Length]);

3

return sb.ToString();

+
+
——— EEE)","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-041,IU-041,bb7d428777,S-041__bb7d428777.png,verified-visible-ocr-assisted,MFA-R03,Explanation,"Explanation
* We want a secret composed of “safe characters”.
© RandomiumberGenerator.GetBytes(length * 4)
* gives enough randomness for each character
© BitConverter.ToUInt32(...)
* turns 4 bytes into a number
* val % Alphabet .Length
* converts the random number into a valid array index
* append characters — final secret string
Note: this produces a Base32-like key, but its entropy depends on length:
* 16 Base32 chars = 80 bits (since each char ~ 5 bits)
© 32 Base32 chars = 160 bits (stronger)
So if you use this pattern, prefer length = 32 for “standard strength”.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-042,IU-042,c0f0d81876,S-042__c0f0d81876.png,verified-visible-ocr-assisted,MFA-R03,"1) Entropy, BitConverter, and what BitConverter does in the “alphabet-picking” secret","1) Entropy, BitConverter, and what BitConverter does in the “alphabet-picking” secret
generator
What “entropy” means (in this context)
Entropy = how unpredictable the secret is.
In security, we measure it in bits: more bits + harder to guess/brute force.
* ATOTP secret with 160 bits of entropy is astronomically hard to brute force.
* If your secret is made from Base32 characters (32 possible symbols), each character carries 5 bits of
entropy (because 2° = 32) if selection is uniform.
So:
* 16 Base32 chars = 16 x 5 = 80 bits (ok, but weaker)
* 32 Base32 chars = 32 x 5 = 160 bits (strong)
That's why “length” matters in the second approach.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-043,IU-043,fca73d7345,S-043__fca73d7345.png,verified-visible-ocr-assisted,MFA-R03,What BitConverter is,"What BitConverter is
BitConverter is a NET helper class that converts bytes to primitive types and back.
Example:
*  BitConverter.ToUInt32(byte[] bytes, int startIndex)
* reads 4 bytes starting at startIndex
«interprets them as an unsigned 32-bit integer (0 to 4,294,967,295)
It doesn’t “encrypt/decrypt” anything. It just interprets raw bytes as numbers.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-044,IU-044,d5a1cc3f1a,S-044__d5a1cc3f1a.png,verified-visible-ocr-assisted,MFA-R03,"1) Why approach 1 and 2 look the same, and what's actually different","1) Why approach 1 and 2 look the same, and what's actually different
Both approaches end with a Base32-like string secret that goes into the otpauth:// URI, so they look
similar. The differences are in how the secret is produced, which affects entropy, standardness, and
sometimes uniformity.
Approach 1: random bytes — Base32 encode (recommended)
What it really is
© The “true secret” is raw random bytes (e.g., 20 bytes = 160 bits).
* Base32 is only an encoding so the secret can be represented as text (QR/manual entry).
* This is the standard way most TOTP systems are designed.
Why it's good
© Entropy is clear and controllable (20 bytes = 160 bits).
* Interoperable and conventional.
* No “homemade' selection logic.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-045,IU-045,0930efc45e,S-045__0930efc45e.png,verified-visible-ocr-assisted,MFA-R03,What it does in the second secret creation implementation,"What it does in the second secret creation implementation
That generator does roughly:
1. RandomNumberGenerator.GetBytes(...) gives you random bytes.
2. For each output character:
* Take 4 bytes
© Convert them into a random UInt32 using BitConverter.ToUInt32(...)
* Map that number into your alphabet by doing modulo (% alphabetLength )
* Append that chosen character
So:
* Bytes — random integer — index — character
* Repeated length times to build the secret.
Why 4 bytes at a time?
* Because 4 bytes gives a large random number space, making each character selection effectively
random.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-046,IU-046,8abb3ea9b6,S-046__8abb3ea9b6.png,verified-visible-ocr-assisted,MFA-R03,Approach 2: pick characters from an alphabet (course style),"Approach 2: pick characters from an alphabet (course style)
What it really is
* You create a text secret directly by picking characters like A-Z, 2-7 (Base32 alphabet).
Each character carries about log2(32)=5 bits of entropy if selection is uniform.
* So entropy depends on length:
© 16 chars = 80 bits
* 32 chars = 160 bits
Why it can be weaker
* Ifyou choose only 16 chars, it’s half the strength of 20 random bytes Base32-encoded.
* Some implementations use value % alphabetLength , which can introduce tiny bias (usually negligible,
but still “less pure” than encoding bytes).
In one sentence
* Approach 1: generate a strong binary secret first, then encode it for humans.
* Approach 2: generate a human-readable secret directly; strength depends on how many chars you use
and how you select them.","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
S-047,IU-047,445c351263,S-047__445c351263.png,verified-visible-ocr-assisted,MFA-R03,Step-by-step: what happens exactly,"Step-by-step: what happens exactly
Assume you want a 16-character secret.
1) Generate random bytes (once)
” cH oO
byte[] tokenData = RandomNumberGenerator .GetBytes(64);
* That creates an array tokenData of length 64 bytes.
* Those bytes are cryptographically random.
Example (just illustrative):
tokenData = [ @xA1, @x3F, @x0@, @x7C, x19, OxE2, @x5B, @xD0, ... ] a)","Visible text present; OCR-assisted read, not an OCR-timeout/error placeholder."
