label_id,text,x,y,font_size,fill
L-108,public double Q,10.0,3612.233,20px,#d3d3d3
L-109,{,10.0,3637.233,20px,#d3d3d3
L-110,get,10.0,3662.233,20px,#d3d3d3
L-111,{,10.0,3687.233,20px,#d3d3d3
L-112,// If q is absent => 1.0,10.0,3712.233,20px,#d3d3d3
L-113,var qParam = Value.Parameters.FirstOrDefault(p =>,10.0,3737.233,20px,#d3d3d3
L-114,"string.Equals(p.Name.Value, ""q"", StringComparison.OrdinalIgnoreCase));",10.0,3762.233,20px,#d3d3d3
L-115,if (qParam?.Value is null) return 1.0;,10.0,3812.233,20px,#d3d3d3
L-116,"// q is a StringSegment like ""0.9""",10.0,3862.233,20px,#d3d3d3
L-117,"if (double.TryParse(qParam.Value.Value, System.Globalization.NumberStyles.AllowDecimalPoint,",10.0,3887.233,20px,#d3d3d3
L-118,"System.Globalization.CultureInfo.InvariantCulture, out var q))",10.0,3912.233,20px,#d3d3d3
L-119,{,10.0,3937.233,20px,#d3d3d3
L-120,return q;,10.0,3962.233,20px,#d3d3d3
L-121,},10.0,3987.233,20px,#d3d3d3
L-122,// Malformed q -> treat as invalid by making it unacceptable,10.0,4037.233,20px,#d3d3d3
L-123,return 0;,10.0,4062.233,20px,#d3d3d3
L-124,},10.0,4087.233,20px,#d3d3d3
L-125,},10.0,4112.233,20px,#d3d3d3
L-126,"// exact = 2, type/* = 1, */* = 0",10.0,4162.233,20px,#d3d3d3
L-127,public int Specificity =>,10.0,4187.233,20px,#d3d3d3
L-128,"Value.MediaType?.Value == ""*/*"" ? 0 :",10.0,4212.233,20px,#d3d3d3
L-129,"Value.SubType?.Value == ""*"" ? 1 :",10.0,4237.233,20px,#d3d3d3
L-130,2;,10.0,4262.233,20px,#d3d3d3
L-131,},10.0,4287.233,20px,#d3d3d3
L-132,private sealed record SupportedMatch(,10.0,4337.233,20px,#d3d3d3
L-133,"string SupportedMediaType,",10.0,4362.233,20px,#d3d3d3
L-134,"double Q,",10.0,4387.233,20px,#d3d3d3
L-135,"int Specificity,",10.0,4412.233,20px,#d3d3d3
L-136,"int SupportedPreferenceRank,",10.0,4437.233,20px,#d3d3d3
L-137,int AcceptHeaderIndex);,10.0,4462.233,20px,#d3d3d3
L-138,"private static bool Matches(Candidate accept, string supported)",10.0,4512.233,20px,#d3d3d3
L-139,{,10.0,4537.233,20px,#d3d3d3
L-140,supported = Normalize(supported);,10.0,4562.233,20px,#d3d3d3
L-141,// wildcard supported entries are just there for preference list;,10.0,4612.233,20px,#d3d3d3
L-142,// treat them as matching in the obvious way.,10.0,4637.233,20px,#d3d3d3
L-143,"if (supported == ""*/*"")",10.0,4662.233,20px,#d3d3d3
L-144,return true;,10.0,4687.233,20px,#d3d3d3
L-145,// Parse supported into type/subtype,10.0,4737.233,20px,#d3d3d3
L-146,"if (!MediaTypeHeaderValue.TryParse(supported, out var supportedMt))",10.0,4762.233,20px,#d3d3d3
L-147,{,10.0,4787.233,20px,#d3d3d3
L-148,// developer error; should never happen because SupportedByPreference is ours,10.0,4812.233,20px,#d3d3d3
L-149,return false;,10.0,4837.233,20px,#d3d3d3
L-150,},10.0,4862.233,20px,#d3d3d3
L-151,// If accept is */* it matches anything,10.0,4912.233,20px,#d3d3d3
L-152,"if (accept.Value.MediaType?.Value == ""*/*"")",10.0,4937.233,20px,#d3d3d3
L-153,return true;,10.0,4962.233,20px,#d3d3d3
L-154,// If accept is type/* it matches any subtype for that type,10.0,5012.233,20px,#d3d3d3
L-155,"if (accept.Value.SubType?.Value == ""*"")",10.0,5037.233,20px,#d3d3d3
L-156,{,10.0,5062.233,20px,#d3d3d3
L-157,return string.Equals(,10.0,5087.233,20px,#d3d3d3
L-158,"accept.Value.Type?.Value,",10.0,5112.233,20px,#d3d3d3
L-159,"supportedMt!.Type?.Value,",10.0,5137.233,20px,#d3d3d3
L-160,StringComparison.OrdinalIgnoreCase);,10.0,5162.233,20px,#d3d3d3
L-161,},10.0,5187.233,20px,#d3d3d3
L-162,// Otherwise exact compare by media type (ignore parameters),10.0,5237.233,20px,#d3d3d3
L-163,return string.Equals(,10.0,5262.233,20px,#d3d3d3
L-164,"accept.Value.MediaType?.Value,",10.0,5287.233,20px,#d3d3d3
L-165,"supportedMt!.MediaType?.Value,",10.0,5312.233,20px,#d3d3d3
L-166,StringComparison.OrdinalIgnoreCase);,10.0,5337.233,20px,#d3d3d3
L-167,},10.0,5362.233,20px,#d3d3d3
L-168,},10.0,5387.233,20px,#d3d3d3
L-169,using Microsoft.AspNetCore.Mvc;,200.518,5608.041,20px,#d3d3d3
L-170,[ApiController],200.518,5658.041,20px,#d3d3d3
L-171,"[Route(""api/authors"")]",200.518,5683.041,20px,#d3d3d3
L-172,public class AuthorsController : ControllerBase,200.518,5708.041,20px,#d3d3d3
L-173,{,200.518,5733.041,20px,#d3d3d3
L-174,"[HttpGet(""{authorId}"")]",200.518,5758.041,20px,#d3d3d3
L-175,"public IActionResult GetAuthor(Guid authorId, [FromHeader(Name = ""Accept"")] string? accept)",200.518,5783.041,20px,#d3d3d3
L-176,{,200.518,5808.041,20px,#d3d3d3
L-177,"if (!AcceptHeaderSelectionHelper.TrySelect(accept, out var selected))",200.518,5833.041,20px,#d3d3d3
L-178,{,200.518,5858.041,20px,#d3d3d3
L-179,// Could be invalid Accept syntax (400) OR no supported match (406).,200.518,5883.041,20px,#d3d3d3
L-180,"// If you want to distinguish, check TryParseList separately.",200.518,5908.041,20px,#d3d3d3
L-181,return StatusCode(StatusCodes.Status406NotAcceptable);,200.518,5933.041,20px,#d3d3d3
L-182,},200.518,5958.041,20px,#d3d3d3
L-183,// selected.IncludeLinks -> add HATEOAS,200.518,6008.041,20px,#d3d3d3
L-184,"// selected.PrimaryMediaType -> ""vnd.marvin.author.full"" / ""vnd.marvin.author.friendly""",200.518,6033.041,20px,#d3d3d3
L-185,"if (string.Equals(selected!.PrimaryMediaType, ""vnd.marvin.author.full"", StringComparison.OrdinalIgnoreCase))",200.518,6058.041,20px,#d3d3d3
L-186,{,200.518,6083.041,20px,#d3d3d3
L-187,// build full representation,200.518,6108.041,20px,#d3d3d3
L-188,"return Ok(new { kind = ""full"", links = selected.IncludeLinks });",200.518,6133.041,20px,#d3d3d3
L-189,},200.518,6158.041,20px,#d3d3d3
L-190,// build friendly representation,200.518,6208.041,20px,#d3d3d3
L-191,"return Ok(new { kind = ""friendly"", links = selected.IncludeLinks });",200.518,6233.041,20px,#d3d3d3
L-192,},200.518,6258.041,20px,#d3d3d3
L-193,},200.518,6283.041,20px,#d3d3d3
L-194,negotiationresult biuldresult,2553.909,5556.773,85.64103816105782px,#d3d3d3
L-195,candidate,2477.982,1881.907,91.38508243183335px,#d3d3d3
L-196,matches,2516.604,3834.643,198.65539439976678px,#d3d3d3
