source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,final_audit_problem,final_audit_problem_reasons
S-001,1,6f24d1b51e05ca8011875494fcdc0e2399f3534f,6f24d1b51e,7974.254,547.627,691.0,368.0,0.0,1,R01,lock-monitor-mutual-exclusion-and-critical-section,P01-R01-R02,"lock/Monitor mental model: mutual exclusion, critical section, monitor enter/exit, object gate and why only one thread enters.","L-018: blocking | L-017: bad,fine | L-020: lock multistep oper | L-019: lock principle",processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,no,
S-012,12,7dbf79b854d44316dec12d4dc0dc316e448d5e11,7dbf79b854,4744.677,1489.695,819.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.",L-010: tryenter with timeout | L-021: object to hold(gate) | L-011: same thread can reenter | L-012: when it holds the gate,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-013,13,57e8ededadf42d0bef9f8d69dba99bc874b709a8,57e8ededad,4774.216,1979.538,511.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.",L-012: when it holds the gate | L-011: same thread can reenter | L-021: object to hold(gate) | L-010: tryenter with timeout,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-014,14,289db251b262531bb8d4b958a98494e2622a1d20,289db251b2,4787.751,2456.205,464.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.",L-012: when it holds the gate | L-011: same thread can reenter | L-021: object to hold(gate) | L-010: tryenter with timeout,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-015,15,7e085f3383a1acd619a39d20a9055d746c6f637d,7e085f3383,3539.241,2258.724,662.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.","L-012: when it holds the gate | L-011: same thread can reenter | L-009: enter,exit,tryenter | L-010: tryenter with timeout",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-016,16,7219d51704fe3f9e470fae00ed7742313c6bb20a,7219d51704,626.474,355.188,778.0,482.0,0.0,1,R02,monitor-wait-pulse-pulseall-and-condition-signaling,P01-R01-R02,"Monitor.Wait/Pulse/PulseAll condition signaling, releasing/reacquiring lock and producer-consumer style coordination.","L-004: pulse,pulseall | L-002: wait pulse pulseall | L-022: !!!! | L-008: lock,can be wastefull",processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,no,
S-017,17,bbed493945c766061c90ff57c6ccbf55eec0828a,bbed493945,649.175,934.289,677.0,482.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-004: pulse,pulseall | L-005: example | L-022: !!!! | L-003: when to use",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-018,18,4707d46b5de330758301bd29f8d2a83d8e81cbde,4707d46b5d,657.332,1506.669,621.0,482.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-005: example | L-003: when to use | L-004: pulse,pulseall | L-022: !!!!",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-019,19,e5ca292a0c502d708d0953a673b38386ce49c2be,e5ca292a0c,657.887,1996.669,549.0,482.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-005: example | L-003: when to use | L-004: pulse,pulseall | L-022: !!!!",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-020,20,8bddd71b3eb6ed89411b8849076df196d16c6f1a,8bddd71b3e,10.0,1290.77,510.0,319.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-005: example | L-004: pulse,pulseall | L-022: !!!! | L-002: wait pulse pulseall",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-021,21,26de01b04e5479463fc65cc874516212a9add7fd,26de01b04e,1715.704,370.003,564.0,482.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-008: lock,can be wastefull | L-007: each still need to acquire | L-006: pulseall example | L-003: when to use",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-022,22,c362fc89ff641df77f00682021845d74a972ca59,c362fc89ff,1686.159,875.558,726.0,482.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.","L-003: when to use | L-008: lock,can be wastefull | L-007: each still need to acquire | L-006: pulseall example",processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-023,23,71ef59bfaf367caa251d21d902ed781e35313862,71ef59bfaf,1553.992,1670.003,1017.0,610.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.",L-003: when to use | L-011: same thread can reenter | L-012: when it holds the gate | L-005: example,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-024,24,d205446ea435d6c1a5b6fba69f09d0f589892092,d205446ea4,1553.081,2337.116,926.0,610.0,0.0,1,R03,deadlocks-reentrancy-tryenter-timeouts-and-lock-ordering,P02-R03-R04,"Deadlocks, reentrancy, TryEnter/timeouts, lock ordering and common mistakes around nested locks.",L-003: when to use | L-012: when it holds the gate | L-011: same thread can reenter | L-005: example,processed-in-r03-v001,yes-for-r03-v001-boundary,"R03 processed after P02 review: Pulse vs PulseAll, producer/consumer flow and wakeup costs.",R03,no-for-r03-v001,no,
S-025,25,bd90109e67ffa20b6ba54d05ab6938ac1c4d4bf5,bd90109e67,6798.681,634.326,831.0,482.0,0.0,1,R04,async-locking-alternatives-and-practical-guidelines,P02-R03-R04,"Async locking caveats, SemaphoreSlim/ReaderWriterLockSlim alternatives, private lock object guidelines and practical usage notes.","L-016: async semaphore | L-015: synch lock | L-014: can use await? | L-013: lock,",processed-in-r04-v001,yes-for-r04-v001-boundary,R04 processed after P02 review: Async locking caveat and SemaphoreSlim alternative.,R04,no-for-r04-v001,no,
