source_id,image_use_id,region,symbol_id,file_sha256,file_id,image_file,x,y,width,height,theme
S-011,IU-011,R02,image-4fad3c3c252fc77e0d21c8aa5c991ea6160ea098,6379d1fee6d04eb3180f86ca3276e2e13b73fc95b5531719da183908b0967e1d,6379d1fee6,source/images/6379d1fee6.png,1470.132,1847.968,1186.0,168.0,relationship target / foreign key to non-PK
S-012,IU-012,R02,image-dc9363269f3f263d8a587296f28deac317d6b1ba,441b2874ab572e3c4e76aec330dc7fae984cc0d78b43ebae4c5555c970e4389d,441b2874ab,source/images/441b2874ab.png,3335.844,1929.621,1096.0,181.0,relationship target / foreign key to non-PK
S-013,IU-013,R02,image-111a3514689b7aef58b6fba9669a5afca92dc87e,67e7bd82506d41ba78425ac892a23e7f261ac597368bb7f1ef24bdda592de879,67e7bd8250,source/images/67e7bd8250.png,5129.877,1956.3,1077.0,470.0,relationship target / foreign key to non-PK
S-014,IU-014,R02,image-dc9c647cf6c3eaee07ce893c64f4639b3e42704a,99775674125abc4ce8e8cede3354981080a77b145461c3a634956dc840634100,9977567412,source/images/9977567412.png,1472.465,2010.635,1096.0,416.0,relationship target / foreign key to non-PK
S-015,IU-015,R02,image-b77ca8d7e059c7d3a17863e697a6248f356638b5,93eec5cb8b9e8f5d62b9f96f16c9ae11d8c1cd9b1d539479da7fe240377607b2,93eec5cb8b,source/images/93eec5cb8b.png,3322.844,2122.788,1194.0,384.0,relationship target / foreign key to non-PK
S-016,IU-016,R02,image-90d5873174cc2e1fbd75ea1eb6862096a2739f19,6a7e261de6e78fed270359c2045b31490b0b5caeae82c04da2875b490711669f,6a7e261de6,source/images/6a7e261de6.png,5107.59,2428.81,983.0,482.0,relationship target / foreign key to non-PK
S-017,IU-017,R03,image-742b77008800e135c73a218193a38a6f518b6041,98c82c30a4efaaa52f092a754a5945e69c80f79326bcb25f92fe62dd5d886cd2,98c82c30a4,source/images/98c82c30a4.png,1471.632,2431.135,1087.0,407.0,HasPrincipalKey configuration examples
S-018,IU-018,R03,image-5cd163b41b25b73fef98ef2a53e3aebd16af039e,1ada81e80a6138a184254b6943176590d01c9ed8ea0552e19e3025be1a28ec78,1ada81e80a,source/images/1ada81e80a.png,3281.011,2548.954,1115.0,281.0,HasPrincipalKey configuration examples
S-019,IU-019,R03,image-19ccdf99ba1bf0fc2a2becd9da125f5e9b08a8f8,1fde86946333e1d2dd98b3d0fbba4296a9e2257ad4bbb229326594a747e499f4,1fde869463,source/images/1fde869463.png,1453.465,2847.802,1062.0,467.0,HasPrincipalKey configuration examples
S-020,IU-020,R03,image-91ea2558e53a63ca744de5fc2baa69e2d91e3fe4,e9ad9bf0995e70baebdf1c283df090aae5c85a48d4a5e77aa683eb3bad29cdd7,e9ad9bf099,source/images/e9ad9bf099.png,5092.535,2930.143,1024.0,482.0,HasPrincipalKey configuration examples
S-021,IU-021,R03,image-84e97c75efdab60a6f525209b6fe8ba38bfaae55,004232f3af875cbad3eec13c5c9e7b1215f5f48ed57cdef6e8c7b2d674af0246,004232f3af,source/images/004232f3af.png,1451.965,3321.135,793.0,379.0,HasPrincipalKey configuration examples
S-022,IU-022,R03,image-b4bcf6657a8e5992924b752e03560e3939b27f8e,9c0f57c1f2896dddc2352e5b28f330060ae84c8f4508b43d52fece0882849d60,9c0f57c1f2,source/images/9c0f57c1f2.png,5105.043,3482.633,1124.0,156.0,HasPrincipalKey configuration examples
S-023,IU-023,R03,image-9ab2e0509ce06d677b1f56364b9f353688bf3d5e,6cd448abd0b94a7d2ccefe63feb5db1805a76b794e9b348de17d44d6af1ac93a,6cd448abd0,source/images/6cd448abd0.png,1430.465,3711.968,1116.0,440.0,HasPrincipalKey configuration examples
S-024,IU-024,R03,image-f6677726777612e11b8901e784df62cb49bdde65,935daf5a20a3653385adb1b4b3998a006b9f88a112a2c411b52ed2d996fb5e46,935daf5a20,source/images/935daf5a20.png,10.0,3815.057,1061.0,256.0,HasPrincipalKey configuration examples
