image_use_id,symbol_id,sha256,x,y,width,height,region,asset_file,status
IU-024,image-4f4d60227d64826931656e1d23c9b90648011b10,31f18d0be800c7eae4da929b3a3caf64ad8ff94fe6810ba18ec0272497f4497c,3696.950895,5891.985975,737.0,380.0,R03,source/images/image-4f4d60227d64826931656e1d23c9b90648011b10.png,verified
IU-025,image-b1e880b3dc18846efa6aaefa8c1d4ff34870a4e1,cd4135931da7d94581c594f56d67bc53de531d6cd45013ee217dd60dfc9a3639,3694.877002,6282.763685,593.0,434.0,R03,source/images/image-b1e880b3dc18846efa6aaefa8c1d4ff34870a4e1.png,verified
IU-026,image-6a82bf56b70c169d8a8c14e233066357577bd9e2,f90f250c8823bdcccfa8a398078a6e03b505efbe090952abd47a1f09fc8d1a6b,3705.96438,6838.363016,775.0,376.0,R03,source/images/image-6a82bf56b70c169d8a8c14e233066357577bd9e2.png,verified
IU-027,image-ae45b90f87a304e1f42518eed67f0ace4154a42b,c912a26e056b516778f3becb46df89207d5c975da73b1088fe60881e077d67a2,4811.330582,4840.577635,885.0,678.0,R03,source/images/image-ae45b90f87a304e1f42518eed67f0ace4154a42b.png,verified
IU-028,image-9fab3d851fe2f391ef51fadb3c0e3c9479a4a092,497d35292bbeff10dae35a0fe54f25c775abc3f1d42d0ddb64523967c23c83dc,4820.85645,5551.688746,831.0,607.0,R03,source/images/image-9fab3d851fe2f391ef51fadb3c0e3c9479a4a092.png,verified
IU-029,image-7b4889bf87118a0ae8bb4779c2fe12ddab8444a3,f60f9b2a50e24844853e9d393c1858685aec39bfb4c02ed2aae1eb476d5623e8,4792.092951,6164.88201,1145.0,557.0,R03,source/images/image-7b4889bf87118a0ae8bb4779c2fe12ddab8444a3.png,verified
IU-030,image-5da0fc4d4a79cebdd1fd4f54bb09cc95a3759a74,b626a7beb170f6a3c9bda0ddac20b05a9296ade72e8c8dfcf4591606fc25af46,3689.852281,7349.952056,821.0,283.0,R03,source/images/image-5da0fc4d4a79cebdd1fd4f54bb09cc95a3759a74.png,verified
IU-031,image-80a7d0621d76680df7706c5a1e092dfe12983492,0ab29bf4aff715743a90cdda150c449019d35fa561499f031e3eef519a592a36,3683.667141,7644.840877,703.0,431.0,R03,source/images/image-80a7d0621d76680df7706c5a1e092dfe12983492.png,verified
IU-032,image-6999c9d61f6b650bb3f27c77d05007aab80fc858,1f527c1ef9caa4810500896150c51e2dc75318e29428f57424b862ca88cec0f5,3658.759508,8090.98907,818.0,475.0,R03,source/images/image-6999c9d61f6b650bb3f27c77d05007aab80fc858.png,verified
IU-033,image-e092f8cff9254e244b20af320b5d8d422b3ae690,57522e6b7dd031a8543197b882780113a734f973194c6b27a9f65f63a8aeb3a4,3663.657848,8676.765249,680.0,459.0,R03,source/images/image-e092f8cff9254e244b20af320b5d8d422b3ae690.png,verified
IU-034,image-8e6b231ca6aa72ddadff6c548b401d3500ce4600,b05d2f9ac35ca64af8ff2a2023ccf03d6ce16d6675b68d86a554c9dbd751bacf,2402.156729,6808.23392,648.0,331.0,R02,source/images/image-8e6b231ca6aa72ddadff6c548b401d3500ce4600.png,verified
IU-035,image-765db2b3991234306b9066b9277b9952d8280061,99143238e6211fb375966e07f6a1a641e72ea9074a27ca4aada8acf53974e0be,2416.944369,7151.83711,755.0,482.0,R02,source/images/image-765db2b3991234306b9066b9277b9952d8280061.png,verified
IU-036,image-b25746c3a5980d584e1c83482d3f744b333c1c34,bdc306f8b4ab3ceb6c40d09ae3bfd60e0591ddee46af3f0f18f8adb469c05d4f,2398.582564,7619.04878,827.0,419.0,R02,source/images/image-b25746c3a5980d584e1c83482d3f744b333c1c34.png,verified
IU-037,image-367581c14f813f0e79a56c313510459c3121886f,cb70996652ce188affb456eabafc22846107940b7f5d0c1d9a1b75b578d43dee,5216.887377,7172.08451,777.0,482.0,R03,source/images/image-367581c14f813f0e79a56c313510459c3121886f.png,verified
IU-038,image-443c9ef3128bcd4792f1ec0811d8867571c5a8ea,602cf9327124a23c2d62095a9d77ba92a714072fd1cc07ecda38754d36055c81,5204.798973,7680.973365,890.0,482.0,R03,source/images/image-443c9ef3128bcd4792f1ec0811d8867571c5a8ea.png,verified
IU-039,image-364ab7bfef1e48c75b379dee3ea845490a923e90,9fc555b021415b1eae2366667135672fc2e2c75b56f9d394f4411129408a1fa6,6527.163455,4821.58971,689.0,482.0,R04,source/images/image-364ab7bfef1e48c75b379dee3ea845490a923e90.png,verified
IU-040,image-6d2f8c56e032b118d7b50b53b7c8bce8f3421a91,536a2329910adc5c43b87eb2c4d8bac0589e803a408f29f2300319fc0d2b69c8,6563.940391,5317.74596,503.0,354.0,R04,source/images/image-6d2f8c56e032b118d7b50b53b7c8bce8f3421a91.png,verified
IU-041,image-38520bc0bd8379ddd3e4b4227e7def798ef19c56,3d2712699057b6ecfc77f80d42f9005c6e877e1154128f9607d41ba4856de7ab,6539.940391,5694.079212,567.0,460.0,R04,source/images/image-38520bc0bd8379ddd3e4b4227e7def798ef19c56.png,verified
IU-042,image-5a37c47803a977a7b5a604835d0f3649d84b159b,63033f02abcba6bd7b5c8f64815602bb587054024e66b22af81ee7788daaefdb,6510.273887,6169.245838,829.0,347.0,R04,source/images/image-5a37c47803a977a7b5a604835d0f3649d84b159b.png,verified
IU-043,image-4bd4ee7ee6d228d53094356f6d8d24aba680e00f,e1862f76b647feeb15d03864d5fa49d6c3703be30dd41f5987aea342b580ca25,10.0,1108.272286,622.0,482.0,R01,source/images/image-4bd4ee7ee6d228d53094356f6d8d24aba680e00f.png,verified
