source_id,image_use_id,region,symbol_id,file_sha256,file_id,image_file,x,y,width,height,theme
S-011,IU-011,R01,image-8af4818a93b1224c3bc6f1e3b5e45c95f508d266,089f56ffb3b82b3a617fc7bb8fdaa78caee6dec34745ba2b0d607c2fde27af62,089f56ffb3,source/images/089f56ffb3.png,2148.848,2056.328,1170.0,338.0,middleware basics / request pipeline / order
S-012,IU-012,R02,image-e486a054e77f9ba97f7b78e6beb7c80509b8dd04,d1e021f798b745e28f27588974ff85bdab624d92e1bff2764d99be632c8776a3,d1e021f798,source/images/d1e021f798.png,10.0,2271.173,869.0,482.0,WriteAsJson / response / short-circuiting
S-013,IU-013,R02,image-09d77d9bc4b6655cf712ebf56730841af37e923c,f00bafa15a0c0d9117f7603dbc8e7ac7999f379f3bd0aaa43d9813b8c9ec70a6,f00bafa15a,source/images/f00bafa15a.png,2216.54,2466.356,809.0,270.0,WriteAsJson / response / short-circuiting
S-014,IU-014,R02,image-3d1114ed927c1e3a15dfd416c888b143c0968805,e4473f313b3152ce60059d233a70306823abf131f30c854a9070216bd71ea6df,e4473f313b,source/images/e4473f313b.png,1063.277,2480.996,954.0,274.0,WriteAsJson / response / short-circuiting
S-015,IU-015,R02,image-fe6abadb7c02f43938803e9d89ef8252a3951757,e138460f954720401ca74a8524f9b683da84a02742345dc50f9cde4f80d27845,e138460f95,source/images/e138460f95.png,74.05,2812.196,720.0,482.0,WriteAsJson / response / short-circuiting
S-016,IU-016,R02,image-18a51b5a6a7d15aef6e64a9aa219728f45c8b792,4408269d98a2bc36cc422f48a3f4e5cb04b33498b49f7f7eac18102f64d8a252,4408269d98,source/images/4408269d98.png,916.136,3120.65,729.0,482.0,WriteAsJson / response / short-circuiting
S-017,IU-017,R02,image-abaec9cc9c893ea25555032066788bbb24a1f750,f62882f045bb6646cf960d9ee111c766726fa9430f6825503f3ce5ca825b5fd0,f62882f045,source/images/f62882f045.png,2365.947,3169.406,771.0,301.0,WriteAsJson / response / short-circuiting
S-018,IU-018,R02,image-9f9db2945b6560d69c038e438041282b3acab1a9,ec574fa8b8b0d65d883eb340e7aae1d74bb1aacb0868d5bf38029e4d277fe13d,ec574fa8b8,source/images/ec574fa8b8.png,2376.63,3508.046,780.0,512.0,WriteAsJson / response / short-circuiting
S-019,IU-019,R02,image-603940f886843d325d99d2092b4982a8a295aa7a,6c1769b4211c306da99bb93dc4a40017990733abfedfef2490fd4cd9ba116d80,6c1769b421,source/images/6c1769b421.png,817.884,3641.356,1035.0,462.0,WriteAsJson / response / short-circuiting
S-020,IU-020,R02,image-a6ebe19d90884e73c505c649942de86b29a0877f,c88a50fa73bb6f09a37305e0b520f624bf7ad318d4fd484ef57c683c9c57d720,c88a50fa73,source/images/c88a50fa73.png,2383.286,4022.039,750.0,172.0,WriteAsJson / response / short-circuiting
S-021,IU-021,R02,image-7277fe6f71b1f6c660ff566e469a5fd6bb917e5d,7321bf74f96dd2443a7c2afaa117d899309f3fd86b40de06ad8294d345a07ca9,7321bf74f9,source/images/7321bf74f9.png,2399.734,4200.098,614.0,354.0,WriteAsJson / response / short-circuiting
S-022,IU-022,R02,image-7e56946ff0f3456fbfa8d0757280f70baa2cc2d3,b11696d1c5a12ac5cdd6298ae51ef03117d1af2f8487d0077506f8bcaca46d6d,b11696d1c5,source/images/b11696d1c5.png,865.241,4363.986,998.0,441.0,WriteAsJson / response / short-circuiting
S-023,IU-023,R02,image-3610f4eac4591be2add63c93a076d2c8d3084374,0c638c00a7eaa0ee4c01e94dd85e5cbaeb058e5b183bcabb79f5457e8cc8dc8f,0c638c00a7,source/images/0c638c00a7.png,2432.481,4575.637,446.0,354.0,WriteAsJson / response / short-circuiting
S-024,IU-024,R03,image-097ea3254119f8228688a1c20cb4e494d4eb0780,d58578051262df3f521dd29312bdbbfce604a5c903e6ee5d9becc23d1f75e5d1,d585780512,source/images/d585780512.png,885.287,4928.552,964.0,316.0,patterns / async / debugging / final examples
S-025,IU-025,R03,image-cda20d576bf3b34c2cae420bea36e3b09163608c,2179775b724bceb86982b31c03a799c740c816eaffc4381130f3a43dd1de8c07,2179775b72,source/images/2179775b72.png,2368.55,5016.164,598.0,185.0,patterns / async / debugging / final examples
S-026,IU-026,R03,image-398aef327ac16d93618b8911e567f9091a6562e4,b66a9e89d62363a661031570741e847e859ccdf2230c497c5729fb54eca3fcbd,b66a9e89d6,source/images/b66a9e89d6.png,2383.108,5231.796,573.0,430.0,patterns / async / debugging / final examples
S-027,IU-027,R03,image-e7efc15f834d4e23bf26dea68e4ac060f2208445,f53eba5fb84f6b44a8f9dd5de4e6ccbd060fb45bb0a46daf7ee465cd120c5284,f53eba5fb8,source/images/f53eba5fb8.png,855.842,5272.572,971.0,462.0,patterns / async / debugging / final examples
S-028,IU-028,R03,image-b0100b46b7e4aa409a6f073d23ade52d6c5a9ab8,a08230be1de3f1b15c61db4c504d96cee6453802b205b1c79c1c86c26e38ddee,a08230be1d,source/images/a08230be1d.png,2329.867,5684.312,624.0,430.0,patterns / async / debugging / final examples
S-029,IU-029,R03,image-aa6ec936ab08a8cb2d9806078d71386eebfe5bd4,95339c6f58611d7495e43a5ca52310496a1e8deb0f6791967cfeb02a4ebb18c6,95339c6f58,source/images/95339c6f58.png,848.815,5809.683,682.0,213.0,patterns / async / debugging / final examples
S-030,IU-030,R03,image-8a9ed5c8db90dd16b51a3500a00571552cea000e,e642918cbea864781ae607cfe2b4aa118596f3ee27e79063c7653be6a8365f0d,e642918cbe,source/images/e642918cbe.png,824.503,6089.843,1016.0,320.0,patterns / async / debugging / final examples
S-031,IU-031,R03,image-67bb5bf46b306cab697fc4201ebe588eeca7b8fe,10fe58d1d4ffa8290f563ab8515e7e3f2cba4dff1e80dcc066908d417a845a35,10fe58d1d4,source/images/10fe58d1d4.png,2309.294,6138.734,619.0,492.0,patterns / async / debugging / final examples
S-032,IU-032,R03,image-cb6dd68e3eea60af1c52e4ce8eac77f17fa7d13a,0edf50fb5714d2251d6519a151f4fb41ea61b8812fa15a55ff85df562ce59481,0edf50fb57,source/images/0edf50fb57.png,2393.295,6707.123,393.0,354.0,patterns / async / debugging / final examples
S-033,IU-033,R03,image-0c35cf8c77ff9460d616772e0aae067c6265dd2e,323e887c0a873a6ec334e052bf8d5dcc1cb00f29d942f48b216057a577c07a5f,323e887c0a,source/images/323e887c0a.png,2314.958,7146.243,730.0,394.0,patterns / async / debugging / final examples
S-034,IU-034,R03,image-b6278d8ddd03f937c91db89a59b1bdf00986b5d2,fb133680a2315a049b850f7ba028ae4ad5d977f5c07afe6656452b7bed7cf084,fb133680a2,source/images/fb133680a2.png,2296.745,7574.352,855.0,394.0,patterns / async / debugging / final examples
