placement_id,canonical_source_id,image_sha256,width,height,duplicate_placement,duplicate_of,region_file,source_transcript,recall_questions,status
S-056,S-056,1e815f1249c0032d98058074ca17f57466649d3492dde4a5b4bc313597e68596,934,290,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-057,S-057,0dff047e34df4557db06de75784ba78d2cba4bc860998029ef4982a547b7bdac,943,359,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-058,S-058,264ec7c25d6c893daf5b7cc00cfdff3ef4d2d3e12ca9f33a1cc96fa503f2c333,996,365,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-059,S-059,c15e615ae8aca94ac72e98b33ff8b43d3e73b55375303ff9e4981db4f26ddd09,927,377,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-060,S-060,aa7f2afb3366b1973b3044627495f3df1d19e253434d513d9f89465a1c06211f,955,333,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-061,S-061,ed7d4fd6ec69cdafe6a3fe7fe040be7fc093ef0dde4a2fe983e6041b8eaf5e58,992,395,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-062,S-062,e40a7a15696b19d2c95598b99a6932135c718621d5ebcdc83b13fb9c87b9e22b,946,464,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-063,S-063,7cc9d778246a40c66fffb709436644c940ac294b156e109a54509c9d9e69d66f,1004,356,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-064,S-064,0aa24c6edd08c51783266b5abe7f88ef0e594e054324555fd2774f54bd547e76,1016,455,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-065,S-065,3685c788b9d2bf8d0b4baa419bbf03e7e8dbbd26b416017f6740805aa0da96b6,1039,306,no,,R06-remoteip-forwarded-headers-hostname-action-and-score.md,complete,complete,complete
S-066,S-066,060dff727deb96f01f5fb83f81dda565eef6c13350b1cf49121e61942abc48b9,1041,221,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-067,S-015,b50df11299b96bcaa7e2aa06595f57acc390e59cc3911da81259fe2a6f278f58,960,430,yes,S-015,R02-aspnet-core-v2-controller-service-and-razor.md,duplicate-record,in-canonical-source,complete
S-068,S-068,bf4acac48dc580e2264ff032d1408aed3cc6daae035db3490bc2c2e403acaac0,997,656,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-069,S-069,3f558f9e7662c2f763b02586acb9c13980adba3b531715a7ed225ae76332e62a,767,124,no,,R02-aspnet-core-v2-controller-service-and-razor.md,complete,complete,complete
S-070,S-070,852542d67af953d929ab8f34f7f324ce0bf3a0909a9d179f323ff6c086348cbd,1206,554,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-071,S-071,caad7a88cf42ddf4ca270d96f35f8b9648e05d415a9cc875e48f6ac1d1ed8b02,933,356,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-072,S-072,e22ceffc6f07f38ecd3bcc46638bf34ecd80d5ab9230f59c612383d789210de2,838,209,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-073,S-073,6372d9ff2396e3c9f1f8a5903aec15ff513153d1fef52e309786e8c15339fe33,833,418,no,,R07-site-key-config-endpoint-and-placement-audit.md,complete,complete,complete
S-074,S-074,5a2027fcfd7e7581065265d8af25834ed01f7dc64e270a2ab0684fe448df4b19,1048,500,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-075,S-075,3d77736ad83eba005931e891f4157159a49ccd2b590b5846238616d6e91235ee,981,490,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-076,S-076,66a66bd8901f46a51b9ab504bd83f545af85451fe578bcf882dedf752a0873be,895,357,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
S-077,S-077,61689add213956e183499bb8004fff68c7d0d479bc2f30b2255572a7f6e74f03,908,106,no,,R04-aspnet-core-v3-razor-and-verification.md,complete,complete,complete
