label_id,x,y,font_size,text
L-085,8487.0,9908.072,94.667,debugview
L-086,8442.556,12275.48,94.667,detectchanges
L-087,7402.846,10607.31,232.0,---methods---
L-088,7389.513,7613.977,232.0,---properties---
L-089,6902.68,8894.914,20.0,internal logic of attach
L-090,6902.68,8919.914,20.0,can be useful inside
L-091,6902.68,8944.914,20.0,trackgraph
L-092,13064.453,7721.054,78.667,"props,methods examples"
L-093,11455.565,7749.742,82.222,what and why metadata
L-094,4858.002,11913.714,91.822,what and why member
L-095,3625.113,11904.435,71.2,props and methods member
L-096,7540.061,6906.007,206.667,full entity entry list
L-097,6392.417,16013.99,292.0,changetracker event
L-098,6290.769,16579.355,46.667,tracking vs tracked
L-099,6290.769,16637.689,46.667,fromquery
L-100,6290.769,16696.022,46.667,what is state in tracking and tracked event
L-101,6290.769,16754.355,46.667,
L-102,11706.562,1246.024,95.487,enrty types
L-103,10468.639,1220.416,71.394,all navigations - references and
L-104,10468.639,1309.658,71.394,collections have isloded flag
L-105,720.93,5632.799,97.156,options of
L-106,720.93,5754.243,97.156,delete timings
L-107,571.93,7230.458,63.852,can we jsut detectchanges
L-108,571.93,7310.273,63.852,without cascadechanges to
L-109,571.93,7390.088,63.852,modify state of children
L-110,10206.309,9756.601,20.0,will get row version + some fields that was set from
L-111,10206.309,9781.601,20.0,another requirest
L-112,10229.61,9578.434,20.0,savechanges also
L-113,10229.61,9603.434,20.0,sets current values to orig values
