source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,r02_boundary_decision,r02_boundary_note
S-004,4,2db4c446a410c49b5cbbb7b4034f36019928562c,2db4c446a4,8838.891,2760.645,778.0,365.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-006: common tasks | L-104: collections have isloded flag | L-103: all navigations - references and | L-102: enrty types,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-015,15,f61956999a3048dad0e6e198b593ea245b925ae3,f61956999a,12607.506,2759.389,931.0,443.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-001: .query() | L-003: is entry..... query accessible only from collection? | L-104: collections have isloded flag,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-016,16,ff6f6d3218c1b290fa73239a70feb58d16a89867,ff6f6d3218,12592.709,3206.334,848.0,278.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-001: .query() | L-102: enrty types | L-002: collections navigations references properties of entry | L-003: is entry..... query accessible only from collection? | L-104: collections have isloded flag,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-017,17,8c36753e3a4719fd92f21f9f2886fe2212829a03,8c36753e3a,12605.452,3483.437,817.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-001: .query() | L-003: is entry..... query accessible only from collection? | L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-018,18,c9a65f619732965294d1fdffe973a3b2ab6ca94a,c9a65f6197,12603.154,4021.797,856.0,463.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-102: enrty types | L-092: props,methods examples | L-002: collections navigations references properties of entry",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-019,19,dd3cd5803e06f767a8507845e4f3ae6811773cfe,dd3cd5803e,12649.372,4484.797,729.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-020,20,31550616bbaa12cc2fb76e336d7685ff4291c344,31550616bb,12660.784,4982.538,840.0,403.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-021,21,aabda1bea1a25cfda1e3b241a2ce264ae3a72fcc,aabda1bea1,12672.839,5398.26,827.0,216.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-022,22,914dac643d07c1ffac70e58a3051bc4b79e841f3,914dac643d,14032.893,5374.36,733.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-023,23,775a140e116fd9a5e2a014d557b623e3c7e87380,775a140e11,14031.148,5876.85,755.0,248.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-024,24,92056d22279eb81c348fbd9a0ac4f176c8d2880c,92056d2227,14014.795,6154.36,830.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-001: .query() | L-003: is entry..... query accessible only from collection? | L-092: props,methods examples | L-093: what and why metadata | L-112: savechanges also",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-025,25,c0773e96c478cf0d31549d2a86d23447249fff3f,c0773e96c4,13495.269,1322.462,547.0,209.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-001: .query(),candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-026,26,21e2e4dc1fc42843849011abb50445c17e256d4a,21e2e4dc1f,13490.784,1553.992,859.0,112.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-001: .query(),candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-027,27,064dcb2d474e914fe4c58458e5b007252cc5e525,064dcb2d47,11606.921,3467.447,874.0,256.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-001: .query() | L-104: collections have isloded flag | L-103: all navigations - references and,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-028,28,940fd9de92cc3e0dbfbd4dcdeb0c576112d722b3,940fd9de92,11644.189,2987.018,846.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-001: .query(),candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-029,29,021c96de807c9c1ceb8bcca32c75dcab056f2610,021c96de80,11663.419,2492.473,754.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-001: .query(),candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-030,30,3b0796173d95fecfb954f3c2f898a54e414292fa,3b0796173d,11659.685,2056.696,830.0,436.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-005: entityentry,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-031,31,2cfcafc907bd57a20809a9d7a6e3a7ad653d6a7e,2cfcafc907,11667.406,1684.038,850.0,361.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-005: entityentry,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-032,32,b93bbce91beed18756f7f0a646f207a64b8ea908,b93bbce91b,11686.527,1329.901,756.0,342.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-102: enrty types | L-002: collections navigations references properties of entry | L-104: collections have isloded flag | L-103: all navigations - references and | L-005: entityentry,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-033,33,22572ab9daed0412e4836c02553d0bdc6b30b0b9,22572ab9da,10403.784,3472.114,873.0,380.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-005: entityentry | L-104: collections have isloded flag | L-103: all navigations - references and | L-102: enrty types | L-002: collections navigations references properties of entry,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-034,34,7d78912506b7a2a3005f185091953735cba5a4f1,7d78912506,15403.981,5281.588,848.0,345.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-003: is entry..... query accessible only from collection? | L-001: .query() | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-035,35,67973e4c0ed9fbeec2f6244fa54ccd16b5884c88,67973e4c0e,15401.527,5636.265,733.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-003: is entry..... query accessible only from collection? | L-001: .query() | L-092: props,methods examples | L-093: what and why metadata | L-102: enrty types",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-036,36,d3776b2c75460452e07745fab0d9d302d90f706d,d3776b2c75,15375.316,6166.265,795.0,482.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-003: is entry..... query accessible only from collection? | L-001: .query() | L-092: props,methods examples | L-093: what and why metadata | L-112: savechanges also",checked-not-r01-reserved-for-r02,yes-not-r01,Checked during R01; belongs to EntityEntry/API value navigation pass.,candidate-R02,yes-for-r02,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-098,98,337e276c21bf3f83c7a102d8f345c921e7a683b3,337e276c21,7222.242,7830.624,949.0,252.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.",L-088: ---properties--- | L-079: context | L-080: state | L-081: entity | L-082: metadata,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-099,99,27987d66a713343e70ee185de3bd9c9296f53b64,27987d66a7,8484.646,7823.17,905.0,256.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-081: entity | L-082: metadata | L-083: currentvalues,origvalues | L-088: ---properties--- | L-084: complexproperties",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-100,100,4232a3dfc9d098913006314bea1efe126e3c03bb,4232a3dfc9,7234.686,8332.387,973.0,261.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-079: context | L-078: iskeyset | L-082: metadata | L-080: state | L-083: currentvalues,origvalues",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-101,101,e4a1ef6123d9b39f6a6b34d44eaae7f9428bcde4,e4a1ef6123,8447.015,8329.109,994.0,272.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-082: metadata | L-083: currentvalues,origvalues | L-081: entity | L-084: complexproperties | L-085: debugview",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-102,102,d3885538c6a1f82244b6751213e283cc9dc6c644,d3885538c6,7232.017,8864.372,992.0,363.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-078: iskeyset | L-077: members | L-083: currentvalues,origvalues | L-091: trackgraph | L-090: can be useful inside",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
S-103,103,19a76f39f3bb39310588b4a113ccc8a6c2997052,19a76f39f3,8418.683,8888.039,1002.0,467.0,0.0,1,R02-entityentry-properties-methods-query-and-values,P02-R02-entityentry-properties-methods-query-and-values,"EntityEntry: State, Entity, Metadata, CurrentValues/OriginalValues, IsKeySet, Context, Entry.Query, navigations/references/collections/properties, Reload/GetDatabaseValues examples.","L-083: currentvalues,origvalues | L-084: complexproperties | L-085: debugview | L-082: metadata | L-112: savechanges also",candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R02-entityentry-properties-methods-query-and-values,yes,include-r02,Belongs to EntityEntry properties/methods/query/navigation/value API road.
