source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,HTTPCONTENT-R01-httpcontent-basics-readasstream-buffering,HTTPCONTENT-R01,httpcontent-r01-candidate-stage0,candidate-not-final-stage0-boundary-only,"HttpContent basics: content body abstraction, headers/content type, ReadAsStreamAsync, ReadAsByteArrayAsync, buffering behavior, and one-shot stream considerations.",IU-001,e9e67fd860,289.959,697.017,998.0,478.0,read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | without buffering bytees to memorystream | into network stream directly | allow compression | custom httpcontent to | setstream(respoinsebodystream) | special httpcontent type | there is optoin set
S-012,3,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-012,d295b526ff,1942.115,1810.047,915.0,298.0,"!!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | and how, loadinbuffer, overriding methods,custom httpcontent"
S-013,4,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-013,9f100e4b5e,279.745,2003.215,991.0,217.0,!!! | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | without buffering bytees to memorystream | into network stream directly | allow compression | custom httpcontent to | setstream(respoinsebodystream) | special httpcontent type
S-014,5,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-014,fa21470ea6,1926.282,2209.677,920.0,118.0,"!!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression | you can use this content to avoid buffering and | and how, loadinbuffer, overriding methods,custom httpcontent"
S-015,6,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-015,aca9189460,4090.458,2293.872,910.0,375.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and | you dont use this content to readasstream | get compression"
S-016,7,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-016,b2d9f21690,4120.46,2810.127,868.0,325.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | read normally | there is normal content and you apply headersread and"
S-017,8,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-017,7179fd29a3,4135.912,3158.137,852.0,482.0,"and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-018,9,HTTPCONTENT-R02-custom-httpcontent-serialize-stream,HTTPCONTENT-R02,httpcontent-r02-candidate-stage0,candidate-not-final-stage0-boundary-only,"Custom HttpContent: deriving from HttpContent, SerializeToStreamAsync, TryComputeLength, writing directly to outgoing stream, and avoiding pre-buffering.",IU-018,0372d76843,4118.612,3662.596,862.0,334.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-019,1,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-019,0f10794dbb,4102.051,4018.975,723.0,397.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-020,2,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-020,120ae69158,4087.199,4428.44,842.0,482.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-021,3,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-021,5fbcfde090,4087.417,4919.349,689.0,482.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-022,4,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-022,0077df2c6d,4073.581,5399.349,850.0,482.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-023,5,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-023,f0bb30dead,4068.505,5886.96,841.0,278.0,"some example impl wheerewe are creating bytes array | and returning it with stream api instead of buffering it the second time | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-024,6,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-024,b3a46a1ad0,4059.952,6164.198,671.0,482.0,"and returning it with stream api instead of buffering it the second time | some example impl wheerewe are creating bytes array | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-025,7,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-025,2fbe7faec8,4058.096,6652.733,920.0,441.0,"and returning it with stream api instead of buffering it the second time | some example impl wheerewe are creating bytes array | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
S-026,8,HTTPCONTENT-R03-compression-direct-to-network-disposal,HTTPCONTENT-R03,httpcontent-r03-candidate-stage0,candidate-not-final-stage0-boundary-only,"Compression/streaming directly to network: gzip/deflate/Brotli streams, StreamContent vs custom content, Content-Encoding, disposal/lifetime, and backpressure.",IU-026,ffd8268d29,4059.809,7104.126,919.0,457.0,"and returning it with stream api instead of buffering it the second time | some example impl wheerewe are creating bytes array | and how, loadinbuffer, overriding methods,custom httpcontent | when httpcontent.Readasstreamasync buffers | !!! | setstream(respoinsebodystream) | special httpcontent type | there is optoin set | we dont buffer when | how exactly | read normally | there is normal content and you apply headersread and"
