source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,source_image_file,nearest_labels_for_search_only
S-001,IU-001,86922be1d4f15948e1cd8d5cd32c96b27bd24e52,86922be1d4,22607.488,1082.042,23081.488,1189.542,948,215,assets/source-images/S-001__86922be1d4.png,L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-028,IU-028,5c580fc15815c3467e849169b3dd73a6e2c64c44,5c580fc158,14553.953,3352.463,15021.953,3582.463,936,460,assets/source-images/S-028__5c580fc158.png,L-011: always | L-016: never | L-010: !!! | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-023: when and why never | L-021: transaction methods | L-006: whenneeded
S-029,IU-029,9d59cacc4afa0ac9da43cadf3c7d4a718094334d,9d59cacc4a,17799.207,3757.776,18260.207,3940.276,922,365,assets/source-images/S-029__9d59cacc4a.png,L-013: !!! | L-009: !!! | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-005: autosavepointsenabled
S-030,IU-030,be34ea62c855966412cbd5c8b53438ff980ed8b7,be34ea62c8,14518.787,3814.963,15015.287,4002.463,993,375,assets/source-images/S-030__be34ea62c8.png,L-016: never | L-011: always | L-018: when we can have disabled autosavepoints | L-023: when and why never | L-019: and some manual savepoints logic through | L-010: !!! | L-021: transaction methods | L-006: whenneeded
S-031,IU-031,534194b01dae7f6c800397affbea49a33cbaa804,534194b01d,1324.105,4132.406,1771.605,4373.406,895,482,assets/source-images/S-031__534194b01d.png,L-040: trigger generated | L-026: identity | L-043: value on insert | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-017: what we can get after
S-032,IU-032,16587c193dae9ba1ba95638fd9164973a50844a7,16587c193d,46.241,4153.073,508.241,4394.073,924,482,assets/source-images/S-032__16587c193d.png,L-040: trigger generated | L-043: value on insert | L-026: identity | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-033,IU-033,43d314f73df646bf86fe03fea294c5b15dbfecc0,43d314f73d,14512.62,4288.63,15012.62,4365.13,1000,153,assets/source-images/S-033__43d314f73d.png,L-016: never | L-023: when and why never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-011: always | L-010: !!! | L-036: is there some overhead from savepoint creation?
S-034,IU-034,70a5cc9c2c1efb2814b7b609d4339962b9ddafa5,70a5cc9c2c,22730.345,4359.148,23203.845,4525.148,947,332,assets/source-images/S-034__70a5cc9c2c.png,L-015: migrate() | L-014: migrations | L-012: database methods | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-024: migration | L-053: ensure created/deleted | L-008: ensuredeleted
S-035,IU-035,c6542a3688b50c239012c9fda756825569f92a9a,c6542a3688,14519.453,4451.796,14969.953,4691.796,901,480,assets/source-images/S-035__c6542a3688.png,L-023: when and why never | L-016: never | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-021: transaction methods | L-011: always | L-010: !!! | L-036: is there some overhead from savepoint creation?
S-036,IU-036,74409f18076039b8bdfa6378ad44525c9807a981,74409f1807,1341.259,4644.562,1800.759,4885.562,919,482,assets/source-images/S-036__74409f1807.png,L-040: trigger generated | L-043: value on insert | L-026: identity | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-037,IU-037,b9675df28e81c22adaa28c3c2ffb44da024fdd2b,b9675df28e,10.0,4656.007,481.5,4816.007,943,320,assets/source-images/S-037__b9675df28e.png,L-040: trigger generated | L-043: value on insert | L-026: identity | L-030: default constant | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-038,IU-038,b8b98b6e6ff9dcce48916be51a93bdd83cf164a1,b8b98b6e6f,22717.679,4801.648,23225.179,5005.148,1015,407,assets/source-images/S-038__b8b98b6e6f.png,L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr | L-014: migrations | L-012: database methods | L-035: haspendingmodelchanges | L-024: migration | L-053: ensure created/deleted | L-066: getdbconnection
S-039,IU-039,02b511c6305646f310cfe35d9e64e5bb702b9685,02b511c630,16372.434,4926.179,16833.434,5079.179,922,306,assets/source-images/S-039__02b511c630.png,L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-013: !!! | L-036: is there some overhead from savepoint creation? | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-023: when and why never
S-040,IU-040,397ce4c2845836041151d754877bb9559b9dd99a,397ce4c284,15.167,5036.805,474.167,5147.805,918,222,assets/source-images/S-040__397ce4c284.png,L-040: trigger generated | L-043: value on insert | L-030: default constant | L-026: identity | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-041,IU-041,6baa058c546a4c27f852a07c3dde125a387d7af3,6baa058c54,14514.453,5070.796,14993.953,5287.796,959,434,assets/source-images/S-041__6baa058c54.png,L-023: when and why never | L-021: transaction methods | L-016: never | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-036: is there some overhead from savepoint creation? | L-011: always | L-010: !!!
S-042,IU-042,dcbd43ef9793fedeffe37705638bc156401bfdd9,dcbd43ef97,1348.592,5188.229,1818.092,5248.229,939,120,assets/source-images/S-042__dcbd43ef97.png,L-040: trigger generated | L-043: value on insert | L-026: identity | L-030: default constant | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-043,IU-043,b9ee76672780f628e9e80835ad06477d02804054,b9ee766727,16366.553,5268.513,16841.053,5372.513,949,208,assets/source-images/S-043__b9ee766727.png,L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-036: is there some overhead from savepoint creation? | L-013: !!! | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-023: when and why never
S-044,IU-044,17ce5a037a6b17642c8e77d7c67664d060110a60,17ce5a037a,22725.345,5363.981,23227.845,5490.481,1005,253,assets/source-images/S-044__17ce5a037a.png,L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-015: migrate() | L-014: migrations | L-053: ensure created/deleted | L-024: migration | L-012: database methods | L-066: getdbconnection
S-045,IU-045,b8dac87d2222879615ede666da81e8b35ed5ff2d,b8dac87d22,4103.237,5393.225,4540.737,5487.725,875,189,assets/source-images/S-045__b8dac87d22.png,L-027: sequence | L-026: identity | L-030: default constant | L-022: and from where | L-020: we call savechanges | L-038: computed column | L-017: what we can get after | L-034: INSERTED
S-046,IU-046,788d0427bb51e67809f4ac683a868a50256deabe,788d0427bb,21394.009,5408.61,21781.509,5519.61,775,222,assets/source-images/S-046__788d0427bb.png,L-024: migration | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-015: migrate() | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-047,IU-047,463b614f0603d523cf2f538b24b5b754cb834a70,463b614f06,16365.005,5516.87,16822.005,5715.37,914,397,assets/source-images/S-047__463b614f06.png,L-036: is there some overhead from savepoint creation? | L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-013: !!! | L-023: when and why never
S-048,IU-048,8471c9a9420d848568ed91182de6c8071b82ab39,8471c9a942,22726.353,5631.143,23116.853,5872.143,781,482,assets/source-images/S-048__8471c9a942.png,L-035: haspendingmodelchanges | L-025: getpendingmig/getappliedmigr/getmigr | L-053: ensure created/deleted | L-015: migrate() | L-024: migration | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-049,IU-049,8e2e641f7bf0ed7205704000e0e92b89aca7fa7d,8e2e641f7b,21362.398,5649.721,21830.398,5740.721,936,182,assets/source-images/S-049__8e2e641f7b.png,L-024: migration | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-015: migrate() | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-050,IU-050,a21f69596185a675f9cf96a260354112caf3e3cc,a21f695961,4083.57,5694.983,4494.07,5763.483,821,137,assets/source-images/S-050__a21f695961.png,L-027: sequence | L-030: default constant | L-026: identity | L-038: computed column | L-022: and from where | L-044: onaddorupdate col | L-034: INSERTED | L-046: default sql after insert
S-051,IU-051,ade182d12ba00441181163b902c4d6ca958d64d7,ade182d12b,21381.023,5862.898,21762.523,6103.898,763,482,assets/source-images/S-051__ade182d12b.png,L-024: migration | L-035: haspendingmodelchanges | L-025: getpendingmig/getappliedmigr/getmigr | L-053: ensure created/deleted | L-015: migrate() | L-066: getdbconnection | L-014: migrations | L-012: database methods
S-052,IU-052,0ced7794a919b21072db99b71dbb97f405ba73f3,0ced7794a9,16355.577,5914.068,16810.577,6038.068,910,248,assets/source-images/S-052__0ced7794a9.png,L-036: is there some overhead from savepoint creation? | L-021: transaction methods | L-019: and some manual savepoints logic through | L-033: IDbContextTransaction | L-031: TRANSACTION OBJECT | L-018: when we can have disabled autosavepoints | L-067: WHY GETDBTRANSACTION IS | L-013: !!!
S-053,IU-053,b9d7c1a2b585588f61b394570f3ff80c7d08fdc9,b9d7c1a2b5,4080.012,5963.926,4507.512,6039.926,855,152,assets/source-images/S-053__b9d7c1a2b5.png,L-030: default constant | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-026: identity | L-046: default sql after insert | L-047: trigger handles update | L-034: INSERTED
S-054,IU-054,a348a9d2bec97e91fc960f3f350db4ba16a29f4d,a348a9d2be,6656.621,6006.4,7101.121,6159.9,889,307,assets/source-images/S-054__a348a9d2be.png,L-029: 2 types of generated | L-037: db generated | L-039: generated ids | L-052: ef/provider generated | L-057: performance exact reasons | L-034: INSERTED | L-063: set up better batches | L-032: savechanges calls
S-055,IU-055,348296eb89c990096c2c99eba229a7b4c4c766af,348296eb89,4044.678,6216.214,4454.178,6278.714,819,125,assets/source-images/S-055__348296eb89.png,L-038: computed column | L-030: default constant | L-044: onaddorupdate col | L-046: default sql after insert | L-027: sequence | L-047: trigger handles update | L-054: computed column | L-026: identity
S-056,IU-056,e938e48b8e1db1088115932fb309ba09b280876b,e938e48b8e,18581.568,6253.463,19058.568,6354.463,954,202,assets/source-images/S-056__e938e48b8e.png,L-033: IDbContextTransaction | L-031: TRANSACTION OBJECT | L-078: GETDBTRANSACTION | L-024: migration | L-013: !!! | L-067: WHY GETDBTRANSACTION IS | L-071: HELPFUL | L-036: is there some overhead from savepoint creation?
S-057,IU-057,c8d5baa5c7d50ea5631d402720d7526b40ded4e4,c8d5baa5c7,5345.957,6274.283,5838.457,6511.783,985,475,assets/source-images/S-057__c8d5baa5c7.png,L-034: INSERTED | L-037: db generated | L-052: ef/provider generated | L-029: 2 types of generated | L-058: minuses of many save | L-062: changes | L-057: performance exact reasons | L-063: set up better batches
S-058,IU-058,17dd1db68afc09edebb82c040bc5bd74f69e0f5a,17dd1db68a,22749.505,6369.083,23184.005,6610.083,869,482,assets/source-images/S-058__17dd1db68a.png,L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-025: getpendingmig/getappliedmigr/getmigr | L-066: getdbconnection | L-024: migration | L-064: usage without openconnection | L-065: with connecttion managed by ef | L-015: migrate()
S-059,IU-059,dd5b9542d6c61e4b510a64d448cffa7f2a5dabf0,dd5b9542d6,21327.731,6372.999,21803.731,6488.499,952,231,assets/source-images/S-059__dd5b9542d6.png,L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-024: migration | L-025: getpendingmig/getappliedmigr/getmigr | L-066: getdbconnection | L-015: migrate() | L-014: migrations | L-082: openconnection
S-060,IU-060,b1b470b566a97803ce4a4be28483322eb8e25b2e,b1b470b566,16294.044,6401.808,16769.044,6519.308,950,235,assets/source-images/S-060__b1b470b566.png,L-036: is there some overhead from savepoint creation? | L-067: WHY GETDBTRANSACTION IS | L-033: IDbContextTransaction | L-071: HELPFUL | L-031: TRANSACTION OBJECT | L-074: EF CORE + ADO.NET COMMANDS | L-021: transaction methods | L-075: USETRANSACTION
S-061,IU-061,44db7269f87ac8ae65dba3af3df782c8f8188079,44db7269f8,6584.283,6431.013,7084.283,6672.013,1000,482,assets/source-images/S-061__44db7269f8.png,L-037: db generated | L-052: ef/provider generated | L-029: 2 types of generated | L-039: generated ids | L-057: performance exact reasons | L-063: set up better batches | L-061: performance | L-070: specific chunk failure recovery
S-062,IU-062,60723f4896c70688ced78aba76c937aa933b58d1,60723f4896,3972.129,6437.863,4399.629,6506.363,855,137,assets/source-images/S-062__60723f4896.png,L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert | L-047: trigger handles update | L-030: default constant | L-054: computed column | L-027: sequence | L-056: guid with gen on add
S-063,IU-063,577bc74db11d49fc22251bc029ddac45b20cde69,577bc74db1,18578.52,6492.225,19059.52,6659.225,962,334,assets/source-images/S-063__577bc74db1.png,L-033: IDbContextTransaction | L-031: TRANSACTION OBJECT | L-078: GETDBTRANSACTION | L-024: migration | L-067: WHY GETDBTRANSACTION IS | L-071: HELPFUL | L-074: EF CORE + ADO.NET COMMANDS | L-013: !!!
S-064,IU-064,5c9f3120b85ec97f6fe408d9987f1b8a2079086d,5c9f3120b8,7922.863,6557.775,8346.363,6798.775,847,482,assets/source-images/S-064__5c9f3120b8.png,"L-048: here we add just an id | L-049: mb dont have nav prop,so | L-051: ef cant handle it, idk | L-039: generated ids | L-045: values before the next step | L-042: 1 you need db generated | L-032: savechanges calls | L-061: performance"
S-065,IU-065,7d2efaceaa60f7dfe0c36d3b39737231ffb4330e,7d2efaceaa,16294.044,6640.252,16799.044,6723.752,1010,167,assets/source-images/S-065__7d2efaceaa.png,L-036: is there some overhead from savepoint creation? | L-067: WHY GETDBTRANSACTION IS | L-071: HELPFUL | L-074: EF CORE + ADO.NET COMMANDS | L-075: USETRANSACTION | L-076: LIBRARIES THAT NEED ADO.NET TRANSACTION | L-033: IDbContextTransaction | L-077: PROVIDER SPECIFIC TRANSACTION FEATURES
S-066,IU-066,1723bfb5faec182f85ae3db103dd1c87e0db0c8e,1723bfb5fa,3140.063,6643.742,3518.563,6753.742,757,220,assets/source-images/S-066__1723bfb5fa.png,L-043: value on insert | L-040: trigger generated | L-046: default sql after insert | L-047: trigger handles update | L-044: onaddorupdate col | L-038: computed column | L-054: computed column | L-056: guid with gen on add
S-067,IU-067,83d26882b053c6c481bf2b856ace1031c5ec9370,83d26882b0,9111.817,6741.617,9460.317,6982.617,697,482,assets/source-images/S-067__83d26882b0.png,"L-045: values before the next step | L-042: 1 you need db generated | L-051: ef cant handle it, idk | L-049: mb dont have nav prop,so | L-048: here we add just an id | L-060: 2 large import in chunks | L-032: savechanges calls | L-028: why/when do many"
S-068,IU-068,f2d08e7ef32877be2278a28279b625270c700ba3,f2d08e7ef3,5314.195,6772.212,5853.695,6963.212,1079,382,assets/source-images/S-068__f2d08e7ef3.png,L-052: ef/provider generated | L-058: minuses of many save | L-034: INSERTED | L-062: changes | L-057: performance exact reasons | L-037: db generated | L-063: set up better batches | L-068: query for each savechangs
S-069,IU-069,032d7df1715e26eee450bd5f689349d2e03c0540,032d7df171,18568.004,6802.064,19051.504,6950.564,967,297,assets/source-images/S-069__032d7df171.png,L-033: IDbContextTransaction | L-031: TRANSACTION OBJECT | L-078: GETDBTRANSACTION | L-067: WHY GETDBTRANSACTION IS | L-074: EF CORE + ADO.NET COMMANDS | L-071: HELPFUL | L-075: USETRANSACTION | L-076: LIBRARIES THAT NEED ADO.NET TRANSACTION
S-070,IU-070,ffeb97c5e04978704322e0563a045c472e2f94b1,ffeb97c5e0,16302.599,6868.419,16774.599,6950.419,944,164,assets/source-images/S-070__ffeb97c5e0.png,L-036: is there some overhead from savepoint creation? | L-067: WHY GETDBTRANSACTION IS | L-071: HELPFUL | L-074: EF CORE + ADO.NET COMMANDS | L-075: USETRANSACTION | L-076: LIBRARIES THAT NEED ADO.NET TRANSACTION | L-077: PROVIDER SPECIFIC TRANSACTION FEATURES | L-033: IDbContextTransaction
S-071,IU-071,b7574221457787b505fa25ea8c0c5f7bd383e373,b757422145,4011.05,6877.737,4393.55,6963.737,765,172,assets/source-images/S-071__b757422145.png,L-054: computed column | L-047: trigger handles update | L-046: default sql after insert | L-044: onaddorupdate col | L-056: guid with gen on add | L-038: computed column | L-059: PRACTICAL PATTERN | L-030: default constant
S-072,IU-072,1606ce52857d8bc9e6139c9191bad7441aa3d842,1606ce5285,6589.626,7045.336,7039.626,7238.836,900,387,assets/source-images/S-072__1606ce5285.png,L-052: ef/provider generated | L-063: set up better batches | L-057: performance exact reasons | L-037: db generated | L-070: specific chunk failure recovery | L-061: performance | L-039: generated ids | L-029: 2 types of generated
S-073,IU-073,458f675683eb3be2f603e160afcee146d88079ae,458f675683,7921.092,7056.838,8382.592,7297.838,923,482,assets/source-images/S-073__458f675683.png,"L-061: performance | L-051: ef cant handle it, idk | L-049: mb dont have nav prop,so | L-048: here we add just an id | L-060: 2 large import in chunks | L-045: values before the next step | L-039: generated ids | L-042: 1 you need db generated"
S-074,IU-074,bc88d8c4421e8263efbbed83899c553486cacda4,bc88d8c442,22772.227,7110.901,23195.227,7351.901,846,482,assets/source-images/S-074__bc88d8c442.png,L-053: ensure created/deleted | L-066: getdbconnection | L-035: haspendingmodelchanges | L-082: openconnection | L-064: usage without openconnection | L-065: with connecttion managed by ef | L-025: getpendingmig/getappliedmigr/getmigr | L-024: migration
S-075,IU-075,73d58b17f5a528bcbdfeb4acf7b8c0eedebc42fe,73d58b17f5,18563.325,7138.372,19044.325,7282.872,962,289,assets/source-images/S-075__73d58b17f5.png,L-033: IDbContextTransaction | L-031: TRANSACTION OBJECT | L-078: GETDBTRANSACTION | L-067: WHY GETDBTRANSACTION IS | L-074: EF CORE + ADO.NET COMMANDS | L-075: USETRANSACTION | L-071: HELPFUL | L-076: LIBRARIES THAT NEED ADO.NET TRANSACTION
