region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB06A-S024,S-160,IU-160,25af95ba7d,CTXDB06,CTXDB06A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Own connection lifetime when supplying connection object,
CTXDB06B-S001,S-163,IU-163,5291502f68,CTXDB06,CTXDB06B,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-code,GetCommandTimeout / SetCommandTimeout,
CTXDB06B-S002,S-169,IU-169,27bc1442bd,CTXDB06,CTXDB06B,verified-from-source-image,high,no,high,Command timeout caution,
CTXDB06B-S003,S-176,IU-176,8e2d0524db,CTXDB06,CTXDB06B,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-code,EnlistTransaction / GetEnlistedTransaction,
CTXDB06B-S004,S-178,IU-178,1e971378bc,CTXDB06,CTXDB06B,verified-from-source-image,high,no,high,System.Transactions caution,
CTXDB06B-S005,S-182,IU-182,e42350e029,CTXDB06,CTXDB06B,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-code,Provider check helpers,
CTXDB06B-S006,S-185,IU-185,0ed0c9eeca,CTXDB06,CTXDB06B,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Provider helper caution,
CTXDB06B-S007,S-189,IU-189,3e2b73547a,CTXDB06,CTXDB06B,verified-from-source-image,high,no,high,GenerateCreateScript,
CTXDB06B-S008,S-191,IU-191,f66773d49e,CTXDB06,CTXDB06B,verified-from-source-image,high,no,high,GenerateCreateScript usage,
CTXDB07A-S001,S-186,IU-186,58660c904f,CTXDB07,CTXDB07A,verified-from-source-image,high,no,high,What happens in shared connection / UseTransaction setup,
CTXDB07B-S001,S-187,IU-187,84e8af0629,CTXDB07,CTXDB07B,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,UseTransaction existing ADO.NET transaction continuation,
CTXDB07A-S002,S-188,IU-188,7cd52f3a1a,CTXDB07,CTXDB07A,verified-from-source-image,high,no,high,Different connection with UseTransaction is invalid,
CTXDB07B-S002,S-190,IU-190,7eb73976ad,CTXDB07,CTXDB07B,verified-from-source-image,high,no,high,What is shared in one connection/transaction setup,
CTXDB07A-S003,S-192,IU-192,c396e2a6d4,CTXDB07,CTXDB07A,verified-visible-partial-from-source-image,high,bottom crop,high-for-visible-text,Summary of shared transaction mental model,
CTXDB07B-S003,S-193,IU-193,00d43687f0,CTXDB07,CTXDB07B,verified-from-source-image,high,no,high,Normal dependency injection setup,
CTXDB07B-S004,S-194,IU-194,0c9d2bb402,CTXDB07,CTXDB07B,verified-from-source-image,high,no,high,DbContext lifetime and options constructor,
CTXDB07A-S004,S-195,IU-195,f4d4168e3f,CTXDB07,CTXDB07A,verified-visible-partial-from-source-image,high,bottom continues,high-for-visible-code,Multiple context types with shared connection and transaction,
CTXDB07B-S005,S-196,IU-196,9c09af292e,CTXDB07,CTXDB07B,verified-from-source-image,high,no,high,DI contexts may not share same connection,
CTXDB07A-S005,S-197,IU-197,fb3512089c,CTXDB07,CTXDB07A,verified-visible-partial-from-source-image,high,top continuation,high-for-visible-code,Multiple context types transaction continuation,
CTXDB07B-S006,S-198,IU-198,dd6709ae56,CTXDB07,CTXDB07B,verified-from-source-image,high,no,high,Use same connection object in options,
