source_id,decision,region,subregion,reason
S-163,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-169,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-176,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-178,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-182,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-185,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-189,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-191,processed-in-ctxdb06-v001,CTXDB06,CTXDB06B,"Command timeout, System.Transactions enlistment, provider checks, and GenerateCreateScript."
S-186,processed-in-ctxdb07-v001,CTXDB07,CTXDB07A,Correct manual options/shared connection/shared transaction patterns.
S-187,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
S-188,processed-in-ctxdb07-v001,CTXDB07,CTXDB07A,Correct manual options/shared connection/shared transaction patterns.
S-190,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
S-192,processed-in-ctxdb07-v001,CTXDB07,CTXDB07A,Correct manual options/shared connection/shared transaction patterns.
S-193,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
S-194,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
S-195,processed-in-ctxdb07-v001,CTXDB07,CTXDB07A,Correct manual options/shared connection/shared transaction patterns.
S-196,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
S-197,processed-in-ctxdb07-v001,CTXDB07,CTXDB07A,Correct manual options/shared connection/shared transaction patterns.
S-198,processed-in-ctxdb07-v001,CTXDB07,CTXDB07B,"DI defaults, externally provided options constructor, and why resolving two DI contexts does not guarantee shared connection."
