label_id,x,y,font_size,fill,text
L-039,7987.339,6455.05,99.68958682105665px,#d3d3d3,generated ids
L-040,3158.079,6489.655,99.68958682105665px,#d3d3d3,trigger generated
L-041,10794.15,6541.488,315.6652557240935px,#d3d3d3,many savechanges
L-042,9022.34,6551.717,99.68958682105665px,#d3d3d3,1 you need db generated
L-043,3158.079,6614.267,99.68958682105665px,#d3d3d3,value on insert
L-044,4030.719,6646.266,66.50439259362612px,#d3d3d3,onaddorupdate col
L-045,9022.34,6676.329,99.68958682105665px,#d3d3d3,values before the next step
L-046,4030.719,6729.396,66.50439259362612px,#d3d3d3,default sql after insert
L-047,4030.719,6812.527,66.50439259362612px,#d3d3d3,trigger handles update
L-048,8807.657,6901.467,20px,#d3d3d3,here we add just an id
L-049,8807.657,6926.467,20px,#d3d3d3,"mb dont have nav prop,so"
L-050,10794.15,6936.07,315.6652557240935px,#d3d3d3,"flushes,multiple queries"
L-051,8807.657,6951.467,20px,#d3d3d3,"ef cant handle it, idk"
L-052,6601.683,6989.495,99.68958682105665px,#d3d3d3,ef/provider generated
L-053,22575.915,7006.053,133.77783610026063px,#d3d3d3,ensure created/deleted
L-054,4057.205,7136.882,99.68958682105665px,#d3d3d3,computed column
L-055,10794.15,7330.652,315.6652557240935px,#d3d3d3,bulk
L-056,4019.872,7342.215,99.68958682105665px,#d3d3d3,guid with gen on add
L-057,6510.481,7623.009,104.36363636363637px,#d3d3d3,performance exact reasons
L-058,5565.692,7655.028,83.0303030303028px,#d3d3d3,minuses of many save
L-059,4465.838,7671.951,83.0303030303028px,#d3d3d3,PRACTICAL PATTERN
L-060,9060.118,7703.939,99.68958682105665px,#d3d3d3,2 large import in chunks
L-061,8106.037,7747.453,104.36363636363637px,#d3d3d3,performance
L-062,5565.692,7758.815,83.0303030303028px,#d3d3d3,changes
L-063,6786.157,7783.103,83.0303030303028px,#d3d3d3,set up better batches
L-064,25014.947,7965.003,80.4444376627605px,#d3d3d3,usage without openconnection
L-065,25014.947,8065.558,80.4444376627605px,#d3d3d3,with connecttion managed by ef
L-066,22767.026,8071.044,135.9110392252605px,#d3d3d3,getdbconnection
L-067,16613.639,8163.665,73.77777099609375px,#d3d3d3,WHY GETDBTRANSACTION IS
L-068,5564.358,8220.361,83.0303030303028px,#d3d3d3,query for each savechangs
L-069,15343.82,8229.938,50.41975911458336px,#d3d3d3,DB TRANSACTION
L-070,6723.776,8254.77,83.0303030303028px,#d3d3d3,specific chunk failure recovery
L-071,16613.639,8255.887,73.77777099609375px,#d3d3d3,HELPFUL
L-072,15343.82,8292.963,50.41975911458336px,#d3d3d3,"PROVIDER SPEC TRANSACTION,"
L-073,15343.82,8355.988,50.41975911458336px,#d3d3d3,DO WE NEED TO CAST?
L-074,16700.306,8389.24,35.33333333333354px,#d3d3d3,EF CORE + ADO.NET COMMANDS
L-075,16700.306,8433.406,35.33333333333354px,#d3d3d3,USETRANSACTION
L-076,16700.306,8477.573,35.33333333333354px,#d3d3d3,LIBRARIES THAT NEED ADO.NET TRANSACTION
L-077,16700.306,8521.74,35.33333333333354px,#d3d3d3,PROVIDER SPECIFIC TRANSACTION FEATURES
L-078,18676.222,8753.026,58.78790838067944px,#d3d3d3,GETDBTRANSACTION
L-079,6787.434,8835.203,83.0303030303028px,#d3d3d3,release memory sooner
L-080,5568.358,8926.243,83.0303030303028px,#d3d3d3,"inside long transaction, early"
L-081,5568.358,9030.031,83.0303030303028px,#d3d3d3,savechanges may acquire locks
L-082,22735.619,9104.322,131.64443766276048px,#d3d3d3,openconnection
L-083,5568.358,9133.819,83.0303030303028px,#d3d3d3,and hold them until the end
L-084,15529.861,9156.176,20px,#d3d3d3,WHAT DO WE GET FROM GETDBTRANSACTION
L-085,8956.996,9322.087,99.68958682105665px,#d3d3d3,3 flush/send query before
L-086,12540.326,9402.948,84.75628603980665px,#d3d3d3,where transaction
L-087,11254.231,9423.139,84.75628603980665px,#d3d3d3,"one savech, at least one"
L-088,8956.996,9446.699,99.68958682105665px,#d3d3d3,another phase
L-089,10286.39,9448.263,99.68958682105665px,#d3d3d3,what is flush
L-090,12540.326,9508.893,84.75628603980665px,#d3d3d3,"lives,rollback after write to db"
L-091,11254.231,9529.084,84.75628603980665px,#d3d3d3,query
L-092,10286.39,9572.875,99.68958682105665px,#d3d3d3,of savechanges
L-093,3061.347,9614.086,83.0303030303028px,#d3d3d3,short lived dbcontext
L-094,5488.013,9691.662,83.0303030303028px,#d3d3d3,ChangeTracker.Clear
L-095,3061.347,9717.874,83.0303030303028px,#d3d3d3,"traidoff,"
L-096,4432.256,9732.874,83.0303030303028px,#d3d3d3,cler/disposable
L-097,5488.013,9795.45,83.0303030303028px,#d3d3d3,better patterns
L-098,3061.347,9821.662,83.0303030303028px,#d3d3d3,"better maintainability,reasoning"
L-099,4432.256,9836.662,83.0303030303028px,#d3d3d3,short lived dbcontexts
L-100,6752.472,10169.721,83.0303030303028px,#d3d3d3,avoid extra cpu cost from
L-101,8981.44,10248.754,99.68958682105665px,#d3d3d3,4 dont want to rollback
L-102,6752.472,10273.509,83.0303030303028px,#d3d3d3,tracking after memory release
L-103,6952.146,10334.893,20px,#d3d3d3,from clearing too
L-104,22540.884,10363.665,148.71113688150976px,#d3d3d3,get/set connectionstring
L-105,8981.44,10373.366,99.68958682105665px,#d3d3d3,"everything,savepoints"
L-106,5385.589,10702.874,83.0303030303028px,#d3d3d3,separate context for bulk
L-107,20181.191,10725.171,106.22224934895844px,#d3d3d3,why to use one connection
L-108,4268.922,10726.207,83.0303030303028px,#d3d3d3,short lived context
L-109,5385.589,10806.662,83.0303030303028px,#d3d3d3,work pattern
L-110,4268.922,10829.995,83.0303030303028px,#d3d3d3,pattern
L-111,20181.191,10857.949,106.22224934895844px,#d3d3d3,for multiple operations
L-112,22603.106,11336.999,148.71113688150976px,#d3d3d3,setdbconnection
L-113,24020.112,11401.008,30.66667480468749px,#d3d3d3,can control whether context owns the disposal of the
L-114,8904.773,11422.087,99.68958682105665px,#d3d3d3,why disable auto savepoints
L-115,24020.112,11439.341,30.66667480468749px,#d3d3d3,connection
L-116,22729.55,11542.856,80.4444376627605px,#d3d3d3,(with dbcontextoptoins and
L-117,22729.55,11643.411,80.4444376627605px,#d3d3d3,manual creation of context)
L-118,15782.683,11912.23,122.66668701171876px,#d3d3d3,usetransaction
L-119,15782.683,12065.563,122.66668701171876px,#d3d3d3,getdbtransaction
L-120,15782.683,12372.23,122.66668701171876px,#d3d3d3,same conection
L-121,17698.487,12722.893,87.19999999999993px,#d3d3d3,requirements to share local
L-122,22519.423,12735.336,176.4444376627605px,#d3d3d3,get/set commandtimeout
L-123,16050.183,12747.234,69.33333333333337px,#d3d3d3,what if we wont
L-124,17698.487,12831.893,87.19999999999993px,#d3d3d3,transaction
L-125,16050.183,12833.901,69.33333333333337px,#d3d3d3,use one connection per one transaction
L-126,19154.033,12872.85,115.0303178267045px,#d3d3d3,can we merge two ef transactions
L-127,22577.201,13859.781,176.4444376627605px,#d3d3d3,enlisttransaction/getenlistedtransaction
L-128,18287.278,14396.127,89.33335658482177px,#d3d3d3,usetransaction
L-129,17157.022,14399.203,89.33335658482177px,#d3d3d3,usetransaction
L-130,18287.278,14507.793,89.33335658482177px,#d3d3d3,context + ado.net
L-131,17157.022,14510.87,89.33335658482177px,#d3d3d3,2 contexts
L-132,22108.313,14805.337,176.4444376627605px,#d3d3d3,isrelational/issqlserver/issqlite
L-133,22534.979,15752.003,176.4444376627605px,#d3d3d3,generatecreatescript
L-134,17088.133,16528.092,89.33335658482177px,#d3d3d3,2 differenct
L-135,17088.133,16639.759,89.33335658482177px,#d3d3d3,contexts getting options
L-136,17088.133,16751.426,89.33335658482177px,#d3d3d3,creating contexts manually
L-137,17118.133,17478.092,89.33335658482177px,#d3d3d3,example
L-138,19284.8,17531.425,89.33335658482177px,#d3d3d3,context should accept optoins
L-139,18471.466,17544.759,89.33335658482177px,#d3d3d3,di
