source_id,type,region,status,note,x,y,width,height,symbol_id,sha256,file,text
T059,text_label,R04,closed,Closed by stage1 final coverage transcript.,8197.96198490367,8246.058914601435,,,,,,"rcsi,serializable"
T060,text_label,R04,closed,Closed by stage1 final coverage transcript.,10014.62581363777,8546.770858109481,,,,,,when locks are acquired
T061,text_label,R04,closed,Closed by stage1 final coverage transcript.,10014.62581363777,8546.770858109481,,,,,,on start of transaction
T062,text_label,R04,closed,Closed by stage1 final coverage transcript.,10014.62581363777,8546.770858109481,,,,,,or on data touch?
T063,text_label,R04,closed,Closed by stage1 final coverage transcript.,8458.467207937509,8733.224384410754,,,,,,read commited
T064,text_label,R04,closed,Closed by stage1 final coverage transcript.,8327.800459890634,10370.557880504504,,,,,,rcsi
T065,text_label,R04,closed,Closed by stage1 final coverage transcript.,8335.419391252242,12050.557880504504,,,,,,serializable
T066,text_label,R04,closed,Closed by stage1 final coverage transcript.,9585.504383497195,12471.819773972386,,,,,,serializable protects the
T067,text_label,R04,closed,Closed by stage1 final coverage transcript.,9585.504383497195,12471.819773972386,,,,,,range relevant to predicate
T068,text_label,R04,closed,Closed by stage1 final coverage transcript.,6359.220617565442,12642.139839218773,,,,,,when both trans need to have isolation
T069,text_label,R04,closed,Closed by stage1 final coverage transcript.,6359.220617565442,12642.139839218773,,,,,,serializable
T070,text_label,R04,closed,Closed by stage1 final coverage transcript.,6359.220617565442,12642.139839218773,,,,,,to keep invariants
T071,text_label,R04,closed,Closed by stage1 final coverage transcript.,6219.959635916203,13786.701939989627,,,,,,!!!
