source_id,fileId,fileId_short,x,y,width,height,initial_candidate_band,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-011,12fed4d3ebea9b2a47530f5f3266055f3c273cea,12fed4d3eb,7136.792,6915.505,851.0,482.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-012,17a64849512ee163cbe2adc9bc3ddc8d76ce4f87,17a6484951,7152.019,7443.124,886.0,482.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-013,5aaeff58eb0a44aa9c4b0b4be17a412bb098c9d7,5aaeff58eb,7140.136,8170.218,935.0,191.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-014,93247c1563832788f8521c3068f852fb083c0d1e,93247c1563,7126.914,8460.459,917.0,292.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-015,398f8379bc700782ec7cc2138a8883ac9ee808b2,398f8379bc,7144.952,9021.374,930.0,369.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.
S-016,ca95401a18898c3933937268f4c5791ed18e0eb1,ca95401a18,7158.621,9627.328,901.0,464.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-017,18261a0b098ae11d1f26475004e586ee41607f6a,18261a0b09,7167.455,10109.494,782.0,177.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-018,cf58b25382cda1a9802bf950339e354c192c4705,cf58b25382,7160.955,10313.161,763.0,431.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-019,7158dc331409fc839d36e48a8804be80848fdd42,7158dc3314,7153.788,10763.494,828.0,469.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-020,bc5833ad87c8e0a40c6b810122fa3cc2b239bd2f,bc5833ad87,7176.955,11245.494,587.0,433.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-021,0155dedbc5d4df8731ede48e1f02b67bacfd99b0,0155dedbc5,7160.622,11708.328,641.0,374.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-022,a21b9dff2501cf4876af6fec5e6fd398526b6142,a21b9dff25,7097.186,12118.659,815.0,307.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-023,38b9c6ef01907450686b6f627ea3bd1e8d4e53d7,38b9c6ef01,7048.041,12444.795,911.0,447.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-024,f02d8ace77ef3839166554bee3b4fe61f4d00fdb,f02d8ace77,7187.489,12925.172,586.0,482.0,UNSPLIT-candidate-needs-boundary-review,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-025,86ba3c4445e8c9a8275674809315d5651d087632,86ba3c4445,7025.506,13446.313,837.0,143.0,UNSPLIT-candidate-needs-boundary-review,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-026,0767c767624b15b8395445a6f4163f197d13d73e,0767c76762,7047.237,13596.837,892.0,348.0,UNSPLIT-candidate-needs-boundary-review,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-027,18fac0309a931331c909d0ef600924b0a9cc27fb,18fac0309a,7025.498,13976.908,908.0,387.0,UNSPLIT-candidate-needs-boundary-review,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-028,1d5323c24637897f7266f9a1858e93e716a7f3ec,1d5323c246,8509.492,4376.861,698.0,482.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-029,6278843a55a398d7e575d1328225c1ecd99814ea,6278843a55,8520.717,3837.578,799.0,213.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-030,2fb3f1b5ed8c7160ccd0a0b53310d0a4daf124e1,2fb3f1b5ed,8480.672,4100.472,850.0,206.0,R03-candidate-streaming-objects-async-iteration-rest-concerns,processed-in-r03-v001,R03,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-031,edb28c03ede2aabcbe3a5499f4c26d02a8dc05bf,edb28c03ed,1110.993,5263.334,742.0,482.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,"Included in R01 v001 after visual/semantic boundary review. | R02 review: checked overlap; remains R01, not R02."
S-032,331a763a985bc749cf3b36c36e3684dc77472dd6,331a763a98,1087.018,5800.065,753.0,453.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,"Included in R01 v001 after visual/semantic boundary review. | R02 review: checked overlap; remains R01, not R02."
S-033,7c1008392022c5517f93924fc6f7ac8f252e2120,7c10083920,1057.518,6323.898,764.0,432.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-034,31777beb720f5b2cc046d79393fccb2b20772eb1,31777beb72,2654.319,1947.995,1428.0,369.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-035,c2fdc955773a29e6ce371af58a33a871fd2c5545,c2fdc95577,2632.252,2540.082,1326.0,369.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-036,e7f3793b6061a3119ee397f711f6b1fe94336042,e7f3793b60,2686.84,3010.452,1269.0,369.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-037,48547bba82e63324bc4c27bac6127f24e14a9cbf,48547bba82,2732.812,3904.526,949.0,369.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-038,15c932a99aea60a538fbda0debc3e4483d0aec79,15c932a99a,2536.089,3467.197,1356.0,293.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-039,8502f557c6a0377ec4c0e10863f4f38bfa162097,8502f557c6,2520.2,4497.586,1370.0,330.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-040,721c4755223d9151c8bc0f8ccbeb66eda4cf3aa5,721c475522,2541.589,4993.975,1345.0,315.0,R01-candidate-streaming-bytes-and-byte-stream-types,processed-in-r01-v001,R01,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-041,357cb7b336857ca3be75c78105b6bc97e1f30cd5,357cb7b336,2709.671,5471.193,982.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-042,bda88c621b1a7dc2f9b3bf42c5c9aeb1f2c29da5,bda88c621b,2669.631,6171.193,831.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-043,8ad8cf7b1e1e5cb30c763f2ea61cffe09c9f45c1,8ad8cf7b1e,2671.542,6669.248,724.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-044,15002d00b22b6d1d811285f29b50d309b772dbb2,15002d00b2,2647.895,7151.656,673.0,215.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-045,1c1305bd6471d72e9e7c231755f8f28ba20d722d,1c1305bd64,2652.226,7494.116,638.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-046,7d7d42a23e5189d60f067ed5d3cebbc472cd8834,7d7d42a23e,2610.281,8108.901,698.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-047,8bbb8e6a5516ebb5d5cde1c14f9ee31d57335d3e,8bbb8e6a55,2288.003,8811.059,1352.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-048,31f052a655c87b699ee5376de1fdb02c7ed37569,31f052a655,2435.896,9311.39,862.0,108.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Duplicate image content recorded in R02 v001; both canvas placements are covered.,Duplicate image content recorded in R02 v001; both canvas placements are covered.
S-049,31f052a655c87b699ee5376de1fdb02c7ed37569,31f052a655,3497.597,7517.671,862.0,108.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Duplicate image content recorded in R02 v001; both canvas placements are covered.,Duplicate image content recorded in R02 v001; both canvas placements are covered.
S-050,e871da238ba5f9ddec100e64cef2c9e9ac31a964,e871da238b,989.443,7042.501,704.0,482.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-051,bbeaa557d8d980e3f96fdebcd9d98d3c76edf39e,bbeaa557d8,954.726,7568.657,765.0,350.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-052,570007e957a36b829e1207102726322c02472795,570007e957,2571.596,11179.174,756.0,478.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-053,cc55097c13ff88a111ca19cb288a2e745da63f7d,cc55097c13,2328.679,10720.316,1155.0,369.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-054,2e2431e94233e56d335c85cac2cc19b99c3c8c6d,2e2431e942,3824.897,11299.833,769.0,435.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-055,076facc97328ccfedc20a838e8f9314e69cb2364,076facc973,3844.599,11785.065,765.0,482.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-056,b9b5cd531f818d0aca178523052b5ffc4ea89ada,b9b5cd531f,3800.508,12323.333,760.0,348.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-057,eb17542c305074cc9574e1f86db29114e6f4cdf1,eb17542c30,3834.004,12711.732,586.0,482.0,R06-candidate-streaming-benefits-and-lower-tail,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.
S-058,8593886b5d8e6d8f09101a1b1cb11f01fdfbc666,8593886b5d,3788.508,13266.777,704.0,110.0,R06-candidate-streaming-benefits-and-lower-tail,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.
S-059,ee9451d578b85d841d5a008c7d29c073f728229a,ee9451d578,1007.601,10351.622,760.0,249.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-060,59dfe65d315fd94abc6b81de8314bc7afd586684,59dfe65d31,1031.323,10253.289,677.0,59.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-061,bfdcc15553d20acc2435214070952208acccc084,bfdcc15553,963.823,9931.052,796.0,276.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-062,67395851589c60debba96333a4bcf8d1fa481f2e,6739585158,948.595,9774.461,761.0,131.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-063,d7aba4eab8a1d465d065761cb133bc83e7e9461d,d7aba4eab8,956.942,9272.744,698.0,482.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-064,9a4ac18e463824c34ce68ebf85ec3277fa2babef,9a4ac18e46,896.08,9047.976,803.0,207.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-065,c439bebf2ba6526722f9896937abc7c28b699599,c439bebf2b,900.284,8727.363,741.0,299.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-066,de363afc01b6d935d4dd3f661518ef1d5c16c0f3,de363afc01,889.535,8514.734,707.0,185.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-067,468de6109bdbda7f5a0cec485c9c1f33a36d3082,468de6109b,865.323,8217.249,753.0,283.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-068,61bbb6d5bbefe9d4ab7b553754266c796c0f0cb7,61bbb6d5bb,827.005,8044.325,786.0,144.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-069,56e96b133972af9c6b06cd0abb77ec2eee0ed585,56e96b1339,2380.106,13853.75,1399.0,369.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-070,e48f9a19945c8be0cf89bd580deb2a881d974489,e48f9a1994,2325.419,14309.402,1495.0,351.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-071,4f2ecffda900dc83b8ba6a0b37b3571ffd396a3d,4f2ecffda9,2620.027,15016.646,681.0,482.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-072,b5d804a68aaffaf492df414be68332d8a0a0c4a6,b5d804a68a,2529.668,16049.571,752.0,312.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-073,9a9f6926e9c99e5fec51e1cc81d304dc0adfd8ec,9a9f6926e9,2548.019,15531.793,739.0,432.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-074,0d0d66d8e999c96042e87acae3fc2a553ce72d35,0d0d66d8e9,2518.908,16410.997,735.0,401.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-075,6381293c9bce06e51ba2d2a0081caaf8af5c5e1e,6381293c9b,1921.11,18157.473,764.0,255.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-076,200b8fb77691dded8d4bd8ee86c87abd7ba6987f,200b8fb776,1798.404,21118.682,766.0,475.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-077,846d8a24c33abd18c5093fd3f91def659265796f,846d8a24c3,2186.975,21651.261,730.0,419.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-078,161a37f028668c5c5b8886dff8656e39af211312,161a37f028,1757.964,22128.477,777.0,229.0,R06-candidate-streaming-benefits-and-lower-tail,checked-not-r02-candidate-r06,R06,yes-for-r02-exclusion-only,yes-for-r06,"Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06.","Checked during R02 boundary review; belongs to lower-tail benefits/mental-model area, keep for R06."
S-079,522320154196032d4bb4c7ce882831b84c10a3be,5223201541,2536.835,9478.98,748.0,438.0,R02-candidate-reading-response-stream-and-payload-bytes,processed-in-r02-v001,R02,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
