source_id,fileId_short,initial_candidate_band,final_region,coverage_status,coverage_category,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-014,93247c1563,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-015,398f8379bc,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.
S-016,ca95401a18,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-017,18261a0b09,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-018,cf58b25382,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-019,7158dc3314,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-020,bc5833ad87,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-021,0155dedbc5,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-022,a21b9dff25,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-023,38b9c6ef01,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-024,f02d8ace77,UNSPLIT-candidate-needs-boundary-review,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-025,86ba3c4445,UNSPLIT-candidate-needs-boundary-review,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-026,0767c76762,UNSPLIT-candidate-needs-boundary-review,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-027,18fac0309a,UNSPLIT-candidate-needs-boundary-review,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.,Pulled from UNSPLIT into R03 after visual/semantic boundary review; REST-friendly streaming endpoint tail.
S-028,1d5323c246,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-029,6278843a55,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-030,2fb3f1b5ed,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-031,edb28c03ed,R02-candidate-reading-response-stream-and-payload-bytes,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,"Included in R01 v001 after visual/semantic boundary review. | R02 review: checked overlap; remains R01, not R02."
S-032,331a763a98,R02-candidate-reading-response-stream-and-payload-bytes,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,"Included in R01 v001 after visual/semantic boundary review. | R02 review: checked overlap; remains R01, not R02."
S-033,7c10083920,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-034,31777beb72,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-035,c2fdc95577,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-036,e7f3793b60,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-037,48547bba82,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-038,15c932a99a,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-039,8502f557c6,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-040,721c475522,R01-candidate-streaming-bytes-and-byte-stream-types,R01,processed-in-r01-v001,processed,yes-for-r01-v001-boundary,no-for-r01-v001,Included in R01 v001 after visual/semantic boundary review.,Included in R01 v001 after visual/semantic boundary review.
S-041,357cb7b336,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-042,bda88c621b,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-043,8ad8cf7b1e,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-044,15002d00b2,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-045,1c1305bd64,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-046,7d7d42a23e,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-047,8bbb8e6a55,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-048,31f052a655,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Duplicate image content recorded in R02 v001; both canvas placements are covered.,Duplicate image content recorded in R02 v001; both canvas placements are covered.
S-049,31f052a655,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Duplicate image content recorded in R02 v001; both canvas placements are covered.,Duplicate image content recorded in R02 v001; both canvas placements are covered.
S-050,e871da238b,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-051,bbeaa557d8,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-052,570007e957,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-053,cc55097c13,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-054,2e2431e942,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-055,076facc973,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-056,b9b5cd531f,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-057,eb17542c30,R06-candidate-streaming-benefits-and-lower-tail,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road. | Confirmed during R06 boundary review: not R06-owned; already R02.
S-058,8593886b5d,R06-candidate-streaming-benefits-and-lower-tail,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road.,Pulled from initial R06 lower-tail into R02; direct continuation of MemoryStream/send-data road. | Confirmed during R06 boundary review: not R06-owned; already R02.
S-059,ee9451d578,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-060,59dfe65d31,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-061,bfdcc15553,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-062,6739585158,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-063,d7aba4eab8,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-064,9a4ac18e46,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-065,c439bebf2b,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-066,de363afc01,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-067,468de6109b,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-068,61bbb6d5bb,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-069,56e96b1339,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-070,e48f9a1994,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-071,4f2ecffda9,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-072,b5d804a68a,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-073,9a9f6926e9,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-074,0d0d66d8e9,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-075,6381293c9b,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-076,200b8fb776,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-077,846d8a24c3,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-078,161a37f028,R06-candidate-streaming-benefits-and-lower-tail,R06,processed-in-r06-v001,processed,yes-for-r06-v001-boundary,no-for-r06-v001,Included in R06 v001 after visual/semantic boundary review.,Included in R06 v001 after visual/semantic boundary review.
S-079,5223201541,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-080,04d45d7399,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-081,75528f39da,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-082,ac19d1b12b,R02-candidate-reading-response-stream-and-payload-bytes,R02,processed-in-r02-v001,processed,yes-for-r02-v001-boundary,no-for-r02-v001,Included in R02 v001 after visual/semantic boundary review.,Included in R02 v001 after visual/semantic boundary review.
S-083,a4b0c7586a,R06-candidate-streaming-benefits-and-lower-tail,R06,duplicate-fragment-recorded-in-r06-v001,duplicate-recorded,yes-coverage-only,no-for-r06-v001,Partial duplicate of S-076 direct-answer content; recorded so image use is not lost.,Partial duplicate of S-076 direct-answer content; recorded so image use is not lost.
S-084,97b0b6e8db,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-085,8054028073,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-086,f1b6a1ce00,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-087,9cde088447,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-088,0455744f18,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-089,740ae5b4da,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-090,398f8379bc,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.,Included in R03 v001; duplicate visible StreamBooks mapping snippet placement recorded.
S-091,f408caaa47,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-092,6ac838ac6e,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-093,b4798a97c0,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-094,b7c267a310,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-095,2f9e8a88fe,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-096,9b6607dda6,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-097,e4054216af,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-098,e3c87ff97f,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-099,5ff04b2d78,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-100,f1a2378c71,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-101,bfaeda5fa4,R04-candidate-asyncenumerable-ndjson-flushasync,R04,processed-in-r04-v001,processed,yes-for-r04-v001-boundary,no-for-r04-v001,Included in R04 v001 after visual/semantic boundary review.,Included in R04 v001 after visual/semantic boundary review.
S-102,f05b3167b5,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-103,54240017b7,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-104,d3c60f2564,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-105,806ee633db,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-106,2bd3f2c017,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-107,1d71e666fe,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-108,045341d0fb,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
S-109,a3064c10a0,R05-candidate-sse-eventsource-writer-heartbeat,R05,processed-in-r05-v001,processed,yes-for-r05-v001-boundary,no-for-r05-v001,Included in R05 v001 after visual/semantic boundary review.,Included in R05 v001 after visual/semantic boundary review.
