i,href,x,y,w,h,cx,cy,asset_id,asset_sha256,asset_filename,image_use_id,region,transcript_file,review_status,assignment_count
28,image-5f53fa81ec6f3e8ce954c108d21d8f2985547d9e,7853.932493317795,3420.8740101294457,958.0,452.0,8332.932493317796,3646.8740101294457,A-178,5d55d52bb0655fb877fefea1613b769f08b3babc64e8a98f0310beb06c46e905,A-178_image-5f53fa81ec6f3e8ce954c108d21d8f2985547d9e_5d55d52bb065.png,IU-028,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
29,image-479cf036b8e710cfbb852d8434d9df55f174874f,7794.265724925868,3907.4851551489774,1164.0,141.0,8376.265724925868,3977.9851551489774,A-177,a5f74ef3dd75183877a072a8ce4cef349107c5c7c84c05cc888ace1a1055b15e,A-177_image-479cf036b8e710cfbb852d8434d9df55f174874f_a5f74ef3dd75.png,IU-029,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
30,image-d15e4a8a997ea3d2a2f3d19cf6b15889b81fff13,8521.519239016367,2953.0998438406104,661.0,369.0,8852.019239016367,3137.5998438406104,A-176,9829b43bd18205785b68f1088004efa04bc040525035c98eebeb66d80a1f88cf,A-176_image-d15e4a8a997ea3d2a2f3d19cf6b15889b81fff13_9829b43bd182.png,IU-030,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
31,image-4758fda04135c4776f69ed35ecfc885ecdb50f3b,8367.029203103357,1933.0997929779805,628.0,369.0,8681.029203103357,2117.5997929779805,A-175,e540e89fc5309afd2ff74c219319045317ba1376b3ed992de9c6aa4f56cdbc0a,A-175_image-4758fda04135c4776f69ed35ecfc885ecdb50f3b_e540e89fc530.png,IU-031,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
32,image-d9acf0435b73ae98b37526cc9de97265ccbdd8c0,9109.615212230556,3478.7310221969674,1276.0,422.0,9747.615212230556,3689.7310221969674,A-174,548aa05f59d3a1f26a355bc28e950e4061bb9b08391fed9ad6415d65c40ee1af,A-174_image-d9acf0435b73ae98b37526cc9de97265ccbdd8c0_548aa05f59d3.png,IU-032,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
33,image-1f9279bfd430850354046a9f9a5189b1c4edb480,8554.984319848769,4143.215073446954,776.0,369.0,8942.984319848769,4327.715073446954,A-173,a7b3af8c3514cbf4095a085ed92dcf4f5e1184800964c0124c246331054e4f43,A-173_image-1f9279bfd430850354046a9f9a5189b1c4edb480_a7b3af8c3514.png,IU-033,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
34,image-f2ec195b7c4fd3c113446c4b32347087199fc47c,8020.642045806853,4627.214227608241,694.0,299.0,8367.642045806853,4776.714227608241,A-172,247c1104bd42620d07d3387b94a03ff17cba2181912a349124106a07ac4734b9,A-172_image-f2ec195b7c4fd3c113446c4b32347087199fc47c_247c1104bd42.png,IU-034,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
35,image-ebf25e12fc1588814f653cb060dd580550fb1248,8788.037806365879,4635.092884805944,1257.0,329.0,9416.537806365879,4799.592884805944,A-171,03cabd6bc9b36d2a78038b96433b43b0eb0ff320ead67641420861073e2b0bed,A-171_image-ebf25e12fc1588814f653cb060dd580550fb1248_03cabd6bc9b3.png,IU-035,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
36,image-a1b29cec81e1942a9235ed281e542eb1d4995db0,8139.974140024215,5024.448703407018,1237.0,103.0,8758.474140024215,5075.948703407018,A-170,37a52d6788a9d24c921214300909b164072c7a2c3825f7cae74cab2884a8b639,A-170_image-a1b29cec81e1942a9235ed281e542eb1d4995db0_37a52d6788a9.png,IU-036,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
37,image-349b48cc3d5dc3e8ab5dd8ab71ebc33ea64a495e,10557.973936573693,3723.6708917208193,1241.0,349.0,11178.473936573693,3898.1708917208193,A-169,55251ba9265942e33fe3d27b833c20408f0f42f1cf00f6011a8895d67ee60f72,A-169_image-349b48cc3d5dc3e8ab5dd8ab71ebc33ea64a495e_55251ba92659.png,IU-037,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
38,image-238cf3b61c8ef6c61c1878ab458dae5a5ebbdf3a,8156.790831568289,5717.670796292837,790.0,482.0,8551.790831568289,5958.670796292837,A-168,1c3afae7268923ae0ad5f6b94cb13bc742425ef4c23a8c363449b01cdf625c70,A-168_image-238cf3b61c8ef6c61c1878ab458dae5a5ebbdf3a_1c3afae72689.png,IU-038,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
39,image-9a28536dab4d9c9cf869eb71b1639a633c604a31,8071.678624664319,5164.3374833045555,928.0,482.0,8535.678624664319,5405.3374833045555,A-167,6b1836152b59f99bc0bc58c9895440afd8a875d87bc343f6cd955dd4bf9f2946,A-167_image-9a28536dab4d9c9cf869eb71b1639a633c604a31_6b1836152b59.png,IU-039,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
40,image-4319a15604867b0669dff1a64d01dd8d2b4852b2,1974.0529251433254,1437.562845073221,930.0,338.0,2439.0529251433254,1606.562845073221,A-166,060b9157e7f6a4be6b12b6c2ad0d86c86a1f2af23e3c1a0c8f1eeb8ab7b62aef,A-166_image-4319a15604867b0669dff1a64d01dd8d2b4852b2_060b9157e7f6.png,IU-040,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
41,image-7581cfbc59df4ce66be421a84cb0dd1d4bb25fe8,1973.219533681271,1806.1818636279068,825.0,336.0,2385.719533681271,1974.1818636279068,A-165,8c72403e690dadb935bfb18686236a3bd2a507fccf17b20731e7c97fd2adbe65,A-165_image-7581cfbc59df4ce66be421a84cb0dd1d4bb25fe8_8c72403e690d.png,IU-041,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
42,image-5f2bc29bfd0ab9a4b638d40386ef5c1abf4cc996,1896.6241793285926,2188.634186451568,982.0,253.0,2387.6241793285926,2315.134186451568,A-164,cb438b99eaa21841c0eb2a6c33aa406e82a91e11cef78016d2c6d0c488e18078,A-164_image-5f2bc29bfd0ab9a4b638d40386ef5c1abf4cc996_cb438b99eaa2.png,IU-042,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
43,image-0cac5e14cbe2774135bade29617300f3dd138f65,1907.6479888524018,2531.9517727145876,979.0,367.0,2397.147988852402,2715.4517727145876,A-163,aa6971b7a90459eca2151988a4958465fc9c7db9a09f79681e1450c3a24a238c,A-163_image-0cac5e14cbe2774135bade29617300f3dd138f65_aa6971b7a904.png,IU-043,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
44,image-17ce08ae90f5393ab1724e8bc102ecb2a10c7442,1914.2350994148,2972.0732530205796,807.0,482.0,2317.7350994148,3213.0732530205796,A-162,6d88523c6f14aeba7dd42ede90060b7688cae4ccc922b3b82cc0483c9745492e,A-162_image-17ce08ae90f5393ab1724e8bc102ecb2a10c7442_6d88523c6f14.png,IU-044,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
45,image-96fef1d18ddbb0b66519aeafa64551e3761fe2c2,1878.4257801935473,3507.396128997142,929.0,209.0,2342.9257801935473,3611.896128997142,A-161,ccd19bf29bdfd49bcfe1210902e9711a37e5bacbf2fe83f51b42f4ae1c6967bd,A-161_image-96fef1d18ddbb0b66519aeafa64551e3761fe2c2_ccd19bf29bdf.png,IU-045,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
46,image-e7d532a8e9f6ba8029091fa0c8d86ad86df98681,1558.7591542169848,6938.062816008861,915.0,201.0,2016.2591542169848,7038.562816008861,A-160,54c1dccecacd5c241a7205192770932b2b0cc0a728e373605d1dda789629d8fb,A-160_image-e7d532a8e9f6ba8029091fa0c8d86ad86df98681_54c1dccecacd.png,IU-046,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
47,image-01311849a9be9888f5bb99f464e870e4619507a5,1929.650996749453,10.0,1013.0,306.0,2436.150996749453,163.0,A-159,8cd7131c6454d89b7027c77ab40dfc4e4d265b1bfd19b6847adfd358eb749a9c,A-159_image-01311849a9be9888f5bb99f464e870e4619507a5_8cd7131c6454.png,IU-047,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
48,image-9506b898f0e247570e58ba0128680d3eae71abc7,364.26629688017783,712.5257926565728,824.0,423.0,776.2662968801778,924.0257926565728,A-158,e052c1826af2b15109636cdb65f456491c945afabfd2aea3632b12da9cbca629,A-158_image-9506b898f0e247570e58ba0128680d3eae71abc7_e052c1826af2.png,IU-048,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
49,image-36001e8acc35a1bc088d82401f29e4ccf16a8766,140.90347154876235,1266.688036696446,1275.0,369.0,778.4034715487624,1451.188036696446,A-157,b2e0235bd988f52d307ccaa46329e3b50866ef452cabca334846353d4eda560a,A-157_image-36001e8acc35a1bc088d82401f29e4ccf16a8766_b2e0235bd988.png,IU-049,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
50,image-8d0cf7b55e3d41a20ad982b4d505dd1b0ace3e10,195.82984006468632,1767.6403595201018,986.0,369.0,688.8298400646863,1952.1403595201018,A-156,a4312df494b8f3549e281b98e5fbcc55f805e09e6e749a241f28ea243b063f02,A-156_image-8d0cf7b55e3d41a20ad982b4d505dd1b0ace3e10_a4312df494b8.png,IU-050,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
51,image-95500265608516832369cf1b985e943a4732efca,10.0,2207.270035975642,1201.0,369.0,610.5,2391.770035975642,A-155,e9172f3abd484ad1d632c2b2d6be5ac5e04100225fb011c9ec5ba846df18f9c6,A-155_image-95500265608516832369cf1b985e943a4732efca_e9172f3abd48.png,IU-051,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
52,image-8eedab8883f547846710af505ad2d7e15f667f52,253.4334794908782,2714.6774659886723,736.0,369.0,621.4334794908782,2899.1774659886723,A-154,019bc705be7de540ab7d7ff7aabdfa9c5bc24db038fbad84ea12660b8eefa4c5,A-154_image-8eedab8883f547846710af505ad2d7e15f667f52_019bc705be7d.png,IU-052,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
53,image-68a26c73ba68800749925fe740792c1d6186e08f,1927.1492378046728,325.09952024090944,916.0,482.0,2385.149237804673,566.0995202409094,A-153,f11937908c2e581253548e6b2e16b6b68139c6ae1f6399a3854da98a02834766,A-153_image-68a26c73ba68800749925fe740792c1d6186e08f_f11937908c2e.png,IU-053,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
54,image-e7d532a8e9f6ba8029091fa0c8d86ad86df98681,1944.9459462398822,860.5966033008008,915.0,201.0,2402.4459462398822,961.0966033008008,A-160,54c1dccecacd5c241a7205192770932b2b0cc0a728e373605d1dda789629d8fb,A-160_image-e7d532a8e9f6ba8029091fa0c8d86ad86df98681_54c1dccecacd.png,IU-054,R01,regions/R01-rest-constraints-methods-validation.md,reviewed,1
55,image-fbc67ce86592d0330f0d01221afa71268a974bac,4633.169690728264,10072.937816390895,1380.0,369.0,5323.169690728264,10257.437816390895,A-152,f6e4565b2188ed33bcba6a75d5702cb666cd65377d613d5720f107c1b7232300,A-152_image-fbc67ce86592d0330f0d01221afa71268a974bac_f6e4565b2188.png,IU-055,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
56,image-42b4478572206c1e188b087b102a373dc50d4800,4845.145253942878,10622.144030871794,1070.0,369.0,5380.145253942878,10806.644030871794,A-151,f5919470484131ccfad80fd6daaa92dec099355c0418fd3036155ce9a5be62e4,A-151_image-42b4478572206c1e188b087b102a373dc50d4800_f59194704841.png,IU-056,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
57,image-f2391ff069dbe57b753fbf440736ff654f2adf97,4884.665403604704,11791.985311082368,1054.0,369.0,5411.665403604704,11976.485311082368,A-150,4b98a7fa684c781a1656fe5f65fede5980fe38845c8ea784516f9910467aa8ca,A-150_image-f2391ff069dbe57b753fbf440736ff654f2adf97_4b98a7fa684c.png,IU-057,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
58,image-7abad1f1c8d529fed91e277d58d04875451a1443,4872.838085191668,12242.77895771314,1131.0,369.0,5438.338085191668,12427.27895771314,A-149,972749330ac1f07782bf584fd48f3c6a550169a7a984f1b80724ffe235839411,A-149_image-7abad1f1c8d529fed91e277d58d04875451a1443_972749330ac1.png,IU-058,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
59,image-5e9dc2c41e2b65d04d25c84fe1a420da589d4cbf,4927.864494360074,12685.636154309068,983.0,369.0,5419.364494360074,12870.136154309068,A-148,583ba38bb4270193f5a92b5583358e5a561e929cc84079db353197486d929aa7,A-148_image-5e9dc2c41e2b65d04d25c84fe1a420da589d4cbf_583ba38bb427.png,IU-059,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
60,image-0dd8a6d0288518412599df36ba72ee53752e0ba2,4955.924227640166,13264.631109597656,714.0,482.0,5312.924227640166,13505.631109597656,A-147,653bdb8a8e917faf74b52a8bbad3a03d662c18372d581f35b90977d28c4af298,A-147_image-0dd8a6d0288518412599df36ba72ee53752e0ba2_653bdb8a8e91.png,IU-060,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
61,image-8e42b8676adf34f1aa614ba6b2cb376e9d3fe6a4,4930.7049594931705,14044.176268831601,698.0,149.0,5279.7049594931705,14118.676268831601,A-146,1c2b7ae8401fef36333aaab0b9fb78e6903463f95804d4dda4273d06eeba5c7c,A-146_image-8e42b8676adf34f1aa614ba6b2cb376e9d3fe6a4_1c2b7ae8401f.png,IU-061,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
62,image-1c4ffb5958322776f7dc1a5fb70ae3b33fe0a222,4866.760515048725,14339.491061040797,737.0,468.0,5235.260515048725,14573.491061040797,A-145,f83ed03f8ed61acdce2e0aff2d45f734587bbb869eb959f6246b89af0d0dc6d5,A-145_image-1c4ffb5958322776f7dc1a5fb70ae3b33fe0a222_f83ed03f8ed6.png,IU-062,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
63,image-659036d38c248a24a82a63aa3d5f0b12dba995b1,4508.508577030016,11222.15445641604,1429.0,369.0,5223.008577030016,11406.65445641604,A-144,51c2c4e0ad4fe6d55cc95c0ebadcffa780820791d475c4a83f26ecdbdeb100bc,A-144_image-659036d38c248a24a82a63aa3d5f0b12dba995b1_51c2c4e0ad4f.png,IU-063,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
64,image-ffd65f4f04c39488c7a93f649f3af15d882a87f7,4865.146677745789,15273.094141813719,634.0,340.0,5182.146677745789,15443.094141813719,A-143,688bb6de9ea6c1c8f35b93a5014abcf2eb3502cf78f6f7e9b87e33adbb050389,A-143_image-ffd65f4f04c39488c7a93f649f3af15d882a87f7_688bb6de9ea6.png,IU-064,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
65,image-e3e0a82a850cf3e3f47f778d3a6c00494e662b4b,4860.202233301346,14887.33473561797,635.0,353.0,5177.702233301346,15063.83473561797,A-142,392b761cdc9b2f332a84888486aef1f9f215731b408a308767057f21da667293,A-142_image-e3e0a82a850cf3e3f47f778d3a6c00494e662b4b_392b761cdc9b.png,IU-065,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
66,image-c789031b5f00a8c21c7e6aaf5cdde514d24870aa,4728.403721134916,18007.198266383344,897.0,390.0,5176.903721134916,18202.198266383344,A-141,9456fbcc704ffb159135748e9bbc416a6167cac55c20c1654dcb5042f24b5292,A-141_image-c789031b5f00a8c21c7e6aaf5cdde514d24870aa_9456fbcc704f.png,IU-066,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
67,image-9eb9fa8d93c3c055a3eca39bba04860a3633a4ef,4503.373241534725,18479.09151814383,1341.0,359.0,5173.873241534725,18658.59151814383,A-140,6ac6f7a86bb53fba0bc49152fd064770af5b20a64de0f06a032e2ffc136cb1ce,A-140_image-9eb9fa8d93c3c055a3eca39bba04860a3633a4ef_6ac6f7a86bb5.png,IU-067,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
68,image-9767b45357e2b9bc62219514510c83c6fd32a231,4579.641318926472,17529.00453458083,1363.0,343.0,5261.141318926472,17700.50453458083,A-139,41317c2a26cc7b5ad5c40d7d150dac5ec81316a1c37fc93cedb2760574f0141a,A-139_image-9767b45357e2b9bc62219514510c83c6fd32a231_41317c2a26cc.png,IU-068,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
69,image-3abd395240dd736fe3e52f92980b1ac1aa65d9cd,4709.432589759891,15775.129104997628,1192.0,182.0,5305.432589759891,15866.129104997628,A-138,a26fc846a946f9d1f66b880c978a7f9913e43d3bbfb05ae5be954f1062ec68b7,A-138_image-3abd395240dd736fe3e52f92980b1ac1aa65d9cd_a26fc846a946.png,IU-069,R03,regions/R03-filtering-searching-pagination-sorting.md,reviewed,1
