i,text,x,y,w,h,cy,text_id,region,transcript_file,is_empty,review_status,assignment_count
60,,7181.5773326770195,55668.54608113201,0,20.0,55678.54608113201,T-060,R06,regions/R06-http-caching-validators.md,True,recorded-empty,1
61,but response caching attr doesnt support etags,7181.5773326770195,55668.54608113201,0,20.0,55678.54608113201,T-061,R06,regions/R06-http-caching-validators.md,False,reviewed,1
62,need to do something,7181.5773326770195,55668.54608113201,0,20.0,55678.54608113201,T-062,R06,regions/R06-http-caching-validators.md,False,reviewed,1
63,responce wont be stale for specified time in seconds,7143.247171059398,59638.58906314745,0,20.0,59648.58906314745,T-063,R06,regions/R06-http-caching-validators.md,False,reviewed,1
64,age is not greater than ,6696.575388414281,59703.02695966019,0,20.0,59713.02695966019,T-064,R06,regions/R06-http-caching-validators.md,False,reviewed,1
65,spec time in sec,6696.575388414281,59703.02695966019,0,20.0,59713.02695966019,T-065,R06,regions/R06-http-caching-validators.md,False,reviewed,1
66,is stale for specified max time in sec,7558.188166481328,59791.38497957437,0,20.0,59801.38497957437,T-066,R06,regions/R06-http-caching-validators.md,False,reviewed,1
67,cache will be revalidated,6619.445188651049,58327.86372636644,0,20.0,58337.86372636644,T-067,R06,regions/R06-http-caching-validators.md,False,reviewed,1
68,on every request,6619.445188651049,58327.86372636644,0,20.0,58337.86372636644,T-068,R06,regions/R06-http-caching-validators.md,False,reviewed,1
69,will revalidated only ,6561.51619043746,58443.396335979414,0,20.0,58453.396335979414,T-069,R06,regions/R06-http-caching-validators.md,False,reviewed,1
70,if cache is stale,6561.51619043746,58443.396335979414,0,20.0,58453.396335979414,T-070,R06,regions/R06-http-caching-validators.md,False,reviewed,1
71,,6561.51619043746,58443.396335979414,0,20.0,58453.396335979414,T-071,R06,regions/R06-http-caching-validators.md,True,recorded-empty,1
72,usually used when there is a very poor network,7385.865605048528,60140.911741868666,0,20.0,60150.911741868666,T-072,R06,regions/R06-http-caching-validators.md,False,reviewed,1
73,connection,7385.865605048528,60140.911741868666,0,20.0,60150.911741868666,T-073,R06,regions/R06-http-caching-validators.md,False,reviewed,1
74,some original shit,7059.589804743326,52605.58235687461,0,20.0,52615.58235687461,T-074,R06,regions/R06-http-caching-validators.md,False,reviewed,1
