source_id,image_use_id,fileId_short,x,y,width,height,initial_candidate_region,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,nearest_labels,duplicate_use_count,duplicate_source_ids,review_notes
S-001,IU-001,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",
S-012,IU-012,083fb22bce,24291.15537021769,1358.6371742376705,962.0,367.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,
S-013,IU-013,f0f0808ea8,12394.126625169538,1391.340237811708,858.0,464.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,
S-014,IU-014,0375241708,30403.95452688914,1400.850713326172,669.0,353.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,
S-015,IU-015,764dcc83ea,22913.779021184237,1401.5346805602803,1020.0,479.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry | !!!,1,,
S-016,IU-016,812d9d362b,4042.2104192668794,1413.4315090610617,921.0,452.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,
S-017,IU-017,260ed0a5d4,28760.08108619206,1437.5279388326871,911.0,267.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,
S-018,IU-018,4903cfaa87,21752.877416116127,1457.4150876491385,731.0,451.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry,1,,
S-019,IU-019,7dabb30d03,8029.045461950558,1526.3661118115288,577.0,482.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | custom,1,,
S-020,IU-020,00817539fe,18682.662928847778,1537.7824884188549,833.0,368.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,
S-021,IU-021,c6c78918dc,5929.335920969219,1556.7815772701997,624.0,154.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-021,S-079",
S-022,IU-022,c7cf32651d,31.796352810328244,1557.9655105155534,922.0,408.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | need to think about nesting in polly like that",2,"S-022,S-092",
S-023,IU-023,4d72e66e10,15279.528147004134,1571.9455832815443,944.0,284.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,
S-024,IU-024,154e41c1f0,19711.085536717244,1582.717984424582,952.0,377.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",classic | cheat sheet | !!! | passing context to | classic polly | +,1,,
S-025,IU-025,33f67f3df8,1430.1457893349143,1585.6002567324476,745.0,317.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,
S-026,IU-026,01c81512db,11383.47803580391,1595.6766266850864,777.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | custom | hedging priciple of work | so to have delegating handler that gets pipeline with pipelineprovider",1,,
S-027,IU-027,347d669f32,31500.884604751685,1719.1346580547524,915.0,482.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,2,"S-027,S-100",
S-028,IU-028,3bd3aa517f,28766.914303267953,1746.0516902277723,924.0,469.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,
S-029,IU-029,346be9b86f,24322.54174886805,1754.3142372259517,849.0,482.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-030,IU-030,4b4ce425a3,30394.454282748517,1807.6840263144531,928.0,398.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,
S-031,IU-031,fc8053ad8a,5398.714248731112,1812.5062688285016,790.0,482.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-031,S-083",
S-032,IU-032,5bd0dfe740,13302.620719475057,1820.6125096624946,961.0,370.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,
S-033,IU-033,4aec986325,15263.883572463143,1857.7894095754896,770.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-001,S-033",
S-034,IU-034,cf4aba673c,4106.771443480191,1883.8733289114753,604.0,349.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom,1,,
S-035,IU-035,af54ccdfe5,12284.200614259535,1890.0955645086124,854.0,444.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | custom | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties",1,,
S-036,IU-036,b49886f626,22978.32187412394,1910.6372352728267,977.0,477.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,
S-037,IU-037,4cd9d99fde,21713.155329527588,1948.304044354858,966.0,327.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,
S-038,IU-038,4756a372c9,19717.949284053895,1964.2633834834833,931.0,283.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",cheat sheet | classic | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-039,IU-039,d623048952,7988.109148279222,2013.0222092236381,842.0,79.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | new standart vs custom | hedging priciple of work | custom,1,,
S-040,IU-040,82fc2acfb5,11406.125176559482,2094.5146948668953,930.0,481.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","the pipeline, not handler, you cant use handler for manual execution | ratelimiterstrategy args | making request with pipeline.execute | custom | hedging priciple of work | rate limiter in polly",1,,
S-041,IU-041,3d110ff6b3,7962.34556998462,2142.6150353929534,884.0,283.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | new standart vs custom | custom,1,,
S-042,IU-042,db8e76c35c,13309.095230220304,2179.316315581824,891.0,291.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,
S-043,IU-043,a35edc76b1,28783.509657620634,2212.742180950443,807.0,328.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,
S-044,IU-044,fdb5e44e62,30413.518591870426,2234.8610893027344,741.0,482.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,2,"S-044,S-178",
S-045,IU-045,38c57f1440,19704.237014877755,2254.505826221457,956.0,471.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",cheat sheet | classic | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-046,IU-046,5b7c0cfb1e,24317.010860692797,2270.795604549092,789.0,482.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-047,IU-047,377ad8734c,3993.4760924271814,2294.5721883562946,950.0,139.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | nesting,1,,
S-048,IU-048,892310b650,15249.909106651177,2356.4455832815443,808.0,425.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,
S-049,IU-049,5105984e7b,21715.39477211703,2415.6555007699408,703.0,430.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-050,IU-050,7acb455cf8,22979.655126077065,2427.137296307983,1017.0,462.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-051,IU-051,2d36297f56,12382.896189662904,2433.17542106196,707.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options",1,,
S-052,IU-052,39f128b4d5,3999.9335805539286,2479.718000723791,911.0,473.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",setting properties | nesting | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | args args in shouldhandle | why do we need to attach request to context,1,,
S-053,IU-053,5f9e2fb3e2,8009.807665475799,2490.572360457214,862.0,78.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | new standart vs custom | custom,1,,
S-054,IU-054,4de8acb1fd,28776.795371906348,2556.027938832687,969.0,350.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",Exception handling | theory | mapping | using Polly; | using Polly.Timeout; | using Polly.Bulkhead;,2,"S-054,S-177",
S-055,IU-055,84367ac66e,11459.809735757843,2581.131172139616,667.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.","ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | hedging priciple of work | making request with pipeline.execute | rate limiter in polly | concur vs addratelimiter",1,,
S-056,IU-056,a4db22a75f,7980.6738897775795,2602.628381024564,917.0,482.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | hedging priciple of work | new standart vs custom | custom,1,,
S-057,IU-057,42f54ebe49,13473.734942844705,2636.8761513399277,1058.0,375.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties,1,,
S-058,IU-058,63b5a940f4,19712.267299412557,2733.1876444032805,986.0,270.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",cheat sheet | !!! | !!! | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-059,IU-059,b1c434af62,30406.95452688914,2746.8505912558594,839.0,461.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,
S-060,IU-060,e23ed23608,15236.495090378987,2786.1226920461927,785.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",ratelimiterstrategy args | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options,1,,
S-061,IU-061,f0f446defd,21712.89593931724,2906.084028601972,1072.0,272.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-062,IU-062,c6022c85f6,28740.79665622092,2911.646957387389,871.0,374.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",Exception handling | theory | mapping | exception bubbling | using Polly; | using Polly.Timeout;,2,"S-062,S-180",
S-063,IU-063,99e5aa46a2,22979.155248147377,2912.137296307983,994.0,444.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-064,IU-064,7a1d15ca37,4024.533590871748,2952.8892347777,897.0,482.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",nesting | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | setting properties | need to use pipeline excplicitly with pipeline provider | need to think about nesting in polly like that,1,,
S-065,IU-065,c6da91c1d0,13616.828677383297,3031.7047868157733,745.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | ratelimiterpartition and partitioned rate limiter | 3 scenarios,1,,
S-066,IU-066,19b9f83a9f,19761.172100105032,3035.5162798791116,748.0,482.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-067,IU-067,5a9b22f068,11457.111791507035,3086.58571759416,770.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | hedging priciple of work | !!!,1,,
S-068,IU-068,b018717e5c,8034.159745806592,3222.2444826717965,823.0,482.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | hedging priciple of work | new standart vs custom | custom,2,"S-008,S-068",
S-069,IU-069,784c5d3900,30423.78753470164,3237.183965279297,816.0,371.0,R07,unprocessed-stage0-candidate,R07,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",mapping | Exception handling | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker;,1,,
S-070,IU-070,24e2f35931,15277.919246737642,3276.1226157522474,685.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",ratelimiterpartition and partitioned rate limiter | 3 scenarios | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case) | 2 we need to create ratelimiter with callback that has httpcontext,1,,
S-071,IU-071,a9f9394a5c,28769.843049082687,3294.766063135159,861.0,183.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",Exception handling | theory | mapping | exception bubbling | try | {,1,,
S-072,IU-072,ad86b967da,22979.74485031442,3391.6476722845455,902.0,482.0,R05,unprocessed-stage0-candidate,R05,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,
S-073,IU-073,8504d1915e,4064.7744978110986,3448.058844162195,907.0,450.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",nesting | need to think about nesting in polly like that | whe nsomeything has multiple retries or hedge attempts | and we put something inside - we wrap each retry with one bulhead | and all retries affect bulkhead | SETTING TRUE/FALSE,1,,
S-074,IU-074,344ef2b020,2725.1475008381403,3492.623008536568,1310.0,283.0,R01,unprocessed-stage0-candidate,R01,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",nesting | need to think about nesting in polly like that | whe nsomeything has multiple retries or hedge attempts | and we put something inside - we wrap each retry with one bulhead | and all retries affect bulkhead | args args in shouldhandle,1,,
S-075,IU-075,020cb4e5d1,28782.414477654114,3499.361243101679,893.0,170.0,R06,unprocessed-stage0-candidate,R06,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",Exception handling | theory | mapping | exception bubbling | try | {,1,,
S-076,IU-076,2f10c18e17,13593.833489556755,3505.6441067731703,764.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | ratelimiterpartition and partitioned rate limiter | 3 scenarios | ratelimiterstrategy args,1,,
S-077,IU-077,6342b0e96a,9745.281560504245,3508.8102232855786,982.0,192.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",hedging priciple of work | need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | !!! | using strategyopiton need to acquire,1,,
S-078,IU-078,afb5f438bc,19781.05508572293,3532.717984424582,926.0,397.0,R04,unprocessed-stage0-candidate,R04,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,
S-079,IU-079,c6c78918dc,8569.097027548727,3564.7047878689937,624.0,154.0,R02,unprocessed-stage0-candidate,R02,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",hedging priciple of work | need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | !!!,2,"S-021,S-079",
S-080,IU-080,25e6ed724e,11486.557405078665,3576.2827057866198,774.0,482.0,R03,unprocessed-stage0-candidate,R03,no-stage0-only,yes,"Initial x-band split plus nearby labels. Checklist only, not source of truth.",!!! | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | using strategyopiton need to acquire | hedging priciple of work,1,,
