source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-033,11,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-033,05e414e028,4020.017,4151.878,817.0,248.0,asnotrackkingwithidentityresolution | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | use asnotrackingwithidentityresolution for ef core reads by default? | reduce cpu and everything for reads | when useful | identity map pattern | FROM TRAKING | ABOUT CPU/MEMORY USAGE | with all data present
S-034,12,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-034,be97b0c8b5,4031.44,4421.388,806.0,482.0,asnotrackkingwithidentityresolution | use asnotrackingwithidentityresolution for ef core reads by default? | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | when useful | reduce cpu and everything for reads | can i select from some random table | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and
S-035,13,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-035,691ce63670,5530.728,4543.207,855.0,478.0,"asnotrackkingwithidentityresolution | use asnotrackingwithidentityresolution for ef core reads by default? | COMPARED WITH ASNOTRACKING AND TRACKING | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | MEMORY OVERHEAD WITH IDENTITY RESOL | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively"
S-036,14,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-036,75c8a8c2fe,4009.906,4926.692,855.0,328.0,use asnotrackingwithidentityresolution for ef core reads by default? | asnotrackkingwithidentityresolution | when useful | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | can i select from some random table | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed?
S-037,15,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-037,ac404adaa8,5528.069,5021.051,647.0,482.0,"use asnotrackingwithidentityresolution for ef core reads by default? | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | asnotrackkingwithidentityresolution | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods"
S-038,16,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-038,2252a4c4af,4019.517,5287.378,818.0,297.0,use asnotrackingwithidentityresolution for ef core reads by default? | when useful | asnotrackkingwithidentityresolution | can i select from some random table | COMPARED WITH ASNOTRACKING AND TRACKING | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | MEMORY OVERHEAD WITH IDENTITY RESOL | something while having something that we have fetched already and | mb have changed?
S-040,17,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-040,7f7dafd9fe,5515.41,5519.707,842.0,445.0,"use asnotrackingwithidentityresolution for ef core reads by default? | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods | that for some reason can fetch instead of continue to modify that was already"
S-042,18,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-042,eb072cdd8b,4010.894,5767.769,837.0,260.0,"use asnotrackingwithidentityresolution for ef core reads by default? | when useful | can i select from some random table | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | asnotrackkingwithidentityresolution | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging"
S-043,19,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-043,e3704b53e4,5517.91,5993.374,837.0,431.0,"so in writes we potentially can do some shit when we fetch | use asnotrackingwithidentityresolution for ef core reads by default? | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods | that for some reason can fetch instead of continue to modify that was already"
S-044,20,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-044,16669395cb,4030.098,6037.219,590.0,482.0,"use asnotrackingwithidentityresolution for ef core reads by default? | when useful | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | even if i query from customers dbset | dont think so, sounds like shit | can i select from some random table | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively"
S-047,21,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-047,2175a4a601,5498.016,6440.798,518.0,341.0,"so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods | that for some reason can fetch instead of continue to modify that was already | when useful"
S-049,22,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-049,f79556b4d7,3977.764,6768.128,765.0,482.0,"when useful | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed? | dont think so, sounds like shit | use asnotrackingwithidentityresolution for ef core reads by default? | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively | can i do this for projections in reads? hard to imagine | it more just to know that if you have some nested/ multiple methods"
S-051,23,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-051,a42c0c4aad,3962.803,7299.557,875.0,474.0,"when useful | that for some reason can fetch instead of continue to modify that was already | fetched - then you can use find everywhere | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | loadasyn + autoinclude | dont think so, sounds like shit | mb have changed?"
S-052,24,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-052,810b517d3a,5491.121,7617.874,833.0,417.0,"loadasyn + autoinclude | fetched - then you can use find everywhere | that for some reason can fetch instead of continue to modify that was already | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | dont think so, sounds like shit | mb have changed? | something while having something that we have fetched already and"
S-054,25,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-054,4f85a4e72b,5505.621,8080.707,804.0,398.0,"loadasyn + autoinclude | fetched - then you can use find everywhere | that for some reason can fetch instead of continue to modify that was already | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | dont think so, sounds like shit | mb have changed? | something while having something that we have fetched already and"
S-056,26,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-056,3edaef3497,5517.906,8527.44,608.0,482.0,"loadasyn + autoinclude | fetched - then you can use find everywhere | that for some reason can fetch instead of continue to modify that was already | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | dont think so, sounds like shit | mb have changed? | something while having something that we have fetched already and"
S-058,27,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-058,1607e83e8f,5490.047,9076.022,687.0,197.0,"loadasyn + autoinclude | fetched - then you can use find everywhere | that for some reason can fetch instead of continue to modify that was already | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | dont think so, sounds like shit | mb have changed? | something while having something that we have fetched already and"
S-060,28,EFC-R01-repository-reads-tracking-identity-map,EFC-R01,efc-r01-repository-reads-candidate-stage0,candidate-not-final-stage0-boundary-only,"Repository/read-query behavior: tracking, identity map, AsNoTrackingWithIdentityResolution, partial init anti-patterns, Load/Find/AutoInclude, and read/write fetch discipline.",IU-060,b074625c29,5497.714,9304.207,805.0,271.0,"loadasyn + autoinclude | fetched - then you can use find everywhere | that for some reason can fetch instead of continue to modify that was already | it more just to know that if you have some nested/ multiple methods | can i do this for projections in reads? hard to imagine | or when you allow partial loading in writes, chat gpt forces this shit actively | load and find more about explicitness and debugging | dont think so, sounds like shit | mb have changed? | something while having something that we have fetched already and"
S-001,1,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-001,946177ff27,10298.814,1561.09,818.0,482.0,"ctors wont run when ef materializes entities? | entities shit | what to avoid in ctors, | would ef use parameterless ctor by default? | Attach | 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | to avoid adding existing but detached | 4 when updating entity with detached - detached will be modified need to override savexchanges or"
S-011,2,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-011,8a232da430,7542.419,2284.89,990.0,226.0,"shadow prop usage | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | 1 if not default id - marks as unchanged | also cant return the domain model | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if adding new entity with detached in some prop - need to attach that detached | and invariants | to avoid adding existing but detached"
S-014,3,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-014,5e335b4ef1,8761.267,2461.568,820.0,289.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | what to avoid in ctors, | would ef use parameterless ctor by default? | shadow prop usage"
S-019,4,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-019,4538d60710,10302.698,2713.734,828.0,210.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | ctors wont run when ef materializes entities?"
S-020,5,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-020,1b74640858,8762.46,2823.004,713.0,241.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | would ef use parameterless ctor by default? | what to avoid in ctors, | shadow prop usage"
S-021,6,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-021,bc91d60828,10301.576,2932.244,686.0,482.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | ctors wont run when ef materializes entities?"
S-025,7,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-025,354939e8d7,8751.825,3135.582,717.0,861.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | would ef use parameterless ctor by default? | what to avoid in ctors, | shadow prop usage"
S-027,8,EFC-R02-entities-constructors-attach-shadow-props,EFC-R02,efc-r02-entities-attach-candidate-stage0,candidate-not-final-stage0-boundary-only,"Entity lifecycle and EF materialization: constructors, parameterless ctor behavior, Attach/detached entities, shadow properties, and config/model rules around domain entities.",IU-027,e42dcdf323,10295.198,3437.901,819.0,247.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | coposite key sheet | alternate key sheet"
S-003,1,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-003,62853cad31,14368.322,1821.009,766.0,261.0,"to create acc with same email | from sit when someone make 2 parallel requests | how to save yourself | some onmodel creat hshit | owned isrequired | navigation | hascheck constraint | alternate key sheet | need to add somewhere, to some general dbcontext mapping sheet mb | coposite key sheet"
S-006,2,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-006,7e221f7688,15933.099,1997.074,740.0,482.0,"owned isrequired | navigation | need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | to create acc with same email | efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | from sit when someone make 2 parallel requests | how to save yourself"
S-007,3,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-007,55ea344509,17274.453,2033.746,726.0,192.0,"need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | owned isrequired | navigation | remove  warnings | dbcontext about transactions strategies | dbset | dont need manual transaction, can configure rowversion or | changes the same thing | isconcurencytoken and ef will throw exceptions"
S-008,4,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-008,0f7c82eb0b,14205.169,2119.656,1027.0,295.0,"to create acc with same email | from sit when someone make 2 parallel requests | how to save yourself | owned isrequired | some onmodel creat hshit | alternate key sheet | navigation | coposite key sheet | need to add somewhere, to some general dbcontext mapping sheet mb | efcore can materialise objecteven if all of its columns are null"
S-010,5,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-010,1e229933ef,17232.257,2280.497,1000.0,465.0,"need to add somewhere, to some general dbcontext mapping sheet mb | hascheck constraint | remove  warnings | dbset | owned isrequired | one savechanges succeds another fails and we get inconsistency | queried entity and each may call savechanges | 3 when i have some possible nesting of methods that mutate | need to wrap everything in one transaction with any isolatoin level but usually with default | navigation"
S-015,6,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-015,3dc7a29628,14410.101,2512.601,611.0,361.0,to create acc with same email | alternate key sheet | from sit when someone make 2 parallel requests | how to save yourself | coposite key sheet | efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | owned isrequired | some onmodel creat hshit
S-017,7,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-017,5152f87def,15947.515,2566.929,458.0,391.0,"efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | owned isrequired | navigation | remove  warnings | need to add somewhere, to some general dbcontext mapping sheet mb | dbset | hascheck constraint | alternate key sheet"
S-026,8,EFC-R03-model-configuration-relationships-keys,EFC-R03,efc-r03-model-config-candidate-stage0,candidate-not-final-stage0-boundary-only,"OnModelCreating/model mapping: owned required, navigation, check constraints, alternate/composite keys, nullable relationships, complex types, computed columns, indexes/collation.",IU-026,3945d0f1d7,15777.344,3287.175,1049.0,482.0,"so its better to do the shit excplicitly | the fact that you have ? for  your fullname  in client can be not enough | efcore can materialise objecteven if all of its columns are null | alternate key sheet | dbset | remove  warnings | coposite key sheet | owned isrequired | navigation | need to add somewhere, to some general dbcontext mapping sheet mb"
